Posicao na coleta,Gênero do vídeo,Tipo de produtor,Categoria do vídeo,guideCategory,Taxa de engajamento,Idioma,Posicao Geral,Id do canal,Canal,Inscritos no canal,Id do vídeo,Data de publicação,Diferenca de horas entre postagem e coleta,Título do vídeo,Descrição do vídeo,Tags do video,Duração do vídeo,Visualizações,Gostei,Comentários,thumbnail_maxres,Pais
1,,,10,"Pop_music, Music, Hip_hop_music, Entertainment, Film",17.52%,pt,1,UCXBPFEVfOPPBop4-ICdA0iA,AniRap,1900000,jy8QIBuEBeM,2026-06-21T21:00:06Z,24.88 horas,♪ Leon S. Kennedy (Resident Evil) | INFECTADO | AniRap,"▶ Jogo: Resident Evil

- Ajude o Canal -

▶ Spotify: https://open.spotify.com/artist/0rVzRhHB7PRsiNlRn2wc4B
▶ Deezer: https://www.deezer.com/br/artist/71165092
▶ Apple Music: https://music.apple.com/br/artist/anirap/1476563414

 Contato: 

▶ Email: publicidadeanirap@gmail.com
▶  Instagram: @anirap_oficial

Créditos -

▶ Voz/Letra: AniRap 
▶ Participação Krauser: @MSdaikiOficial, Gideon: @OkabeOficial 
▶ Mixagem/Masterização: ‪ @ALBKMUSIC  
▶ Editor: Scar,Sadly,Ivou
▶ Beatmaker: @Khellvyn
▶ Thumb: @MSdaiki","rQrT45Z65MAniRap, %/AniRap/ Rap de animes/%, rap, geek, anirap, ani, anime, rap geek, sad geek, desabafo, leon s kennedy rap, leon kennedy rap, leon kenedy rap, leon s kennedy rap brasil, leon kennedy, lion kennedy rap, leon s kennedy, leon kennedy song, lion s kennedy rap, leon s. kennedy, musica do leon kennedy, leon kennedy resident evil 9, leon kennedy better off dead, resident evil 9 leon kennedy, leon rap, leon amv rap, rap do leon resident evil",00:03:44,180194,30523,1048,https://i.ytimg.com/vi/jy8QIBuEBeM/maxresdefault.jpg,BR
2,,,24,"Film, Entertainment, Television_program",2.64%,en,2,UCQzdMyuz0Lf4zo4uGcEujFw,GameofThrones,4860000,xZUavocHU2g,2026-06-22T02:13:29Z,19.66 horas,House of the Dragon | S3 Weeks Ahead Trailer | HBO Max,"Justice will be taken, one crumb at a time. Watch new episodes of House of the Dragon, Sundays at 9pm on HBO Max. #HOTD",,00:02:13,482521,11682,1036,https://i.ytimg.com/vi/xZUavocHU2g/maxresdefault.jpg,N/A
3,,,20,"Action_game, Video_game_culture",4.68%,pt-BR,3,UC5ZTRH1zclthyc6b_D3m2Pw,Gaules,1280000,61ILM68gLbE,2026-06-21T19:17:26Z,26.60 horas,GRANDE FINAL  |  IEM COLOGNE MAJOR 2026 - !socio - Siga @Gaules nas redes!,"GRANDE FINAL  |  IEM COLOGNE MAJOR 2026 - !socio - Siga @Gaules nas redes!

09:00 IRL BT & LIMINHA
12:00 FURIA X FALCONS

⚠️ Devido a problemas de marca e imagem, o canal Gaules passa a autorizar a publicação de conteúdos retirados da Live somente 24 horas após a finalização da VOD na Roxinha. A regra se aplica a todo tipo de vídeo: clipes, cortes, gameplays ou lives completas.","Gaules, gaules ao vivo, gaules lives, tribo gaules, Counter Strike, CS, Tribo, CS AO VIVO, Major, ESL, BLAST, PGL, Liminha, BT, MCH, Apoka, lett, Podcast Gaules, CSGO, AO VIVOLIVE, G3X, Kings League, Gaules AO VIVO, Tribonera, Gau, Imperial, Furia, O Plano, Legacy, Pain, Oddik, Red Canids, gaules melhores momentos, melhores momentos das lives, melhores momentos, cs2, melhores momentos furia, CounterStrike, CounterStrikeGlobalOffensive, CSGOCommunity, CSGOLovers, CSGOPro, CSGOGaming, CSGOSkins, CSGOHighlights",06:54:16,2264705,105907,40,https://i.ytimg.com/vi/61ILM68gLbE/maxresdefault.jpg,BR
4,,,10,"Christian_music, Music, Religion, Society",1.08%,pt-BR,4,UChzfdc3Nx_FQhXMXu2RprUQ,Nova Hinos Evangélicos,139000,tIrIlHLav_M,2026-06-21T08:50:57Z,37.04 horas,"HINOS GOSPEL-Top 60 Músicas Gospel Mais Tocadas-Louvores de Adoração 2026,100 Louvores#musicagospel","#HINOSGOSPEL #Top60MúsicasGospelMaisTocadas #LouvoresdeAdoração2026 #100Louvores #musicagospel
🙏 Bem-vindo(a) a esta incrível seleção de Hinos Gospel e Louvores de Adoração 2026! Aqui você encontrará algumas das músicas gospel mais tocadas e amadas, reunidas em uma playlist especial para fortalecer sua fé e encher seu coração com a presença de Deus.

✨ Esta coletânea foi preparada para:
✔️ Inspirar sua caminhada com Cristo
✔️ Renovar sua esperança e confiança em Deus
✔️ Trazer paz para sua casa e sua família
✔️ Ajudar em momentos de oração e reflexão
✔️ Criar um ambiente de adoração verdadeiro

🎵 Aproveite os melhores louvores gospel, hinos evangélicos e canções de adoração que têm tocado milhares de vidas. Cada música é um convite para experimentar o amor, a graça e a fidelidade de Deus.

🏡 Perfeito para ouvir durante:
• Oração da manhã
• Devocional diário
• Trabalho e estudo
• Viagens e momentos de descanso
• Culto familiar
• Antes de dormir

📖 ""Louvai ao Senhor, porque o Senhor é bom; cantai louvores ao seu nome, porque é agradável."" — Salmos 135:3

💖 Se estes louvores estão abençoando sua vida, deixe seu gostei, compartilhe com seus amigos e familiares e inscreva-se no canal para mais playlists gospel edificantes.

🔔 Ative as notificações para acompanhar novos lançamentos de músicas gospel, hinos evangélicos e louvores de adoração.

Que o Senhor derrame Sua paz, Seu amor e infinitas bênçãos sobre você e sua família. 🙏✨","musica gospel, músicas gospel mais tocadas, top 10 músicas gospel mais tocadas, louvores de adoração 2026, louvores 2026, 100 louvores, hinos evangélicos, gospel 2026, playlist gospel 2026, melhores louvores 2026, 100 Louvores de Adoração, Hinos Evangélicos Inesquecíveis Para Sentir A Presença De Deus, HINOS GOSPEL, Top 60 Músicas Gospel Mais Tocadas-Louvores de Adoração 2026, 100 Louvores, deus, top gospel 2026, playlist de adoração, músicas evangélicas 2026, top, gospel, jeus",02:06:05,120572,1271,36,https://i.ytimg.com/vi/tIrIlHLav_M/maxresdefault.jpg,BR
5,,,24,"Television_program, Entertainment, Film",0.54%,en,5,UCsX-zRuq3ovMsgFqEQLw2Bw,AD_edits,187000,ny8zeqDaLlI,2026-06-22T01:45:21Z,20.13 horas,House of the Dragon: S3 | Ep. 2 Promo Trailer | 4K HBO Max,"Absolute power is within grasp. #HOTD 

✔️ ARE YOU A CREATOR? Do you need music to monetize? Switch to Musicbed to find that perfect track with ease! 
Start your free trial now at https://fm.pxf.io/adedits

✔️ WATCH EXCLUSIVE CONTENT EARLY HERE: https://www.patreon.com/alexdaniel9

✔️ MASSIVE SHOUTOUT TO OUR MEMBERS AND PATRONS! 
Charlie Thomas, Supreme Films, S.W.A, Brody Barnhill, Tmoney$artwell, The Star Wars Obsession, Colin H, Aden Arroyo, A-21 Edits. Abdulaziz Fahad AlGhamdi, Jonathan Foulds, Taniel's Weather Station, Wendell Mullis, Gotetsu78, Movfefe, Starwalker29, Michael Bishop, Smokin Fajita, Menizzi, GG, Abi Johnson, Plentiful Panda, Johann Baier, Becky Burns, Raid Taba

✔️JOIN OUR DISCORD SERVER! https://discord.gg/NvUUVWBZXk

✔️Join this channel to get access to perks:
https://www.youtube.com/channel/UCsX-zRuq3ovMsgFqEQLw2Bw/join

****Direct Donations Fund the content: https://paypal.me/ADedits

✔️Buy me a Coffee and support the content https://www.buymeacoffee.com/ADedits

✔️My Amazon Store of all of my equipment I personally use: https://www.amazon.com/shop/ad_edits

✔️Grab the MERCH: https://alexander-b-daniel-shop.fourthwall.com/

✔️Check out my other stuff on my channel!  
https://www.youtube.com/channel/UCsX-zRuq3ovMsgFqEQLw2Bw

✔️Follow me on Instagram: @alexdaniel9: https://www.instagram.com/alexdaniel9...

✔️Facebook: https://www.facebook.com/ADedits9/?re...

✔️Twitter: https://twitter.com/AD_edits
_________________________________________________________________

MUSIC CREDIT: 
 


_________________________________________________________________

VIDEO CREDIT: 


_________________________________________________________________

Contribute CC to the video: http://www.youtube.com/timedtext_cs_panel?tab=2&c=UCsX-zRuq3ovMsgFqEQLw2Bw


*This video is a Fan Made  parody DUE to its derivative/ transformative nature this video is covered as a Fair Use of material.*

*Content may also contain AI usage*



TAGS: (IGNORE)
_ #movies #entertainment #movietrailers","house of the dragon, house of the dragon season 3, game of thrones, a knight of the seven kingdoms, game of thrones prequel, hotd season 3 new trailer, house of the dragon new trailer, hotd trailer, hotd season 3, house of the dragon teaser trailer, house of the dragon trailer, house of the dragon season 3 teaser trailer, game of thrones prequel trailer, hotd trailer music, aemond targaryen, hotd new episode trailer, hotd episode 3 new trailer, hotd ep 2 new trailer",00:00:40,114656,531,87,https://i.ytimg.com/vi/ny8zeqDaLlI/maxresdefault.jpg,US
6,,,20,"Role-playing_video_game, Action_game, Video_game_culture, Action-adventure_game",7.45%,pt-PT,6,UCIwspRtKNszHhIhl36gREjQ,alanzoka,9150000,rpk59gQBRWU,2026-06-21T15:00:06Z,30.88 horas,A PIOR TRILHA PRA SE PEGAR COM OS AMIGOS! - TRAIL & ERROR,"OS MAIORES DESCONTOS ESTÃO NO KABUM!:
http://kb1.me/alanzokakabumyt

💜 LIVE: https://www.twitch.tv/alanzoka
📷 Instagram: https://www.instagram.com/alanzoka/
📧 alanzoka@vandep.ag
🐤 Twitter: https://twitter.com/alanzoka




#Alanzoka","alan, electronic, desire, edge, alanzoka, video do alanzoka, alanzoka da twitch, videos com alanzoka, alanzoka video, alanzoka memes, gameplay alanzoka, lives do alanzoka, lives, alanzoka jogando, trail & error",01:40:07,586653,43147,578,https://i.ytimg.com/vi/rpk59gQBRWU/maxresdefault.jpg,BR
7,,,10,"Music_of_Latin_America, Music, Hip_hop_music, Pop_music",13.39%,pt,7,UCbI8oiCdgXdWpG86ab35zlA,ÉoDan,309000,EE24-m30UGA,2026-06-21T22:00:32Z,23.88 horas,Dan - SENTA PRO SEU CAPITÃO (Capitão Pátria) | SEQUÊNCIA ft. Jounin,"Escute nas plataformas digitais! 
Spotify: https://open.spotify.com/intl-pt/track/1jdhfiGi4888X6aBkNvYLF?si=07bdc5f8dcdf493a

Voz e Composição: ÉoDan x Jounin 
Participação: Luana
Beat: Zane
Mix/Master: HMZ
Assistente de Mixagem: Yann (yan_mixayollo)
Edição por: Aizawa, Nighttz, Erick, Niik Dean, Jhr e Ryan
Diretor de Edição: Exploserd
Thumbnail por: Shoutotdrk
Ilustração por: YuzoDeen


Dan - SENTA PRO SEU CAPITÃO (Capitão Pátria) | SEQUÊNCIA ft. Jounin
Dan - SENTA PRO SEU CAPITÃO (Capitão Pátria) | SEQUÊNCIA ft. Jounin
Dan - SENTA PRO SEU CAPITÃO (Capitão Pátria) | SEQUÊNCIA ft. Jounin","sequência dos Capitão Pátria, sequência do Pátria, sequência, SENTA PRO SEU CAPITÃO, The Boys, Billy Bruto, rap dos Capitão Pátria, rap The Boys, musica Capitão Pátria, rap geek, rap de anime, rap, phonk, phonk do Capitão Pátria, história dos Capitão Pátria, funk do Capitão Pátria, Capitão Pátria funk, Capitão Pátria phonk, brazillian phonk, brazillian funk, sequência do homem aranha, sequência feiticeira, sequencia ben 10, sequencia homem aranha, dan, ben10, M4rkim, Novatroop",00:02:01,79391,9912,719,https://i.ytimg.com/vi/EE24-m30UGA/maxresdefault.jpg,BR
8,,,24,"Film, Entertainment",9.79%,pt,8,UCt_4wzTQqmcUvemNkeO0plA,Ei Nerd,14500000,ALXw0xQRykU,2026-06-20T15:15:23Z,54.63 horas,MEU DEUS! ESTRAGARAM O SHREK [Shrek 5 análise do trailer],"Assista ao clipe de Seja Como For que tá maneiro demais! https://www.youtube.com/watch?v=g-FLVPwtLRE
Ouça também em todas as plataformas digitais: https://onerpm.link/peter_sejacomofor
--------------------------------------------------------------
O primeiro trailer de Shrek 5 finalmente chegou... e a reação dos fãs está longe de ser positiva. O visual dos personagens mudou tanto que muita gente está comparando a animação com vídeos feitos por IA e até aquelas famosas ""novelinhas de frutas"" do TikTok! Será que a franquia perdeu a identidade que conquistou gerações?

Neste vídeo, vamos analisar todos os detalhes do trailer, as mudanças no design do Shrek, Burro e Fiona, a nova direção visual da DreamWorks, as possíveis inspirações no estilo atual das animações e os primeiros indícios da história envolvendo a filha do Shrek, magia, um novo reino e até rumores sobre o retorno de Lord Farquaad. Será que Shrek 5 está prestes a repetir os erros de outras franquias ou ainda existe esperança para o ogro mais amado do cinema?

#Shrek #Shrek5 #DreamWorks #Análise #Fiona #Cinema #Animação #LordFarquaad #Hollywood 
--------------------------------------------------------------
🌐 Quer ficar por dentro de tudo que acontece no mundo da cultura pop? Acesse: https://www.einerd.com/
--------------------------------------------------------------
📝  Roteiro: Rodrigo Sá
🎬  Edição: Fael
🎨  Thumbnail: Darllyson Desing
🧠  Direção de Conteúdo: Caio Rohen
--------------------------------------------------------------

💪😎 WheyNerd já disponível para compras, acesse: https://loja.wheynerd.com.br/
Seja um afiliado: https://afiliados.wheynerd.com.br/register

💡 𝗔𝗽𝗼𝗶𝗲 𝗻𝗼𝘀𝘀𝗼 𝗰𝗮𝗻𝗮𝗹:
✓ Crie sua conta na Hotmart e seja um afiliado: https://hotm.art/PJHotmartAfiliados
✓Você quer viver de Youtube? → https://rebrand.ly/viver-de-youtube

📧 𝐂𝐨𝐧𝐭𝐚𝐭𝐨:
✓ Comercial e novos negócios → comercial@einerd.com

🔔 𝐏𝐞𝐭𝐞𝐫 𝐉𝐨𝐫𝐝𝐚𝐧: 
✓ Instagram e Facebook →  @petjordan 
✓ Meu canal de viagem e vlogs → https://www.youtube.com/@malafeitatv

🔔 Breno Jordan: 
✓ Instagram e TikTok → @brenojordan_

Acesse nosso portal: https://www.einerd.com/

♬ 𝘔𝘶́𝘴𝘪𝘤𝘢𝘴:
✓ Music by Epidemic Sound","Nerd, ei nerd, peter jordan, UCM, MARVEL, DC, DC COMICS, CINEMA, FILMES, ANIMES, QUADRINHOS, HQS, SERIES, GEEK, CULTURA POP, SERIADOS, HERÓIS, SUPER HEROIS",00:14:46,448921,42527,1433,https://i.ytimg.com/vi/ALXw0xQRykU/maxresdefault.jpg,BR
9,,,10,"Music, Music_of_Latin_America, Hip_hop_music, Pop_music",5.47%,pt-BR,9,UClhFyS7uI884HtPGyI31pRw,Sonar Produtora ,2120000,zknRAl9peWc,2026-06-20T15:00:06Z,54.89 horas,"PRIVACIDADE - LDK, MENE, Mc Fabrin (Prod. Gloto)","Inscreva-se Sonar Produtora

Ouça no Spotify: https://open.spotify.com/track/2s7yg6Ind1SlWj5ojk9Z9l?si=n1o6xGDXTYG2DedcUVb7jw

Artista: LDK, MENE, MC Fabrin
Musica: PRIVACIDADE
Produção: Prod. Gloto

FICHA TÉCNICA:
Direção Criativa / Direção: Gui Santiis & Lins Creator
Direção de Fotografia: Lins Creator
Produção Executiva: Cauê Feitosa
Gaffer: João Bravo
1AC: João Bravo
2AC: Vinicius Malvezi
Produção de Casting: Layane Estevam
Making OFF: Vinicius Malvezi
Montagem & VFX: Gui Santiis
Color: Gui Santiis
Assistente de Produção: Guilherme Naka
CASTING: Ana Esteves, Anna Kolchraiber e Natália Gabriela
Agradecimentos Especiais: GB CIATEGSB.WCNALUAFILMES (EQUIPAMENTOS)

Contrate nossos artistas:

(11) 94734-2016 Juninho Sonar
(11) 96913-3861 Diego Douetts

Sonar Produtora ®
@Sonarmusicc","#SonarProdutora #SonarMusic, MC Joãozinho VT, MC Kako, MC Leozinho ZS, MC Lele JP, MC V7, MC KB, MC Fefe ZN, MC Cassiano, Sonar, Sonar Music, Sonar Produtora, GR6, GR6 Explode, GR6 Eventos, Kondzilla, Kondzilla Records, Love Funk, Funk 2020, MC Hariel, MC Neguinho do Kaxeta, MC Davi, MC Paulin da Capital, MC Lipi, MC Pedrinho, MC Kevin, MC Rodolfinho, MC PP da VS, MC Ryan SP, MC Poze do Rodo, DJ GM, DJ W, MC, MENE, LDK, MC FABRIN, SONAR, GLOTO",00:04:01,36201,1922,58,https://i.ytimg.com/vi/zknRAl9peWc/maxresdefault.jpg,BR
10,,,10,"Music, Video_game_culture, Action_game",10.96%,en,10,UC2eI5thsS3OfZXsNW-VyXhQ,CTStudios,245000,YNBdSmGxbvE,2026-06-22T02:30:06Z,19.39 horas,The Mimic: Rage - Official Game Trailer,"The Mimic Book 3 is HERE! Thank you for the long wait.

Everything shown in the trailer is in-game. Powered by ROBLOX studios.

Play the game here: https://www.roblox.com/games/6243699076/The-Mimic

Official Mimic IG: https://www.instagram.com/ctstudiosofficial/?hl=en

All music licenses were purchased and rightfully owned by the composer.
(MrClaps)",,00:00:26,87441,8430,1155,https://i.ytimg.com/vi/YNBdSmGxbvE/maxresdefault.jpg,US
