Posicao na coleta,Gênero do vídeo,Tipo de produtor,Categoria do vídeo,guideCategory,Taxa de engajamento,Idioma,Posicao Geral,Id do canal,Canal,Inscritos no canal,Id do vídeo,Data de publicação,Diferenca de horas entre postagem e coleta,Título do vídeo,Descrição do vídeo,Tags do video,Duração do vídeo,Visualizações,Gostei,Comentários,thumbnail_maxres,Pais
1,,,10,"Music, Music_of_Latin_America, Pop_music, Lifestyle_(sociology)",2.19%,pt-BR,1,UCmkSzYG4ykYKFE4Ow0030zw,Grupo Menos é Mais,5350000,hI7GUHGCHwE,2025-10-17T14:10:07Z,29.98 horas,Grupo Menos É Mais - Pensando Em Você / Carta Branca / Amantes (Ao Vivo),"Confira a faixa ""Pensando Em Você / Carta Branca / Amantes"" do Grupo Menos é Mais.

Ouça em todas as plataformas digitais: https://ads.somlivre.com.br/Molho_Completo

FICHA TÉCNICA:
Artistas:
Voz: Duzão
Surdo: Ramon Alvarenga
Pandeiro: Paulinho Félix
Repique: Gustavo Goes
 
Produção musical: Dudu Borges e Paulinho Félix
Arranjo: Dudu Borges
Direção de vídeo: Thiago Viégas
Direção de fotografia: Serginho Paiva
Edição de vídeo: Junior Viégas
Color grading: Pedro Ortega
Cinegrafistas: Serginho Paiva, Renato Alves, Geann Toni, Yorrans, Gustavo Vilefort, Edney Torres
Captação de áudio: Roberto Junior, Up music: Vandamme
Edição de base: Lucca Bruno
Mixagem e masterização: Roberto Junior
 
Músicos
Teclados: Dudu Borges
Reco-reco: João Alvarenga
Contrabaixo: Israel Soares
Pandeiro: Marco Scooby
Tantã: Iury Renato
Flauta: Alceu Lacerda
Violão: Filipe da Hora
Cavaco: Tayro Feitoza
Banjo: Marcelo Lombardo
Backing Vocal (vídeo): Joey
Backing vocal (estúdio): Bino Santana, Jenni Rocha, Phael Ribeiro
 
EQUIPE MENOS É MAIS
Manager: Jaison Vieira, Andriws Moraes
Diretor Comercial: Miguel Almeida
Diretor de Marketing: Gustavo Goes
Direção Criativa: Nathalia Rezende
Designer: Lucas Lobo
Styling e Figurino: Driellly Martins
Social Mídia: Taissa Rodrigues
PR: Leticia Takada
Tráfego: Álex Porto
Fotógrafo: Ricardo Ribeiro e Bedian Araújo
Creator Mobile: Laura Christine
Produtor Geral: Marcelo Vilella
Técnico de P.A.: Douglas Silvino De Souza
Técnico de Monitor: Maylon Diniz
Cenotécnico: Daniel Storti
Roadie: Patrick Frozza e Clemilton Martins
Auxiliar Técnico: Anderson Silva
Logística de Equipamento: Thiago Silva e Carlos Alexandre
Produtor Técnico: Thiago Taranto
Produtor Artístico: Lucas Lira
Produção Executiva: Pedro Bulhões
Auxiliar de Produção: Gabriel Amaro
______________________________________
EQUIPE GH MUSIC
Manager: Andriws Moraes e Igor Faria
Produção de Logística: Yasmin Entres
Gestão de Conteúdo e Controle de Imagem: Jéssica Mello
______________________________________
EQUIPE GRUPO ONDA
Manager: Cristóvão Neto, Jaison Vieira e Diogo Duílio
Produção geral: Laldenia Lemos
Cenografia: Bibi Regazzi
______________________________________
SOM LIVRE
A&R: Gustavo Farias, Nino Vilassa, Vinicius Azevedo, Lucas Nunes e Daniel Frati
MKT: Cristina Leuzinger, Lena Pelosi, Juliana Franco, Mayara Ramada, Joilson Junior e Matheus Damasceno
______________________________________
Gravado ao Vivo em: Praça Maria Felipa - Salvador/BA",,00:05:15,263774,5657,118,https://i.ytimg.com/vi/hI7GUHGCHwE/maxresdefault.jpg,BR
2,,,24,"Film, Entertainment, Lifestyle_(sociology)",11.65%,pt,2,UCt_4wzTQqmcUvemNkeO0plA,Ei Nerd,14200000,-nurKcv5GC8,2025-10-17T15:00:02Z,29.15 horas,"BOMBA! MARVEL ANUNCIA A FASE 6 COMPLETA, COM TRAILERS, DATAS E MAIS!","A Marvel Studios sacudiu o universo geek com novas revelações da Fase 6 do MCU! Foram trailers inéditos, anúncios oficiais e confirmações de séries e filmes que prometem redefinir o futuro do Universo Cinematográfico da Marvel. Neste vídeo nós mergulhamos em tudo o que rolou, analisando cada detalhe das novidades apresentadas e o que isso significa para o futuro dos heróis.

Entre os destaques, tivemos Magnum, Demolidor: Born Again, X-Men 97 e Vision Quest, com novas informações, teasers e comentários dos produtores. A Marvel reforçou sua aposta em histórias mais sombrias, adultas e conectadas com os eventos do multiverso. A volta do Charlie Cox como Demolidor promete ser um dos grandes marcos dessa fase, assim como o aprofundamento do Visão Branco em Vision Quest, explorando o legado tecnológico deixado por Tony Stark.

E é claro que os fãs também estão de olho em tudo que envolve Vingadores: Doomsday, Homem-Aranha 4 e o projeto do Justiceiro — que seguem cercados de teorias, vazamentos e expectativas altíssimas. Será que o Doutor Destino vai finalmente se tornar o novo grande vilão do MCU? E o Peter Parker de Tom Holland vai retornar com um tom mais sombrio, agora que o multiverso está colapsando?

A Fase 6 da Marvel promete unir gerações, resgatar personagens clássicos e abrir espaço para novos heróis, conectando tudo rumo ao evento que pode ser o mais épico desde Vingadores: Ultimato.

#Marvel #MarvelStudios #MCU #Fase6 #VingadoresDoomsday #HomemAranha4 #Justiceiro #Demolidor #CharlieCox #XMen97 #VisionQuest #Magnum #DoutorDestino #TomHolland #JonBernthal #DisneyPlus #MarvelNews #MarvelComics #Vingadores #UniversoMarvel #SuperHerois #EiNerd #CulturaGeek #CulturaNerd #ComicCon #gotf
--------------------------------------------------------------
📝  Roteiro: Caio Rohen
🎬  Edição: Tiago Mauricio
🎨  Thumbnail: Darllyson Design
🧠  Direção de Conteúdo: Caio Rohen
--------------------------------------------------------------
👉Influenciador São Paulo
https://premioibest.vote/509624443
---------------------------------------------------------------

💪😎 WheyNerd já disponível para compras, acesse: https://loja.wheynerd.com.br/
Seja um afiliado: https://afiliados.wheynerd.com.br/register

💡 𝗔𝗽𝗼𝗶𝗲 𝗻𝗼𝘀𝘀𝗼 𝗰𝗮𝗻𝗮𝗹:
✓ Crie sua conta na Hotmart e seja um afiliado: https://hotm.art/PJHotmartAfiliados
✓Você quer viver de Youtube? → https://rebrand.ly/viver-de-youtube

📧 𝐂𝐨𝐧𝐭𝐚𝐭𝐨:
✓ Comercial e novos negócios → comercial@einerd.com

🔔 𝐏𝐞𝐭𝐞𝐫 𝐉𝐨𝐫𝐝𝐚𝐧: 
✓ Instagram e Facebook →  @petjordan 
✓ Meu canal de viagem e vlogs → https://www.youtube.com/@malafeitatv

🔔 Breno Jordan: 
✓ Instagram e TikTok → @brenojordan_

Acesse nosso portal: https://www.einerd.com/

♬ 𝘔𝘶́𝘴𝘪𝘤𝘢𝘴:
✓ Music by Epidemic Sound","Nerd, ei nerd, peter jordan, UCM, MARVEL, DC, DC COMICS, CINEMA, FILMES, ANIMES, QUADRINHOS, HQS, SERIES, GEEK, CULTURA POP, SERIADOS, HERÓIS, SUPER HEROIS",00:08:50,267346,30502,648,https://i.ytimg.com/vi/-nurKcv5GC8/maxresdefault.jpg,BR
3,,,17,"Association_football, Sport",2.82%,pt-BR,3,UCZiYbVptd3PVPf4f6eR6UaQ,CazéTV,22700000,eHTizyPL6nk,2025-10-18T03:57:49Z,16.18 horas,"1ª RODADA COMPLETA DA KINGS CUP: KINGS LEAGUE BRASIL | G3X X CAPIM, FLUXO X FUNKBOL E MAIS","Assista, AO VIVO E COM IMAGENS, à primeira rodada da Kings League Brasil - 2º Split!

Hoje, você fica com os confrontos:

- FLUXO (Nobru) x FUNKBOL(Mc Hariel, Michel Elias e Kond)

- LOUD (Coringa) x REAL ELITE (Ludmilla, Whindersson Nunes e Lucas Freestyle)

- FURIA (Neymar e Cris Guedes) X DESIMPEDIDOS (Toguro e Yuri22)

- NYVELADOS (Nyvi Estephan) x DENDELE (Luqueta e Paulino Oloko)

- G3X (Gaulês e Kelvin Oliveira) x CAPIM FC (Jon Vlogs e Luva de Pedreiro)

#KingsLeagueNaCazéTV","CazéTV, Cazé TV, Casimiro ao vivo, Casimiro, CazéTV ao vivo, Cazé ao vivo, cazetv, casimiro jogos, caze tv ao vivo, jogo ao vivo, assistir futebol, cazetv ao vivo, kings league, kings league brasil, jogo kings league, kings league ao vivo, loud, furia, jogo loud, jogo furia, kelvin, gaules, neymar, nyvi, nobru, coringa, g3x, desimpedidos, jogo desimpedidos, kings loud, kings furia",08:31:09,1219174,34319,10,https://i.ytimg.com/vi/eHTizyPL6nk/maxresdefault.jpg,BR
4,,,10,"Electronic_music, Pop_music, Music, Music_of_Asia, Music_of_Latin_America",0.89%,pt,4,UCVOvoHO0LmcEJy4G91AbAMw,Dj Danny Albuquerque,1570000,MdhTa5k5Zf0,2025-10-17T14:00:41Z,30.14 horas,Dance se souber~ {TikTok} 2025 💌,"Dance se souber~ {TikTok} 2025 💌
Dance se souber~ {TikTok} 2025 💌

#dancesesoubertiktokatualizado   #dancesesouber #dancesesoubertiktok2025 #dancesesoubertiktok #mashupviral
#mashupviral #dancetiktok #tiktokmashup #tiktokviral #dancesesouber  #dancetiktok #dancesesoubertiktok2024 

Minhas Redes Sociais:
Instagram https://www.instagram.com/djdannyal/
TikTok https://www.tiktok.com/@djdannyalbuquerque

INSCREVA-SE PARA AJUDAR O CANAL🔔
COMPARTILHE ESTE VÍDEO:  https://youtu.be/cNfHV321plw
DEIXE SEU LIKE ^^ 
 




Dance se souber Tik Tok 2025 Atualizado
Tags - tiktok mashup , dance se souber músicas atualizadas, dance music , dance viral , mashup viral , dance se souber atualizadas 2025 , tente não dançar, tiktok viral video , tiktok laranja , tiktok mashup , dance funk tiktok mashup , dance se souber músicas atualizadas, dance music , dance viral , mashup viral , dance se souber atualizadas 2025 , tente não dançar, tiktok viral video , tiktok laranja , tiktok mashup , dance funk tiktok mashup , tiktok laranja , tiktok mashup , dance funk, dance se souber 2025, dance se souber tiktok 2025 atualizado novas, dance se souber tiktok 2025 atualizado, dance se souber tiktok, dance se souber, dance se souber tiktok 2024, tente não dançar tiktok, tente não dançar, tente não dançar e nem cantar, tente não dançar tik tok 2024, tente não dançar 2025, tente não dançar tik tok atualizadas, tente não dançar música do tik tok, tente não dançar versão tiktok, tiktok mashup, tiktok mashup 2025, tiktok mashup brasil, tiktok mashup 2024 brasil, tiktok mashup oficial, mashup tiktok, mashup tiktok brasil, mashup tiktok 2024, mashup funk tiktok, mashup tik tok brasil, dance se souber tiktok 2024 novas, dance se souber tiktok 2024, tente não dançar 2024, tiktok 2025, as melhores do tiktok 2024, melhores tiktok 2022, tiktok mashup 2024, tiktok brasil mashup, as melhores do tiktok 2024, músicas tiktok 2025, dance se souber 2025, mashup brasil tiktok, música de tik tok,música do tik tok,tik tok 2023,música tik tok,musicas do tik tok 2023 tiktok mashup,dance se souber músicas atualizadas,dance music,dance viral,mashup viral,dance se souber atualizadas 2022,tente não dançar,tiktok viral video,tiktok laranja,tiktok mashup,dance funk tiktok mashup,dance funk,dance ce souber músicas,Dance se souber~{Tik Tok},dance se souber tiktok brasileiro,dance se souber tiktok antigos,dancer se souber tiktok 2021,tik

dance se souber 2025,
dance se souber tiktok 2024 atualizado novas,
dance se souber tiktok 2025 atualizado,
dance se souber tiktok,
dance se souber,
dance se souber tiktok 2024,
tente não dançar tiktok,
tente não dançar,
tente não dançar e nem cantar,
tente não dançar tik tok 2024,
tente não dançar 2024,
tente não dançar tiktok atualizada,
tiktok mashup 2024,
tiktok mashup brasil,
mashup tiktok brasil,
mashup funk tiktok,
dance se souber tiktok 2024 novas,
tiktok 2024,

#dancesesoubertiktok2025  
#dancesesoubertiktok  
#dancesesoubertiktokatualizado","dance se souber, dance se souber tiktok, dance se souber tiktok 2023, musicas do tik tok, dance se souber músicas do tik tok, tiktok, tik tok, música do tik tok, música de tik tok, dança se souber, tik tok 2023, dance sober, tiktok dance se sober, dance se souber tiktok 2024, dance se souber 2024, dance se souber 2024 atualizadas, dance se souber músicas atualizadas, brazil tiktok, dance se souber tik tok, dance se souber 2025, dance se souber tiktok 2025, tiktok 2025, tik",00:08:27,238224,2055,58,https://i.ytimg.com/vi/MdhTa5k5Zf0/maxresdefault.jpg,BR
5,,,1,"Film, Entertainment",4.32%,pt-BR,5,UC2eb58Gxb613nJDjpuwWmgg,ONE Media Brasil,1340000,7LnaiG7e_VU,2025-10-16T13:26:51Z,54.70 horas,O PRIMATA Trailer Dublado (2026) Terror,"O PRIMATA Trailer Dublado (2026) Terror
© 2025 - Paramount Pictures","filmes, cinema, trailer, trailer brasileiro, brasil, dublado, O Primata, O Primata Trailer Dublado, 2026, terror",00:02:48,30962,1159,178,https://i.ytimg.com/vi/7LnaiG7e_VU/maxresdefault.jpg,BR
6,,,17,"Sport, Association_football",5.20%,pt,6,UCriRvZSnEFPSMqSya2s2U6g,Banheiristas,7940000,4dfS_XVBEv0,2025-10-17T22:47:25Z,21.36 horas,"O JOGADOR QUE VOCÊ ACERTAR, VAI PRO SEU TIME! 😱(1 GOL = 1 JOGADOR) ","Baixe AGORA de GRAÇA o EA SPORTS FC Mobile (IOS ou Android): https://fcmobile.sng.link/Dn1ol/s14xu/zcbh

Aproveita que o evento de 2º Aniversário vai só até o dia 23 de outubro!

E entre para COMUNIDADE no DISCORD: https://go.ea.com/DiscordBRBanheristas

@EASFCMOBILE 

*SponsoredbyEA *FCMobileBR *Anniversary

[INSCREVA-SE NO CANAL]

Seja membro e vire um BANHEIRISTAS VIP: https://www.youtube.com/channel/UCriRvZSnEFPSMqSya2s2U6g/join

Gravamos no melhor campo de SP, reserve sua quadra e avisa que foi nois que indicou: @arenaibirapuera

INSTAGRAM
@banheiristas
@caiolo
@vitorlo_
@owenesquilo

APENAS! CONTATO COMERCIAL: contato@banheiristas.com.br

IRMÃOS LO: https://www.youtube.com/channel/UCGmK5lxJny00jnQl03rvgEw/videos","caio, vitor, lo, banheiristas, banheristas, banheirista, criança, crianca, videos, futebol, esporte, desenhos, desafios, gol, gols, diversao, kids, teen, bfc, bfc3, banheiristasfc, banheiristas fc, banheristas fc",00:38:50,788204,39647,1352,https://i.ytimg.com/vi/4dfS_XVBEv0/maxresdefault.jpg,BR
7,,,10,"Pop_music, Music_of_Latin_America, Hip_hop_music, Music, Electronic_music",6.65%,pt-BR,7,UCuRGk7Q3-HzP036f6iCGwGg,MC Negão Original,592000,a5rcpKsSeTk,2025-10-18T01:27:37Z,18.69 horas,"BBZÃO DA BOCA INCHADA 2 - MC's Negão Original, Ryan SP,  Meno K, Paiva, Luucky, Don Juan, Willian","Ouça #bbzaodabocainchada2 em todas as plataformas de música:
Inscreva-se no canal e não perca nenhum lançamento!

Siga no instagram:
@mcnegaoriginal
@mcnegaoriginal7

Ficha Técnica:
Intérpretes: MC Negão Original, MC Ryan SP, MC Meno k, MC Paiva, MC Luucky, MC Don Juan, MC Willian
Produção Musical: DJ Japa NK, Davi Dog Dog
Designer Gráfico: juniorsantzz


Equipe MC Negão Original:
Gestão de lançamentos: Ian Andrade
Marketing: Ian Andrade

Equipe Warner Music:
A&R: Ana Paula Paulino,
Marketing: Vitória Scharf

Publicidade: Comercial.fusionrecords@gmail.com
Shows: (11) 94752-5022

Uma realização Warner Music Brasil e Fusion Records.

Este videofonograma é um produto original e próprio da Gravadora e Editora. A cópia dele ou o reenvio do mesmo resultará em grandes implicações ao seu canal do Youtube ou até a exclusão do mesmo.

Fusion Records ®️
#fusionrecords  

Ano 2025","funk, mc negao original, funk consciente, brazil",00:09:11,109680,6751,540,https://i.ytimg.com/vi/a5rcpKsSeTk/maxresdefault.jpg,BR
8,,,20,"Action-adventure_game, Video_game_culture, Action_game, Role-playing_video_game",13.54%,pt,8,UCdlJx-w37viXFNq__qZ7ARQ,PAULINHO O LOKO,7070000,lf44C19PXs0,2025-10-18T00:05:20Z,20.06 horas,INVADIRAM o EXÉRCITO e DEU RUIM 😱 GTA RP (Paulinho o LOKO),"VOTE NO PAAAULO: https://peb.gg/votacoes/indicacao_publica/

LIVES em: www.kick.com/paulinholokobr

Meu Instagram: @paulinhooloko

Contato Empresarial: modderempresarial@outlook.com

Editado por: @andersonmatsu55","modder, modder dois, modder 2, anti rp, anti roleplay, paulinho o loco, paulinho o loko, gta anti rp, gta roleplay, gta anti roleplay, mother dois, paulinho louco, paulinho loco, voz fina no jogo, jogo que imita a vida real, gta",00:23:54,618895,82317,1479,https://i.ytimg.com/vi/lf44C19PXs0/maxresdefault.jpg,BR
9,,,10,"Music, Pop_music, Entertainment, Video_game_culture",11.52%,en,9,UCLCdyRg3u5O-EVP5p46QxcQ,CG5,9040000,GVU9bmt1QK4,2025-10-17T22:00:07Z,22.15 horas,CG5 - Locked Away (from Dandy's World),"STREAM NOW ▶ https://cg5.lnk.to/lockedaway
Special thanks to @Qwelver for allowing me to be a part of the Dandy's World universe!

Song by @CG5
Animation by @Jonlanty

Buy exclusive Dandy’s World merch ▶ https://dandysworld.gg/collections/cg5
Play Dandy's World ▶ https://www.roblox.com/games/16552821455/Game
Get tickets for my tour ▶ https://cg5music.com

Follow CG5's social media:
Twitter ▶ http://twitter.com/cg5beats
Twitch ▶ https://www.twitch.tv/cg5music
Spotify ▶ https://sptfy.com/cg5_
Instagram ▶ http://www.instagram.com/cg5beats/

Follow @cg5live105, @cg5covers107, & @cg5instrumentals461
Discord Server ▶ https://discord.gg/CG5","cg5, cg5 song, locked away cg5, cg5 dandy's world, dandy's world, dandy's world song, dandy's world cg5, gourdy dandys world, roblox song, roblox, cg5 roblox song, cg5 roblox, locked away dandy's world",00:02:30,885744,91658,10397,https://i.ytimg.com/vi/GVU9bmt1QK4/maxresdefault.jpg,US
10,,,20,"Action_game, Role-playing_video_game, Video_game_culture, Action-adventure_game",3.21%,pt-BR,10,UCUouM5ZRqZoFNzUvpDeYNGQ,Lucas Clash ON,7190000,iDfbOG0hhqc,2025-10-17T22:23:24Z,21.76 horas,Encontrei um Scammer fingindo ser Eu no Roube um Brainrot,"🌵Participem do  meu Grupo do Roblox 
https://www.roblox.com/pt/communities/17079112/ON-Cactus#!/store
💚Discord Oficial do canal https://discord.com/invite/lucasclashon
✅Meu perfil oficial do Roblox - https://www.roblox.com/pt/users/3818273238/profile",,00:15:59,599699,17216,2013,https://i.ytimg.com/vi/iDfbOG0hhqc/maxresdefault.jpg,BR
