Posicao na coleta,Gênero do vídeo,Tipo de produtor,Categoria do vídeo,guideCategory,Taxa de engajamento,Idioma,Posicao Geral,Id do canal,Canal,Inscritos no canal,Id do vídeo,Data de publicação,Diferenca de horas entre postagem e coleta,Título do vídeo,Descrição do vídeo,Tags do video,Duração do vídeo,Visualizações,Gostei,Comentários,thumbnail_maxres,Pais
1,,,10,"Music_of_Latin_America, Hip_hop_music, Music, Electronic_music, Pop_music",2.49%,pt-PT,1,UCBHxOYXaqJL3ygXZkkztVHA,MC MENO K,750000,c70Dvo-LyM0,2026-01-09T21:00:06Z,11.21 horas,Amo Minha Favela - MC Meno K e DJ Japa NK (Video Clipe Oficial),"Amo Minha Favela - MC Meno K e DJ Japa NK (Video Clipe Oficial) 

Siga no Instagram: https://www.instagram.com/mcmenok

Contrate: +551199907-2949

Ficha técnica:

Direção: Vitor Tavares
Assistente câmera: Danilo Silva 
Edição & Finalização: Vitor Tavares & João Vitor Costa 
SFX: Joao Vitor Costa 
Intro: Styler VFX
Direção Fotografia: Vitor Tavares
Color Grading: Vitor Tavares
Produtor de Locação : VT Rocinha 
Motorista: Fechamento 
Produção Casting: Vívian & Figueiredo


‪Bolo Records ©️ 2026.",,00:02:15,109134,2601,120,https://i.ytimg.com/vi/c70Dvo-LyM0/maxresdefault.jpg,BR
2,,,24,"Entertainment, Film",10.84%,pt,2,UCt_4wzTQqmcUvemNkeO0plA,Ei Nerd,14300000,dxxe_NG7_TQ,2026-01-10T00:03:00Z,8.16 horas,BOMBA! TRAILER DOS X-MEN EM VINGADORES DOOMSDAY [análise completa],"Último dia e último pedido pro IBest! Vota lá garela. Obrigado pelo apoio e carinho de vocês.
VAMO COBRAR O PETER DO TREINO DO SAITAMA!

Creator do ano: https://premioibest.vote/540868531
Fandom Brasil: https://premioibest.vote/540746426
Influenciador de Opinião: https://premioibest.vote/939793423
Influenciador de Cinema Tv e Streaming: https://premioibest.vote/997247940
YouTuber do ano: https://premioibest.vote/560225642
Influenciador de economia e negócios: https://premioibest.vote/386335179
Influenciador Tuiteiro: https://premioibest.vote/156441962
Influenciador de São Paulo: https://premioibest.vote/509624443
--------------------------------------------------------------
BOMBA ABSURDA no MCU: o trailer de X-MEN em Vingadores Doomsday finalmente saiu — e nada é por acaso. A Mansão Xavier destruída, Sentinelas em campo, Doutor Destino puxando as cordas, o Magneto do Sir Ian McKellen de volta e um Ciclope azul e amarelo FULL POWER mudam completamente o jogo. É nostalgia, ameaça real e guerra mutante anunciada.

Neste vídeo a gente faz a análise completa do teaser, conecta HQs clássicas, explica o papel do Ciclope como líder supremo dos X-Men, o possível sacrifício do Magneto, a troca de Kang por Doutor Destino e por que esse filme pode ser o evento mais importante da Marvel em anos. Detalhe escondido, referência pesada e teoria insana — se você é fã de X-Men, esse trailer não foi feito pra passar batido.

#Vingadores #VingadoresDoomsDay #Marvel #UCM #MCU #Ciclope #Wolverine #Magneto #CharlesXavier #XMen #DoutorDestino #RobertDowneyJr 
--------------------------------------------------------------
🌐 Quer ficar por dentro de tudo que acontece no mundo da cultura pop? Acesse: https://www.einerd.com/
--------------------------------------------------------------
📝  Roteiro: Caio Rohen
🎬  Edição: Fael
🎨  Thumbnail: Darllyson Design
🧠  Direção de Conteúdo: Caio Rohen
--------------------------------------------------------------

💪😎 WheyNerd já disponível para compras, acesse: https://loja.wheynerd.com.br/
Seja um afiliado: https://afiliados.wheynerd.com.br/register

💡 𝗔𝗽𝗼𝗶𝗲 𝗻𝗼𝘀𝘀𝗼 𝗰𝗮𝗻𝗮𝗹:
✓ Crie sua conta na Hotmart e seja um afiliado: https://hotm.art/PJHotmartAfiliados
✓Você quer viver de Youtube? → https://rebrand.ly/viver-de-youtube

📧 𝐂𝐨𝐧𝐭𝐚𝐭𝐨:
✓ Comercial e novos negócios → comercial@einerd.com

🔔 𝐏𝐞𝐭𝐞𝐫 𝐉𝐨𝐫𝐝𝐚𝐧: 
✓ Instagram e Facebook →  @petjordan 
✓ Meu canal de viagem e vlogs → https://www.youtube.com/@malafeitatv

🔔 Breno Jordan: 
✓ Instagram e TikTok → @brenojordan_

Acesse nosso portal: https://www.einerd.com/

♬ 𝘔𝘶́𝘴𝘪𝘤𝘢𝘴:
✓ Music by Epidemic Sound","Nerd, ei nerd, peter jordan, UCM, MARVEL, DC, DC COMICS, CINEMA, FILMES, ANIMES, QUADRINHOS, HQS, SERIES, GEEK, CULTURA POP, SERIADOS, HERÓIS, SUPER HEROIS",00:08:44,160187,16747,619,https://i.ytimg.com/vi/dxxe_NG7_TQ/maxresdefault.jpg,BR
3,,,20,"Action_game, Role-playing_video_game, Video_game_culture, Action-adventure_game",6.48%,pt-PT,3,UCIXguhHCl8eDTkXpEuiGPUA,Jazzghost,22600000,IFaWzzZmsWQ,2026-01-09T15:51:04Z,16.36 horas,FIVE NIGHTS AT CHAVES! - Chaves Nightmares,"Criaram um jogo de Chaves inspirado em Five Nights at Freddy's! CONFIRA E SARAIVA O LIKE!
●Nome do Jogo: Chaves Nightmares
======================
●Instagram: julianoab
●Email de contato: jazzghost@gmail.com","jazzghost, jazz, Chaves Nightmares, fnaf, Five Nights at Freddy's",00:28:16,1699155,101544,8515,https://i.ytimg.com/vi/IFaWzzZmsWQ/maxresdefault.jpg,N/A
4,,,10,"Electronic_music, Pop_music, Music_of_Latin_America, Music",0.79%,pt,4,UCVOvoHO0LmcEJy4G91AbAMw,Dj Danny Albuquerque,1630000,FxQZaRV-SZE,2026-01-09T14:00:23Z,18.21 horas,Dance se souber Tik Tok (2026) 💜,"Dance se souber Tik Tok (2026) 💜
Dance se souber Tik Tok (2026) 💜

#dancesesoubertiktokatualizado   #dancesesouber #tiktok2025 #tiktok2026  #dancesesoubertiktok2026 #dancesesoubertiktok #mashupviral
#mashupviral #dancetiktok #tiktokmashup #tiktokviral #dancesesouber  #dancetiktok #dancesesoubertiktok2025 

Minhas Redes Sociais:
Instagram https://www.instagram.com/djdannyal/
TikTok https://www.tiktok.com/@djdannyalbuquerque

INSCREVA-SE PARA AJUDAR O CANAL🔔
COMPARTILHE ESTE VÍDEO:  https://youtu.be/cNfHV321plw
DEIXE SEU LIKE ^^ 
 




Dance se souber Tik Tok 2025 Atualizado
Tags - tiktok mashup , dance se souber músicas atualizadas, dance music , dance viral , mashup viral , dance se souber atualizadas 2025 , tente não dançar, tiktok viral video , tiktok laranja , tiktok mashup , dance funk tiktok mashup , dance se souber músicas atualizadas, dance music , dance viral , mashup viral , dance se souber atualizadas 2025 , tente não dançar, tiktok viral video , tiktok laranja , tiktok mashup , dance funk tiktok mashup , tiktok laranja , tiktok mashup , dance funk, dance se souber 2025, dance se souber tiktok 2025 atualizado novas, dance se souber tiktok 2025 atualizado, dance se souber tiktok, dance se souber, dance se souber tiktok 2024, tente não dançar tiktok, tente não dançar, tente não dançar e nem cantar, tente não dançar tik tok 2024, tente não dançar 2025, tente não dançar tik tok atualizadas, tente não dançar música do tik tok, tente não dançar versão tiktok, tiktok mashup, tiktok mashup 2025, tiktok mashup brasil, tiktok mashup 2024 brasil, tiktok mashup oficial, mashup tiktok, mashup tiktok brasil, mashup tiktok 2024, mashup funk tiktok, mashup tik tok brasil, dance se souber tiktok 2024 novas, dance se souber tiktok 2024, tente não dançar 2024, tiktok 2025, as melhores do tiktok 2024, melhores tiktok 2022, tiktok mashup 2024, tiktok brasil mashup, as melhores do tiktok 2024, músicas tiktok 2025, dance se souber 2025, mashup brasil tiktok, música de tik tok,música do tik tok,tik tok 2023,música tik tok,musicas do tik tok 2023 tiktok mashup,dance se souber músicas atualizadas,dance music,dance viral,mashup viral,dance se souber atualizadas 2022,tente não dançar,tiktok viral video,tiktok laranja,tiktok mashup,dance funk tiktok mashup,dance funk,dance ce souber músicas,Dance se souber~{Tik Tok},dance se souber tiktok brasileiro,dance se souber tiktok antigos,dancer se souber tiktok 2021,tik

dance se souber 2025,
dance se souber tiktok 2024 atualizado novas,
dance se souber tiktok 2025 atualizado,
dance se souber tiktok,
dance se souber,
dance se souber tiktok 2024,
tente não dançar tiktok,
tente não dançar,
tente não dançar e nem cantar,
tente não dançar tik tok 2024,
tente não dançar 2024,
tente não dançar tiktok atualizada,
tiktok mashup 2024,
tiktok mashup brasil,
mashup tiktok brasil,
mashup funk tiktok,
dance se souber tiktok 2024 novas,
tiktok 2024,

#dancesesoubertiktok2025  
#dancesesoubertiktok  
#dancesesoubertiktokatualizado","brazil tiktok, músicas, música tiktok, dança se souber, dancinhas do tik tok, dance se souber tiktok, dance se souber, música de tik tok, dance souber, 2025, 2025 tiktok, 2025 musicas, tiktok 2025, dance se souber tiktok 2025, música, tik tok, tiktok, musicas, dance se souber 2025, música do tik tok, dance se souber sem palavrão, dance se souber tiktok 2024, dance se souber 2024, tiktok 2024, dj danny albuquerque dance se souber, dj danny albuquerque",00:08:19,165027,1255,42,https://i.ytimg.com/vi/FxQZaRV-SZE/maxresdefault.jpg,BR
5,,,1,"Entertainment, Film",9.90%,pt,5,UC5XG4yYM-_DQ-3HPRuam76Q,ingresso.com,2640000,xEX8bNEwYEE,2026-01-09T23:01:32Z,9.19 horas,Terror em Silent Hill - Regresso para O Inferno | Teaser Trailer Oficial Dublado,"Terror em Silent Hill - Regresso para O Inferno | Teaser Trailer Oficial Legendado

Assista ao novo teaser trailer de #TerroEmSilentHillRegressoParaOInferno - o filme estreia em 22 de janeiro nos cinemas do Brasil!

Somos o melhor destino para quem busca trailers assim que eles são lançados.

Se você é fã de cinema como a gente, INSCREVA-SE e receba todas as novidades dos seus filmes favoritos!

► Baixe nossos apps:
Android: https://goo.gl/ZOknfm
iOS: https://goo.gl/hFbnMY

► Compre ingressos para as melhores estreias: https://www.ingresso.com

► Assine UOL e Ganhe R$ 20 Por Mês Para Usar com cinema na Ingresso.com: https://bit.ly/3yX0hyd

► Siga a Ingresso no INSTAGRAM: https://www.instagram.com/ingressocom/

► Curta a Ingresso no FACEBOOK: https://www.facebook.com/ingressocom

► Fique por dentro das novidades do universo do cinema no nosso canal no WHATSAPP: https://whatsapp.com/channel/0029Va58whvFCCoURznPIG0n","Lançamentos;, Filmes, Cinema, Estreias, Trailers, filme completo, crítica, ingresso.com, review, análise, cinema 2025, fas de cinema, ingressos de cinema, desconto cinema, conteúdo de cinema, curiosidades",00:00:41,14128,1303,95,,BR
6,,,20,"Role-playing_video_game, Video_game_culture, Action_game",4.18%,pt-BR,6,UCR-Y4lWmrCYbr1XavmNMlvQ,Canal Clash War,14500000,sVDdja9aRts,2026-01-09T21:45:02Z,10.46 horas,O TOP 1 DO MUNDO NO BRAINROT ME MANDOU UM VÍDEO… FUI HUMILHADO 😭🏆,"Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UCR-Y4lWmrCYbr1XavmNMlvQ/join

►Discord LCW ➜https://discord.gg/canalclashwar
►Instagram➜https://instagram.com/luanclashwar
Contato Profissional: contato@clashwar.org (APENAS PARA EMPRESAS)",,00:16:48,437594,14578,3717,https://i.ytimg.com/vi/sVDdja9aRts/maxresdefault.jpg,BR
7,,,10,"Music_of_Latin_America, Music, Hip_hop_music, Electronic_music, Pop_music",0.68%,pt-BR,7,UCACd7LjwgWEoBLljE07IIPg,Caio Passos,66500,MEw1Zl-ZrOo,2026-01-08T21:21:18Z,34.86 horas,"TO EM FRENTE AO MAR - MC's IG, Magal, Davi, Ryan SP,  PH, Don Juan ( Caio Passos )",,,00:07:00,52107,353,3,https://i.ytimg.com/vi/MEw1Zl-ZrOo/maxresdefault.jpg,BR
8,,,1,"Entertainment, Film",2.65%,pt-BR,8,UCUUTkC63PgxN5oWMw3KiIuw,Filmes Em Resumo,437000,0W2_3CVbaGo,2026-01-09T22:47:53Z,9.41 horas,Vingadores: Doutor Destino | Teaser Trailer 4 Dublado | Avengers Doomsday | Teaser Conceitual Com IA,"🎬 Vingadores: Doutor Destino | Teaser Trailer 4 Dublado | Avengers Doomsday | Teaser Conceitual Com IA

Assista a esta recriação conceitual inspirada no Teaser Trailer 4 de Vingadores: Doutor Destino — o qual vazou online antes de qualquer divulgação oficial, provocando um furor no fandom e gerando novas teorias sobre a futura fase do MCU. 

🛡️ O que os vazamentos sugerem sobre o Teaser 4:
🔥 O quarto teaser — supostamente vazado e compartilhado em baixa qualidade em redes sociais — foca menos na ameaça direta do Doutor Destino e mais em conexões entre mundos, alianças improváveis e novos encontros. 
👑 Cenas mostrariam Shuri (Talokan e Wakanda) interagindo com aliados como Namor, M’Baku e integrantes do Quarteto Fantástico, incluindo Ben Grimm (Coisa), sugerindo uma aliança entre Wakanda e o Quarteto Fantástico no combate à crise multiversal iminente. 

📸 O vazamento indica que:

Shuri desempenha um papel central, possivelmente como ponte entre diferentes realidades e linhas do tempo. 

Wakanda aparece novamente em destaque, com personagens estabelecendo novos conflitos e alianças. 

M’Baku interage com membros do Quarteto Fantástico em cenas que conectam universos e sugerem o início de uma coalizão contra a ameaça global. 


🔥 Além disso, o vazamento alimentou conversas sobre um crossover ainda maior do MCU, unindo Wakandanos, Quarteto Fantástico e X-Men — alinhado com teorias de marketing que indicam múltiplos teasers focados em personagens diferentes antes do trailer completo. 

👀 Repercussão entre fãs:
O vazamento do Teaser 4 não só trouxe imagens inéditas, mas também reforçou debates intensos na comunidade sobre o papel de figuras clássicas e novas gerações de heróis no MCU, além de como Doutor Destino pode alterar para sempre as regras do multiverso. 

⚠️ IMPORTANTE: Até o momento, nada disso foi confirmado oficialmente pela Marvel Studios — trata-se de material circulando na internet através de vazamentos, rumores e especulações, por isso trate essa recriação como conceitual e não oficial.

💬 E você?
O Teaser 4 indica que estamos prestes a ver o início de uma grande aliança multiversal?
Shuri, Wakanda e o Quarteto Fantástico vão mudar tudo no MCU?
Deixe sua teoria nos comentários!

⚠️ AVISO IMPORTANTE
Este vídeo é FAN-MADE / CONCEITUAL. Trata-se de uma recriação artística baseada nos vazamentos do Teaser Trailer 4, sem qualquer vínculo oficial com a Marvel Studios.

──────────────────
🎥 Recriação com dublagem feita usando como base os vídeos:

Wakandans & The Fantastic 4 WilL Return""
Avengers: Doomsday - Trailer 4 ""The
(2026) Marvel Studios
https://youtu.be/q6Hba4DzdxU

AVENGERS: DOOMSDAY (2026)|
Wakandans & Fantastic 4 Trailer Marvel
Comics | Concept
https://youtu.be/bEUjyC3ODFU

──────────────────
🔎 Palavras-chave / Tags:
vingadores doomsday, vingadores doutor destino, avengers doomsday, avengers doomsday teaser 4, vazou teaser vingadores, wakanda, quarteto fantástico, MCU, shuri, namor, ben grimm, marvel multiverso, doutor destino, teaser vazado vingadores, teaser vingadores doomsday, vingadores 5, vingadores doutor destino, robert downey jr doutor destino, marvel, novos vingadores, avengers doomsday teaser, teaser","vingadores doutor destino trailer, trailer vingadores doutor destino, vingadores doomsday trailer dublado, vingadores doutor destino trailer coisa, vingadores doutor destino teaser, avengers doomsday teaser trailer, trailer vingadores doutor destino novo, teaser de vingadores doomsday, vingadores doomsday trailer, doomsday trailer, doutor destino trailer, doutor destino teaser 4, wakanda, quarteto fantástico",00:01:05,4721,123,2,https://i.ytimg.com/vi/0W2_3CVbaGo/maxresdefault.jpg,BR
9,,,20,"Action-adventure_game, Society, Video_game_culture, Role-playing_video_game",1.45%,en-US,9,UCz7UV7tV6V2hVBfLXeeu-eA,Murilão Gamer,481000,RvV7liYB5jM,2026-01-10T04:18:38Z,3.90 horas,🔴1V1 COM INSCRITOS! + KETCHURU GOLD + TIC TAC SAHUR LAVA!,,,04:21:48,417288,6020,17,https://i.ytimg.com/vi/RvV7liYB5jM/maxresdefault.jpg,BR
10,,,10,"Soul_music, Rhythm_and_blues, Pop_music, Music, Electronic_music, Hip_hop_music",8.80%,en,10,UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,42500000,mrV8kK5t0V8,2026-01-09T05:01:04Z,27.19 horas,Bruno Mars - I Just Might [Official Music Video],"Bruno Mars - I Just Might

The Romantic – the new album from Bruno Mars, available February 27. Pre-order now: https://brunomars.lnk.to/TheRomantic

Stream ""I Just Might"": https://brunomars.lnk.to/IJustMight

Lyrics: 
You stepped inside with a vibe I ain’t never seen
Yes you did Ooh
Girl if you talk like you walk come and talk to me
But look here
It would break my heart break my heart break my heart if I find out you can’t move
You better show me now show me now show me now
Cause when I take you to the floor ooh you gotta get down
You know what to do
Hey Mr DJ (oh oh oh)
Play a song for this pretty little lady (oh oh oh)
Cause if she dance as good as she look right now (oh oh oh)
I just might, I just might make her my baby
I just might make her my baby
I just might I just might
But first, may I just say that your face got me so intrigued (I’m so intrigued)
But what good is beauty if your booty can’t find the beat (I don’t wanna know girl, So please don’t do that to
me)
It would break my heart break my heart break my heart if I find out you can’t move
You better show me now show me now show me now.
Cause when I take you to the floor ooh you gotta get down
You know what to do
Hey Mr DJ (oh oh oh)
Play a song for this pretty little lady (oh oh oh)
Cause if she dance as
good as she look right now ( oh oh oh)
I just might I just might make her my baby
I just might make her my baby
This the part where you break it all the way down down down down
This the part where I turn you all the way around round round round
Put some spirit in it put your heart into
That’s all I need (And if I like what I see you’re coming home with me)
Hey Mr DJ (oh oh oh)
Play a song for this pretty little lady (oh oh oh)
Cause if she dance as good as she look right now (oh oh oh)
I just might, I just might make her my baby
I just might make her my baby
I just might I just might

Directed by: Daniel Ramos & Bruno Mars
Choreography by: Phil Tayag & Bruno Mars
DP: Todd Banhazl
VFX: Jo Murayama 
Producer: Jeremy Sullivan

Join Bruno’s mailing list: https://drop.cobrand.com/d/BrunoMars/Subscribe

Shop Bruno’s official store: https://brunomars.lnk.to/officialstore

Connect with Bruno: 
https://www.tiktok.com/@brunomars
https://www.instagram.com/brunomars
https://www.youtube.com/brunomars
https://x.com/brunomars
https://www.facebook.com/brunomars

https://brunomars.com

Bruno Mars is a 16x GRAMMY®-winning global superstar, singer, songwriter, multi-instrumentalist, producer, and one of the most-streamed artists in the world. Known for his showmanship and chart-toppers, Bruno has set a number of records throughout his career, including becoming the first artist ever to hit 150 million monthly listeners on Spotify, appearing on two of the fastest songs to reach one billion streams (for “Die with a Smile” with Lady Gaga and “APT.” with ROSÉ, and achieving the highest-certified song in RIAA history with 2010’s “Just the Way You Are”). Since launching a string of hits beginning in 2009, Bruno has sold over 150 million records worldwide, making him one of the best-selling artists of all time. Beyond his work as a soloist, Bruno is a member of the duo Silk Sonic with Anderson .Paak. In addition to his 35 Billboard Hot 100 hits, including nine number one singles, Bruno is the recipient of 16 GRAMMY® Awards (including “Album of the Year” for 24K Magic), 14 American Music Awards, and seven MTV Video Music Awards. His 24K Magic World Tour was among the highest-grossing tours in history, and within the top ten highest-grossing of the 2010s.

#BrunoMars #IJustMight #OfficialMusicVideo","bruno mars, bruno, atlantic records, official video, pop music, R&B, funk, soul, Bruno Mars - I Just Might [Official Music Video], bruno mars i just might, i just might bruno mars, i just might, bruno mars new music, bruno mars new song, mars, bruno mars album, just, might, just might, bruno mars the romantic, the romantic, the romantic bruno mars",00:03:33,7150636,595641,33625,https://i.ytimg.com/vi/mrV8kK5t0V8/maxresdefault.jpg,N/A
