Posicao na coleta,Gênero do vídeo,Tipo de produtor,Categoria do vídeo,guideCategory,Taxa de engajamento,Idioma,Posicao Geral,Id do canal,Canal,Inscritos no canal,Id do vídeo,Data de publicação,Diferenca de horas entre postagem e coleta,Título do vídeo,Descrição do vídeo,Tags do video,Duração do vídeo,Visualizações,Gostei,Comentários,thumbnail_maxres,Pais
1,,,10,"Music, Christian_music",1.63%,pt-PT,1,UCPQILPirRd-KCacTWkJLyIA,Giselli Cristina - Topic,114000,CI3mO2LcZVM,2026-07-19T10:04:35Z,58.85 horas,Vai dar Tudo Certo,"Provided to YouTube by IIP-DDS

Vai dar Tudo Certo · Giselli Cristina · Nícolas Henrique

Vai dar Tudo Certo

℗ Labidad Music

Released on: 2026-07-20

Producer: Nicolas Henrique
Music Publisher: Controle Próprio
Composer, Lyricist: Waldecy Aguiar

Auto-generated by YouTube.","Giselli Cristina, Nícolas Henrique, Vai dar Tudo Certo",00:03:38,23737,370,18,https://i.ytimg.com/vi/CI3mO2LcZVM/maxresdefault.jpg,N/A
2,,,24,"Film, Entertainment",17.03%,pt,2,UCt_4wzTQqmcUvemNkeO0plA,Ei Nerd,14600000,fUX_uDX0tJM,2026-07-21T15:45:17Z,5.17 horas,VINGADORES DOOMSDAY: ANÁLISE COMPLETA DO TRAILER!,"Crie seu Canal Dark e lucre com isso! Acesse: https://formulayoutube.com.br/ytd-pv1-v1?utm_source=YT_NN&vk_source=organic_youtube&utm_medium=ZUnxioYONT0&campaign=YT_NN_21072026
--------------------------------------------------------------
Assista ao clipe de 'Se o Amor Existe' que tá maneiro demais! https://www.youtube.com/watch?v=6nhyylJwSqk
Ouça também em todas as plataformas digitais: https://onerpm.link/peter_SeoAmorExiste
--------------------------------------------------------------
VINGADORES: DOOMSDAY finalmente revelou seu primeiro trailer oficial e a Marvel acaba de mudar o futuro do MCU! Doutor Destino, Robert Downey Jr., Thor, Steve Rogers, Loki, Quarteto Fantástico, X-Men, incursões e a maior guerra do Multiverso já começaram. Mas será que esse trailer revelou muito mais do que parece? Quem realmente está por trás do colapso dos universos? E o Doutor Destino já se tornou a entidade mais poderosa da Marvel?

Neste vídeo, analisamos CADA FRAME do trailer de Avengers: Doomsday, conectando easter eggs, referências aos quadrinhos, Guerras Secretas, Battleworld, Beyonders, Loki, TVA, incursões, Sentinelas, Quarteto Fantástico, X-Men e os maiores vazamentos que agora parecem ter sido confirmados. Prepare-se para a análise definitiva do trailer que pode mudar completamente o futuro dos Vingadores e da Saga do Multiverso!

#Vingadores #VingadoresDoomsday #AvengersDoomsday #DoutorDestino #SecretWars #GuerrasSecretas #Marvel #MCU #XMen #QuartetoFantastico #HomemAranha #UCM #Loki #CapitãoAmérica #TVA #Deadpool #HughJackman #ChrisEvans #TobeyMaguire #Thor #RobertDowneyJr #Doom 
--------------------------------------------------------------
🌐 Quer ficar por dentro de tudo que acontece no mundo da cultura pop? Acesse: https://www.einerd.com/
--------------------------------------------------------------
📝  Roteiro: William Prado
🎬  Edição: Will
🎨  Thumbnail: Darllyson Design
🧠  Direção de Conteúdo: Caio Rohen
--------------------------------------------------------------

💪😎 WheyNerd já disponível para compras, acesse: https://loja.wheynerd.com.br/
Seja um afiliado: https://afiliados.wheynerd.com.br/register

💡 𝗔𝗽𝗼𝗶𝗲 𝗻𝗼𝘀𝘀𝗼 𝗰𝗮𝗻𝗮𝗹:
✓ Crie sua conta na Hotmart e seja um afiliado: https://hotm.art/PJHotmartAfiliados
✓Você quer viver de Youtube? → https://rebrand.ly/viver-de-youtube

📧 𝐂𝐨𝐧𝐭𝐚𝐭𝐨:
✓ Comercial e novos negócios → comercial@einerd.com

🔔 𝐏𝐞𝐭𝐞𝐫 𝐉𝐨𝐫𝐝𝐚𝐧: 
✓ Instagram e Facebook →  @petjordan 
✓ Meu canal de viagem e vlogs → https://www.youtube.com/@malafeitatv

🔔 Breno Jordan: 
✓ Instagram e TikTok → @brenojordan_

Acesse nosso portal: https://www.einerd.com/

♬ 𝘔𝘶́𝘴𝘪𝘤𝘢𝘴:
✓ Music by Epidemic Sound","Nerd, ei nerd, peter jordan, UCM, MARVEL, DC, DC COMICS, CINEMA, FILMES, ANIMES, QUADRINHOS, HQS, SERIES, GEEK, CULTURA POP, SERIADOS, HERÓIS, SUPER HEROIS",00:20:46,224093,37077,1088,https://i.ytimg.com/vi/fUX_uDX0tJM/maxresdefault.jpg,BR
3,,,20,"Action-adventure_game, Video_game_culture, Action_game",8.10%,pt-PT,3,UCIXguhHCl8eDTkXpEuiGPUA,Jazzghost,24300000,_ockncPYI4w,2026-07-21T15:00:02Z,5.92 horas,EU... EU ME ASSUSTEI COM O REMAKE DE GARTEN OF BANBAN!,"Garten of Banban lançou uma atualização do primeiro capítulo do jogo, dando uma repaginada nos gráficos, aumentando o conteúdo e até mesmo adicionando um novo monstro! CONFIRA E SARAIVA O LIKE!
●Nome do Jogo: Garten of Banban
======================
●Instagram: julianoab
●Email de contato: comercial@agenciacurta.com","jazzghost, jazz, garten of banban",00:36:04,728043,55104,3895,https://i.ytimg.com/vi/_ockncPYI4w/maxresdefault.jpg,N/A
4,,,10,"Music_of_Latin_America, Music, Christian_music",4.04%,pt-PT,4,UCS3dtTYJQM67rEM0F2fh7Hw,Sarah Farias - Topic,39000,qTARaUSIzUo,2026-07-21T03:01:42Z,17.90 horas,Eu Me Humilho (Ao Vivo),"Provided to YouTube by MK Music

Eu Me Humilho (Ao Vivo) · Sarah Farias

Eu Me Humilho (Ao Vivo)

℗ 2026 MK Music

Released on: 2026-07-21

Producer: Thiago Araújo
Composer Lyricist: Sarah Farias

Auto-generated by YouTube.","Sarah Farias, Eu Me Humilho (Ao Vivo)",00:04:44,14266,567,10,https://i.ytimg.com/vi/qTARaUSIzUo/maxresdefault.jpg,N/A
5,,,1,"Entertainment, Film",10.39%,pt-PT,5,UCItRs-h8YU1wRRfP637614w,Marvel Brasil,1440000,TcBtFtkQFiU,2026-07-20T14:24:13Z,30.52 horas,Vingadores: Doutor Destino | Trailer Oficial Dublado,"Vamos precisar de um milagre.

#Vingadores: Doutor Destino, em 17 de dezembro nos cinemas.",,00:02:26,1370128,133758,8530,https://i.ytimg.com/vi/TcBtFtkQFiU/maxresdefault.jpg,BR
6,,,20,"Action_game, Action-adventure_game, Video_game_culture, Role-playing_video_game",3.39%,pt-BR,6,UCrcBZDofBltcgGxphNia2tw,ProbIems,12300000,0PYtiGD8M2M,2026-07-21T13:00:36Z,7.92 horas,100 Jogadores Sobrevivem em BASES SECRETAS no MINECRAFT!,"Servidor de discord:
https://discord.gg/2jtYumJKuZ

Minha Loja:
https://www.curtaloja.com/marca/problems.html

Contato COMERCIAL:
comercial@agenciacurta.com

Segue a turma no instagram:

Problems💙 https://www.instagram.com/problems_sr/
Mel 💛https://www.instagram.com/kaikemel/
Kadu 💖 https://www.instagram.com/kadukon/
Stick 💚https://www.instagram.com/guualfaro/
Zoom 🧡 https://www.instagram.com/josedu4rd/

ATENÇÃO: O conteúdo do vídeo é 100% family friendly, ou seja qualquer um pode assistir com toda a familia quando quiser!!

#problems #minecraft","maniqueft, lego, problems, probrems, probres, pobrems, problemas, problema, pobrema, mainequeft, minecraft, video do problema, video do problems, video do pobrems, minecraft survival, minecraft mitos, minecraft fatos, problems roblox, roblox, pobrems roblox, pobris roblox, pobrema roblox, problema roblox",00:20:47,277512,8777,623,https://i.ytimg.com/vi/0PYtiGD8M2M/maxresdefault.jpg,BR
7,,,10,"Music, Music_of_Asia, Pop_music, Entertainment",21.10%,ko,7,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,85300000,NySBAMooqOc,2026-07-21T11:00:01Z,9.93 horas,BTS ‘NORMAL’ MV Behind the Scenes,"#BTS #방탄소년단 #BTS_NORMAL

Connect with BTS:
https://ibighit.com/bts
https://x.com/bts_bighit
https://x.com/BTS_twt
http://www.facebook.com/bangtan.official
https://www.youtube.com/user/BANGTANTV
http://instagram.com/BTS.bighitofficial
https://www.tiktok.com/@bts_official_bighit
https://go.weverse.io/qt3S/ti7qve0j
https://www.weibo.com/BTSbighit","방탄소년단, BTS, BANGTAN, 알엠, RM, 슈가, SUGA, 제이홉, jhope, 지민, 정국, k-pop, 방탄, j-hope, Jung Kook, Jimin, BTS V, Jin",00:06:47,944903,191162,8256,https://i.ytimg.com/vi/NySBAMooqOc/maxresdefault.jpg,N/A
8,,,1,"Entertainment, Film",15.12%,pt,8,UC9NXpIA01HVRhYgcEbs80Nw,Sony Pictures Brasil,1060000,bwt2-nyEP0A,2026-07-21T16:00:19Z,4.92 horas,Homem-Aranha: Um Novo Dia - Trailer Final (A Jornada de Peter) - Dublado,"É UM NOVO DIA para Peter Parker. Combatendo o crime em tempo integral como Homem-Aranha em um mundo que não se lembra mais dele — e lidando com a pressão de ver seus antigos amigos seguirem em frente sem sua presença — Peter passa por uma mudança que talvez nem ele tenha o poder de controlar. Mas essa transformação também pode ser a única coisa capaz de deter uma surpreendente nova ameaça à cidade e às pessoas que ele ama: um poderoso vilão que ninguém sequer consegue enxergar.

O mundo pode ter se esquecido de Peter Parker, mas ele não se esqueceu do mundo.

Elenco: Tom Holland, Zendaya, Sadie Sink, Jacob Batalon, Jon Bernthal, Tramell Tillman, Michael Mando e Mark Ruffalo

Dirigido por: Destin Daniel Cretto

29 de julho exclusivamente nos cinemas
#HomemAranhaUmNovoDia","Movie, Film, Sony Pictures, Spider-Man, Destin Daniel Cretton, Tom Holland, Zendaya, Sadie Sink, Jacob Batalon, Jon Bernthal, Tramell Tillman, Michael Mando, Mark Ruffalo",00:02:30,233021,34392,852,https://i.ytimg.com/vi/bwt2-nyEP0A/maxresdefault.jpg,BR
9,,,20,"Role-playing_video_game, Simulation_video_game, Video_game_culture, Action-adventure_game, Action_game",3.00%,pt-PT,9,UCPqHMjR66fFOByu3tP7yFdQ,MarceloBlox,1020000,yl9-DVuxsQI,2026-07-21T13:30:00Z,7.43 horas,"SE CAIR do JENGA GIGANTE do ROBLOX, PERDE!","Hoje, Marcelodrv e Dudaberud precisam sobreviver ao JENGA GIGANTE! Será que eles vão conseguir ficar vivos? Assista para descobrir!

★ Se curtiu o vídeo, deixe o seu like! ★
📷 meu instagram: https://bit.ly/3lsFMAs siga! :)
📷 instagram da duda: https://bit.ly/3xmRuPd siga! :)

Contato Profissional: comercial@agenciacurta.com

#Roblox #Marcelo #Duda #Marceloeduda","roblox, marcelo, duda, duda e marcelo, marcelo e duda roblox, marcelodrv, dudaberud, jenga, jenga gigante, jenga roblox, sobreviva, desafio, não caia",00:15:21,42281,1221,47,https://i.ytimg.com/vi/yl9-DVuxsQI/maxresdefault.jpg,N/A
10,,,10,"Independent_music, Music, Pop_music, Electronic_music",20.86%,en,10,UCOvEMf00DnwdkpOCRWdc6uA,Charli xcx,4110000,eO3zsYsDnbI,2026-07-21T17:30:06Z,3.42 horas,Charli xcx - Camera (Official Video),"Charli xcx - Camera

'Music, Fashion, Film' out July 24 - pre-order/save: https://charlixcx.lnk.to/MusicFashionFilm

Text 1-310-861-2831

https://charlixcx.com/
https://www.tiktok.com/@charlixcx 
https://www.instagram.com/charli_xcx
https://twitter.com/charli_xcx
https://www.youtube.com/@officialcharlixcx
https://facebook.com/charlixcxmusic

#Charlixcx #Camera #OfficialVideo","Charli XCX, Song Title, Charli XCX Song Title, Song Title Official Video, Song Title Lyrics, Charli XCX (Year), Album Name, Charli XCX Album Name, Charli XCX Songs, Charli XCX Music, Charli XCX Official Video, Charli XCX Lyrics, Pop, Female Pop, UK Pop, Female UK Pop, English Songs, Charli, Charlie XCX, CharliXCX",00:02:37,108653,21255,1411,https://i.ytimg.com/vi/eO3zsYsDnbI/maxresdefault.jpg,N/A
