Posicao na coleta,Gênero do vídeo,Tipo de produtor,Categoria do vídeo,guideCategory,Taxa de engajamento,Idioma,Posicao Geral,Id do canal,Canal,Inscritos no canal,Id do vídeo,Data de publicação,Diferenca de horas entre postagem e coleta,Título do vídeo,Descrição do vídeo,Tags do video,Duração do vídeo,Visualizações,Gostei,Comentários,thumbnail_maxres,Pais
1,,,24,"Entertainment, Lifestyle_(sociology)",1.53%,pt,1,UC2bYhAHyaqfWlPXWBVk4BcA,Enaldinho,43100000,NkJd_aQEPPY,2025-07-03T15:00:06Z,17.22 horas,ACHEI UM BOOBIE GOODS RARO NO LIXO DOS EUA,"Meu espetáculo: https://www.enaldinho.com.br

O conteúdo deste e de todos os vídeos do canal tem como principal intuito o entretenimento. Não repita ou reproduza este conteúdo, seja em ambientes públicos ou privados. O conteúdo visa exclusivamente gerar entretenimento.

CANAL DA ELO TEAM: https://www.youtube.com/results?search_query=elo+team

Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UC2bYhAHyaqfWlPXWBVk4BcA/join

COMPRE SEU LIVRÃO DO ZAP: http://bit.ly/livrosdoenaldinho

MINHA LOJA:  http://lolja.com.br/enaldinho

INSTA: @Enaldinho ou www.instagram.com/enaldinho/

★ Siga nas redes sociais:

Twitter: https://twitter.com/Enaldinho1

Face: https://www.facebook.com/enaldo.lopes.1

Segundo canal: https://goo.gl/oA3ErZ  

★ REDES SOCIAIS INTEGRANTES ELO:

JESSI: https://www.youtube.com/@SouJessi 

TIAGO:
Youtube: https://www.youtube.com/channel/UC7R498nEgxhervYSG8iRDbA

GUILHERME
Youtube: https://www.youtube.com/channel/UCUIXGDcq5BMwTGdavU0V8-g

BIEL
Youtube: https://www.youtube.com/user/zvisiongamer

BRENNER
Youtube: https://www.youtube.com/channel/UC7dN8lVhi2FPM9eZbMDrepw

VINI
Youtube:
https://www.youtube.com/@EoViniOficial

NICOLAS
Youtube:
https://www.youtube.com/channel/UCW6_V5qKt6XYv-lST3xZ0nQ

EDIÇÃO, REVISÃO E POSTAGEM: Marcelinho Fernandes
- Instagram: @Marcelinho_fe","Enaldinho, Enaldo Lopes, Desafio, elo team",00:18:30,1291931,18914,818,https://i.ytimg.com/vi/NkJd_aQEPPY/maxresdefault.jpg,BR
2,,,28,"Lifestyle_(sociology), Music",2.86%,pt,2,UC63iwP6BtIjxB6xn1GKR6Lw,Emilly Vick,24900000,6LPcrI6FmXg,2025-07-03T15:00:09Z,17.22 horas,QUEREMOS TER UM FILHO... *Estamos prontos ?,"INSTAGRAM DOS ROSA (oficial)👇 
@dosrosaof
https://www.instagram.com/dosrosaof?igsh=MXV0bG92dGFhZnVtMg%3D%3D&utm_source=qr

SHOW DOS ROSA 👇
https://grupodosrosa.com/ingressos/

SITE DOS ROSA👇
https://grupodosrosa.com/

Bem vindos ao universo Emilly Vick, o conteúdo deste e de todos os vídeos do canal tem como principal intuito o entretenimento. Não repita ou reproduza este conteúdo, seja em ambientes públicos ou privados. O conteúdo visa exclusivamente gerar entretenimento lúdico. ❤️❤️",,00:21:58,2312543,57212,8901,,BR
3,,,23,"Entertainment, Lifestyle_(sociology), Film",3.40%,pt-BR,3,UCz2A8OXLR2xwYE63zWbu7IA,Wiris Viana,6610000,GlQvmEyCQwU,2025-07-03T14:46:43Z,17.44 horas,ARMARIA MÃE 51 / DOIDA PRA CASAR,"Me chama la no instagram 👇
https://www.instagram.com/wirisvianaoficial/

MAIS INFORMAÇÕES:
▶  https://linktr.ee/wiris.viana_ofc","webséries, achatadaminhairm, novelinha, videosengraçados, wirisviana, achatadaminhairmã, armariamãe, vídeos para familia, comédia, Os melhores vídeos da Internet, Os melhores filmes da Internet, humor inteligente, N3tflix, Canal que ainda não estar na Netflix, Ator que a globo não tem, Melhor canal de web serie do brasil, melhor canal de vídeos para familia do brasil, Melhor canal do brasil, engraçado, uires vieira, rico, pobre, marieta, eita, eita marieta, nova série, PAI, FILHO, PATO, MUSICA",00:09:36,479340,15672,609,https://i.ytimg.com/vi/GlQvmEyCQwU/maxresdefault.jpg,BR
4,,,17,"Music, Association_football, Sport",20.62%,pt-BR,4,UCGFNp4Pialo9wjT9Bo8wECA,FutParódias,11000000,Rhz8vqS4vhU,2025-07-03T23:22:41Z,8.84 horas,"♫ DIOGO JOTA, DESCANSE EM PAZ | Paródia Another Love - Tom Odell","Uma paródia de futebol da música ""Another Love"" de Tom Odell. O mundo do futebol amanheceu mais triste nessa quinta-feira com a notícia do trágico acidente que causou as mortes do atacante Diogo Jota, da Seleção Portuguesa e do Liverpool, e de seu irmão André Silva, do Penafiel. Com 28 anos, recém campeão da Premier League e da Nations League, Jota tinha acabado de celebrar seu casamento, deixa esposa e 3 filhos. Fica aqui nossa homenagem e profundos sentimentos a toda família e amigos. Descanse em paz, Diogo Jota.

-----------------------------------------------------------------------------------------------

🗓️ Confira nossa agenda de shows:
https://www.futparodias.com.br

Segue nois no Insta:
https://instagram.com/dezaofutparodias
https://instagram.com/leonfutparodias
https://instagram.com/futparodias

Outras redes:
https://twitter.com/futparodias
https://facebook.com/futparodias

Contatos:
📧 PRINCIPAL: contato@futparodias.com.br
💼 COMERCIAL: comercial@futparodias.com.br
🎤 SHOWS: shows@futparodias.com.br

-----------------------------------------------------------------------------------------------

🎼 Playback: Sing King
Link: https://youtu.be/aErI67y4WDA?si=29Fe56jdHYFjAFd3
💻 Edição: Canal iFutMagic
Link: https://www.youtube.com/channel/UCn7BfZqsZ6ZyWM1EOzsbelw
📷 Créditos das imagens:
Miniatura:
- Foto Diogo Jota: Sportimage Ltd / Alamy Stock Photo
 
-----------------------------------------------------------------------------------------------

LETRA:

Hoje o futebol chorou com um adeus
Diogo Jota foi morar com Deus
Foi com o irmão André, juntos até o fim
Por que que a vida tem que ser assim?

Liverpool tá cinza e já dói demais
Por quê, meu Pai? A ficha não cai
E Portugal se afoga em dor
Ao ver partir seu jogador

Mano, a vida é um sopro, é muita dor
Basta um click e acabou
Jota nos deixou, por quê, Senhor?
E um vazio é o que restou

Tanto conquistou, com tantos gols
Como assim tudo acabou?
Oh, oh

J é a letra do gol! Jooootaaaa!
Sobrou pro Jota... Jota, Jota, Jota, Jota, Joootaaa! Desvio do Jota, Jootaaa!
Deu um presente pro Jota, armou o chute, limpou, deixou todo mundo no chão!
Goool!

Dando show desde novo, correndo atrás
Do Paços pro Porto, sempre querendo mais
Encantou nos lobos, foi pra Liverpool
Na terra dos Beatles fez brilhar sua luz

Jota via o sonho se concretizar
Ergueu o inglesão, Nations League e pá
Subiu ao altar com o seu grande amor
Mas num suspiro tudo acabou

Mano, a vida é um sopro, é muita dor
Basta um click e acabou
Jota nos deixou, por quê, Senhor?
E um vazio é o que restou

Tanto conquistou, com tantos gols
Como assim tudo acabou?

Oh, oh, oh","Futebol, FutParodias, Paródia, futparodia, futeparodia, parodia, fut parodia, fut parodias, Paródia com Jogadores, musica, musica de futebol, musica futparodias, musica esporte, diogo jota, andre silva e diogo jota, andre silva, diogo joga musica, musica diogo j, parodia diogo jota, homenagem diogo jota, diogo jota morte, morre diogo jota, diogo jota liverpool, diogo jota futparodias, another love futparodias, parodia another love, edit diogo jota, diogo jota portugal",00:03:06,256921,49965,3006,https://i.ytimg.com/vi/Rhz8vqS4vhU/maxresdefault.jpg,BR
5,,,28,"Video_game_culture, Technology, Lifestyle_(sociology)",13.11%,pt,5,UCuxfOdbKQy0tgGXcm9sjHiw,Coisa de Nerd,11100000,qlcnsgVB4gs,2025-07-03T23:25:01Z,8.80 horas,O SWITCH 2 VALE A PENA? - Meu Review.,"Neste vídeo, eu faço o meu review do Nintendo Switch 2","leon, coisadenerd, coisa de nerd, português, brasil, pt-br, br, switch 2, switch, nintendo, nintendo switch 2",00:25:22,94611,12147,256,https://i.ytimg.com/vi/qlcnsgVB4gs/maxresdefault.jpg,BR
6,,,23,"Humour, Entertainment, Film",11.96%,pt-BR,6,UCnMrFH0xuvWQSHCscGFV9Gw,Embrulha Pra Viagem,1120000,7L0_N_CyPdc,2025-07-03T15:03:00Z,17.17 horas,BURRÃO E O PIX | EMBRULHA PRA VIAGEM,"“Burrão e o Pix” nos mostra que quem tem muito dinheiro nem sempre tem muitos amigos de verdade, mas quem tem muitos amigos de verdade nem sempre precisa de muito dinheiro. Afinal, um amigo não se compra com um PIX. 

Roteiro e Direção: Mauricio de Barros 
Fotografia: Philip Silveira
Edição: Fábio Henrique

Elenco: 

Burrão: Mauricio de Barros
André: Marcelo Laham
Marcos: Willians Mezzacapa
Franco: Bruno Sperança

Figurino: Estúdio Mac - Marquinhos Cherevek 
Fantasia do Burrão cedida pela Breshow Fantasias
Arte Final: Rafael Oliveira
Legendas: Gabriela Leite
Vinheta: Fábio Luchs E Tadeu Mallaman


🎬 Se curtiu, explora nossas playlists cheias de esquetes e personagens inesquecíveis!

👉 https://www.youtube.com/@EmbrulhaPraViagem/playlists

Tem vídeo com o Fernando Burrão, o Wesley, o Eugênio, e vários outros personagens pra você maratonar.

✅ Inscreva-se no canal e ative o sininho pra não perder as novidades.
https://www.youtube.com/@EmbrulhaPraViagem/featured

#EmbrulhaPraViagem #Comédia #HumorBrasileiro

📲 Siga a gente nas redes sociais e fique por dentro de tudo que rola no Embrulha!","embrulha pra viagem, humor, comédia, esquete, personagens, mauricio barros, marcelo laham, willians mezzacapa, fernando burrao, burrão, eugenio, burrão na praia, velho da lancha, videos de comedia, comedia brasileira, humor brasileiro, sketches, piadas, engracado, burrão e o frio, esses caras, não terminei a quinta série, pix, falso manobrista, amizade, golpe do pix, golpe do amor, humildade, lição de vida, aprendendo com o burrao",00:06:16,161985,18902,467,https://i.ytimg.com/vi/7L0_N_CyPdc/maxresdefault.jpg,BR
7,,,24,"Lifestyle_(sociology), Sport, Association_football, Entertainment",6.78%,pt-BR,7,UCPLWm-TJeKW2Khmg7Pc5fRQ,LUCAS TYLTY,593000,ZYik1mb85YA,2025-07-02T22:00:07Z,34.22 horas,QUEM É O JOGADOR PROFISSIONAL? Feat. Amaral,"QUEM É O JOGADOR PROFISSIONAL? Feat. Amaral

Nesse 6º episódio Amaral colou no Quem é o Jogador Profissional? Será que ele ajuda ou atrapalha na missão de descobrir o craque misterioso? 👀

Siga a galera nas redes:

👤 LUCAS TYLTY:
 🔗 @lucastylty - https://www.instagram.com/lucastylty

👤 VITOR ZZ:
 🔗 @vitorzz  -  https://www.instagram.com/vitorzz/

👤 EL BARBA:
 🔗 @elbarbatips - https://www.instagram.com/elbarbatips/

👤 RENNAN BRAGANÇA:
 🔗 @rennanbraganca - https://www.instagram.com/rennanbraganca/

👤 GOL DO RAYO:
 🔗 @goldorayo - https://www.instagram.com/goldorayo/

E os convidados especiais:
👤 AMARAL:
🔗@amaralzinho5 - https://www.instagram.com/amaralzinho5


📲 Baixe o R10 SCORE - https://www.instagram.com/r10score?igsh=MWNpZDllaG5uMTV4cA==:

/Iphone - https://apps.apple.com/br/app/r10-score-tabela-resultados/id6443595642
/Android - https://play.google.com/store/apps/details?id=com.fromsolvers.r10&hl=pt_BR

Se inscreve no canal, deixa o like, ativa as notificações e segue a gente nas redes sociais. Tamo junto!","futebol trade, lucas tylty, tylty, investimento, renda extra, apostas, aposta, apostas futebol, apostas esportivas, futebol, esportivo, esporte",00:33:43,517471,33820,1256,https://i.ytimg.com/vi/ZYik1mb85YA/maxresdefault.jpg,BR
8,,,28,"Lifestyle_(sociology), Music",1.57%,pt,8,UC63iwP6BtIjxB6xn1GKR6Lw,Emilly Vick,24900000,Dcv71FA46I4,2025-07-02T15:00:21Z,41.21 horas,JOGAMOS OS NOVOS JOGOS DE ROUND 6 *Quem foi melhor ?,"INSTAGRAM DOS ROSA (oficial)👇 
@dosrosaof
https://www.instagram.com/dosrosaof?igsh=MXV0bG92dGFhZnVtMg%3D%3D&utm_source=qr

SHOW DOS ROSA 👇
https://grupodosrosa.com/ingressos/

SITE DOS ROSA👇
https://grupodosrosa.com/

Bem vindos ao universo Emilly Vick, o conteúdo deste e de todos os vídeos do canal tem como principal intuito o entretenimento. Não repita ou reproduza este conteúdo, seja em ambientes públicos ou privados. O conteúdo visa exclusivamente gerar entretenimento lúdico. ❤️❤️",,00:15:32,3378138,50245,2684,,BR
9,,,20,"Action-adventure_game, Video_game_culture, Role-playing_video_game, Action_game",2.54%,pt-BR,9,UC40B1IOUytiN6AmnlR3BRaw,Xey,1030000,4L63Fw7zfCU,2025-07-03T14:15:00Z,17.97 horas,1 BLOCO DO VENOM,"COMPRE JÁ O BONECO AL3XEY: http://boxsugar.com.br/al3xey

📧 Contato comercial: alexey@kr3w.gg","AL3XEY, Al3xey, alexey, xey, alexey gaming, al3xey games, al3xey 2, xey 2, xey games, al3xeyblox, Al3xeyCraft",00:20:48,101641,2535,47,https://i.ytimg.com/vi/4L63Fw7zfCU/maxresdefault.jpg,BR
10,,,20,"Simulation_video_game, Action_game, Video_game_culture, Action-adventure_game, Role-playing_video_game",5.34%,,10,UCIXguhHCl8eDTkXpEuiGPUA,Jazzghost,21000000,Tuj20BmexqQ,2025-07-03T15:21:30Z,16.86 horas,VOCÊ CONHECE A CIDADE QUE ANDA SOZINHA PELO MAR DO RAFT?,"No vídeo de hoje nós vamos conhecer Tangaroa, uma incrível cidade dentro de uma cúpula que é capaz de se movimentar sozinha pelo oceâno! O único problema é que... não tem uma alma viva dentro dela! CONFIRA E SARAIVA O LIKE!
●Nome do Jogo: Raft
======================
●Instagram: julianoab
●Email de contato: jazzghost@gmail.com","jazzghost, jazz, raft, tangaroa",00:34:05,1110489,56001,3267,https://i.ytimg.com/vi/Tuj20BmexqQ/maxresdefault.jpg,N/A
