Posicao na coleta,Gênero do vídeo,Tipo de produtor,Categoria do vídeo,guideCategory,Taxa de engajamento,Idioma,Posicao Geral,Id do canal,Canal,Inscritos no canal,Id do vídeo,Data de publicação,Diferenca de horas entre postagem e coleta,Título do vídeo,Descrição do vídeo,Tags do video,Duração do vídeo,Visualizações,Gostei,Comentários,thumbnail_maxres,Pais
1,,,10,"Music_of_Latin_America, Music, Pop_music, Electronic_music, Music_of_Asia",1.55%,pt,1,UCVOvoHO0LmcEJy4G91AbAMw,Dj Danny Albuquerque,1540000,JYBjpXsD1YY,2025-09-18T14:00:36Z,6.15 horas,Dance se souber~ {TikTok} 2025🎶💜,"Dance se souber~ {TikTok} 2025🎶💜
Dance se souber~ {TikTok} 2025🎶💜


  #dancesesouber #dancesesoubertiktok2025 #tiktok2025  #dancesesoubertiktokatualizado  #dancesesoubertiktok #mashupviral
#mashupviral #dancetiktok #tiktokmashup #tiktokviral #dancesesouber  #dancetiktok #dancesesoubertiktok2024 

Minhas Redes Sociais:
Instagram https://www.instagram.com/djdannyal/
TikTok https://www.tiktok.com/@djdannyalbuquerque

INSCREVA-SE PARA AJUDAR O CANAL🔔
COMPARTILHE ESTE VÍDEO:  https://youtu.be/cNfHV321plw
DEIXE SEU LIKE ^^ 
 




Dance se souber Tik Tok 2025 Atualizado
Tags -música tik tok, tiktok 2025 atualizadas, música sem palavrão, 2025 tiktok, música do tik tok 2025, 2025, música de 2025, dance se souber tiktok 2023, dance se souber sem palavrão, dance se souber tiktok 2025 sem palavrão, dance se souber tiktok 2025 atualizado novas, música 2024, doce souber, dance se souber tiktok 2025 novas, dance souber 2025, musicas, tiktok 2025 sem palavrão, 2024 tiktok, se souber, musicas do tik tok 2025, música de tik tok 2025, dança bem, funk, música de tic tac, tik tok sem palavrão, musicas 2025, a música, musica do tiktok 2025 tiktok mashup , dance se souber músicas atualizadas, dance music , dance viral , mashup viral , dance se souber atualizadas 2025 , tente não dançar, tiktok viral video , tiktok laranja , tiktok mashup , dance funk tiktok mashup , dance se souber músicas atualizadas, dance music , dance viral , mashup viral , dance se souber atualizadas 2025 , tente não dançar, tiktok viral video , tiktok laranja , tiktok mashup , dance funk tiktok mashup , tiktok laranja , tiktok mashup , dance funk, dance se souber 2025, dance se souber tiktok 2025 atualizado novas, dance se souber tiktok 2025 atualizado, dance se souber tiktok, dance se souber, dance se souber tiktok 2024, tente não dançar tiktok, tente não dançar, tente não dançar e nem cantar, tente não dançar tik tok 2024, tente não dançar 2025, tente não dançar tik tok atualizadas, tente não dançar música do tik tok, tente não dançar versão tiktok, tiktok mashup, tiktok mashup 2025, tiktok mashup brasil, tiktok mashup 2024 brasil, tiktok mashup oficial, mashup tiktok, mashup tiktok brasil, mashup tiktok 2024, mashup funk tiktok, mashup tik tok brasil, dance se souber tiktok 2024 novas, dance se souber tiktok 2024, tente não dançar 2024, tiktok 2025, as melhores do tiktok 2024, melhores tiktok 2022, tiktok mashup 2024, tiktok brasil mashup, as melhores do tiktok 2024, músicas tiktok 2025, dance se souber 2025, mashup brasil tiktok, música de tik tok,música do tik tok,tik tok 2023,música tik tok,musicas do tik tok 2023 tiktok mashup,dance se souber músicas atualizadas,dance music,dance viral,mashup viral,dance se souber atualizadas 2022,tente não dançar,tiktok viral video,tiktok laranja,tiktok mashup,dance funk tiktok mashup,dance funk,dance ce souber músicas,Dance se souber~{Tik Tok},dance se souber tiktok brasileiro,dance se souber tiktok antigos,dancer se souber tiktok 2021,tik

dance se souber 2025,
dance se souber tiktok 2024 atualizado novas,
dance se souber tiktok 2025 atualizado,
dance se souber tiktok,
dance se souber,
dance se souber tiktok 2024,
tente não dançar tiktok,
tente não dançar,
tente não dançar e nem cantar,
tente não dançar tik tok 2024,
tente não dançar 2024,
tente não dançar tiktok atualizada,
tiktok mashup 2024,
tiktok mashup brasil,
mashup tiktok brasil,
mashup funk tiktok,
dance se souber tiktok 2024 novas,
tiktok 2024,

#dancesesoubertiktok2025  
#dancesesoubertiktok  
#tiktok2025","dance se souber músicas do tik tok, dance se souber tiktok, tiktok viral video, dance se souber tiktok 2025, tiktok 2025, dance se souber, música, tik tok, dance se souber tiktok 2024, tiktok 2024, dança se souber, dance se souber 2025, tiktok, música do tik tok, dança se souber 2025, músicas, música de tik tok, dance souber, dança de souber, dance se souber 2024, tik tok 2025, musicas do tik tok, dança souber, brazil tiktok, dancinhas do tik tok, música 2025, música tiktok",00:08:23,27416,404,20,https://i.ytimg.com/vi/JYBjpXsD1YY/maxresdefault.jpg,BR
2,,,1,"Entertainment, Film",1.10%,pt,2,UC9NXpIA01HVRhYgcEbs80Nw,Sony Pictures Brasil,1020000,vqcEnyyC4Ac,2025-09-17T13:36:30Z,30.56 horas,Anaconda | Trailer Oficial Dublado (Sony Pictures) - HD,"Gosto de cobras grandes e não nego. Paul Rudd, Jack Black e Selton Mello estrelam #AnacondaFilme - 25 de dezembro nos cinemas.","Anaconda, Trailer, filme, 2025, Sony Pictures, Columbia Pictures, Comédia, Ação, Aventura, Tom Gormican, Jack Black, Paul Rudd, Steve Zahn, Thandiwe Newton, Daniela Melchior, Selton Mello",00:02:07,1268304,12199,1701,https://i.ytimg.com/vi/vqcEnyyC4Ac/maxresdefault.jpg,BR
3,,,20,"Lifestyle_(sociology), Video_game_culture, Action-adventure_game, Action_game, Role-playing_video_game",2.40%,pt-BR,3,UCrcBZDofBltcgGxphNia2tw,ProbIems,11400000,dbe0SP3i0W4,2025-09-18T13:08:26Z,7.02 horas,Assando Todos os Brainrots!,"💙VEM CONHECER MEU NOVO SHOW!!💙
https://showturmadoproblems.com.br/

Minha Loja:
https://www.curtaloja.com/marca/problems.html

Contato COMERCIAL:
comercial@agenciacurta.com


Segue a turma no instagram:

Problems💙 https://www.instagram.com/problems_sr/
Mel 💛https://www.instagram.com/kaikemel/
Kadu 💖 https://www.instagram.com/kadukon/
Stick 💚https://www.instagram.com/guualfaro/
Zoom 🧡 https://www.instagram.com/josedu4rd/

ENXADAHOST - Cupom: Problems
CINEART - Cupom: Stick15 ou Mel15
ATENÇÃO: O conteúdo do vídeo é 100% family friendly, ou seja qualquer um pode assistir com toda a familia quando quiser!!

#problems #minecraft","maniqueft, lego, problems, probrems, probres, pobrems, problemas, problema, pobrema, mainequeft, minecraft, video do problema, video do problems, video do pobrems, minecraft survival, minecraft mitos, minecraft fatos, problems roblox, roblox, pobrems roblox, pobris roblox, pobrema roblox, problema roblox",00:31:19,419793,9130,937,https://i.ytimg.com/vi/dbe0SP3i0W4/maxresdefault.jpg,BR
4,,,10,"Society, Christian_music, Religion, Music",3.17%,ase,4,UCwu1LplZRbfGO8L7pRJIX-A,Gospel Melhores Músicas,258000,alS0hvRnQnY,2025-09-17T12:19:49Z,31.83 horas,"Top 90 Hinos Gospel As Mais Tocadas, Gospel Louvores De Adoração, As Melhores Músicas Gospel 2025",,"Gospel Melhores Músicas, Gospel, gospel 2024, músicas gospel, músicas gospel 2024, melhores músicas gospel, melhores músicas gospel 2024, Musicas Gospel Mais Tocadas, Musicas Gospel Mais Tocadas 2024, Louvores de Adoração, Louvores e Adoração, Louvores, Adoração, Adoração 2024, Hinos 2024, Hinos Gospel, Hinos Gospel 2024, Musica Gospel, Hinos Evangélicos 2024, top gospel, top músicas gospel, cantores gospel, Adriano Ávila, músicas, louvor, hinos evangélicos, musica gospel, hinos",00:58:57,12541,391,6,https://i.ytimg.com/vi/alS0hvRnQnY/maxresdefault.jpg,BR
5,,,24,"Film, Entertainment, Television_program",5.41%,en-US,5,UCc1l5mTmAv2GC_PXrBpqyKQ,Netflix Brasil,14300000,GImKFNu54Mk,2025-09-18T00:00:02Z,20.16 horas,Gênio dos Desejos | Trailer oficial | Netflix,"""Gênio dos Desejos"" estreia em 3 de outubro, só na Netflix.

#Netflix #GêniodosDesejos #다이루어질지니

Assista na Netflix: https://www.netflix.com/kr/title/81748484

Inscreva-se: https://bit.ly/31ynwtw

Sobre a Netflix:
A Netflix é um dos principais serviços de entretenimento do mundo. São mais de 300 milhões de assinaturas pagas em mais de 190 países com acesso a séries, filmes e jogos de diversos gêneros e idiomas. Assinantes podem assistir, pausar e voltar a assistir a um título quantas vezes quiserem em qualquer lugar e alterar o plano a qualquer momento.

Gênio dos Desejos | Trailer oficial | Netflix
https://www.youtube.com/@NetflixBrasil

Depois de um milênio, um gênio exuberante reaparece. Será que a magia dele pode transformar a vida sem graça de uma mulher em um mundo de amor e fantasia?","Ahn Eun-jin, Gênio dos Desejos, Ka-young, Kim Woo-bin, Ko Kyu-phil, Lee Zoo-young, Netflix, Noh Sang-hyun, Suzy, comédia romântica, desejo, estreia em outubro, fantasia, gênio, lançamento outubro, lâmpada, novidade outubro, romance, romcom, um drama Netflix, uma série Netflix, 넷플릭스, 다 이루어질지니",00:01:42,17614,911,42,https://i.ytimg.com/vi/GImKFNu54Mk/maxresdefault.jpg,BR
6,,,20,"Action-adventure_game, Video_game_culture, Action_game, Simulation_video_game, Role-playing_video_game",11.60%,pt-PT,6,UCIXguhHCl8eDTkXpEuiGPUA,Jazzghost,21600000,aP41Xj1ynv8,2025-09-18T15:58:55Z,4.18 horas,BRIGA DE CASAIS NA ESCOLA! - Kindergarten 3,"Alice, uma das garotas do colégio está na mira do diretor maluco da nova escola. E hoje nós vamos tentar descobrir qual é o objetivo dele com isso! CONFIRA E SARAIVA O LIKE!

●Nome do Jogo: Kindergarten 3
======================
●Instagram: julianoab
●Email de contato: jazzghost@gmail.com","jazzghost, jazz, kindergarten 3",01:01:47,192122,20507,1780,https://i.ytimg.com/vi/aP41Xj1ynv8/maxresdefault.jpg,N/A
7,,,10,"Music, Hip_hop_music, Music_of_Latin_America, Pop_music",18.15%,pt-PT,7,UCEpCeCLUp6Oy75p7WixzjcA,MC Cebezinho,545000,Wdyxv6GW6mQ,2025-09-18T15:00:07Z,5.16 horas,"""OH BEBE SE SENTA""  MC Cebezinho, MC Hariel e MC kako - DJ GM","FICHA TÉCNICA

Direção 
Tomaz Edson 

Edição 
Léo Costa 

Assistente de direção 
Donetto

Roteiro
Tomaz Edson / Donetto

Assistente de câmera 
Ana Beatriz

Produção 
Otávio Franco

Assistente de produção 
Anderson Fernandes

Making of
Pedro Damasceno

Fotos
Fernanda Costa","mc, cebezinho, funk, lançamento, la, mafia, produções, 2016, canal, oficial, nossa, meta, as, mais, top, to, concentrado, tacalhe, pau, backdi",00:03:29,11208,1736,298,https://i.ytimg.com/vi/Wdyxv6GW6mQ/maxresdefault.jpg,BR
8,,,1,"Film, Entertainment",20.88%,pt,8,UC5XG4yYM-_DQ-3HPRuam76Q,ingresso.com,2610000,4-Yh5uUMFBg,2025-09-18T17:15:28Z,2.91 horas,Truque de Mestre - O 3º Ato | Trailer 2 Oficial Legendado,"Truque de Mestre - O 3º Ato | Trailer 2 Oficial Legendado

Assista ao novo trailer de #TruqueDeMestre3 - estreia em 13 de novembro nos cinemas do Brasil!

Somos o melhor destino para quem busca trailers assim que eles são lançados.

Se você é fã de cinema como a gente, INSCREVA-SE e receba todas as novidades dos seus filmes favoritos!

► Baixe nossos apps:
Android: https://goo.gl/ZOknfm
iOS: https://goo.gl/hFbnMY

► Compre ingressos para as melhores estreias: https://www.ingresso.com

► Assine UOL e Ganhe R$ 20 Por Mês Para Usar com cinema na Ingresso.com: https://bit.ly/3yX0hyd

► Siga a Ingresso no INSTAGRAM: https://www.instagram.com/ingressocom/

► Curta a Ingresso no FACEBOOK: https://www.facebook.com/ingressocom

► Fique por dentro das novidades do universo do cinema no nosso canal no WHATSAPP: https://whatsapp.com/channel/0029Va58whvFCCoURznPIG0n","Lançamentos;, Filmes, Cinema, Estreias, Trailers, filme completo, crítica, ingresso.com, review, análise, cinema 2025, fas de cinema, ingressos de cinema, desconto cinema, conteúdo de cinema, curiosidades",00:02:25,3712,733,42,,BR
9,,,20,"Action_game, Video_game_culture, Strategy_video_game, Entertainment",7.54%,en,9,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,22900000,P89Jg_Dmizo,2025-09-18T08:10:17Z,11.99 horas,FREE MINA BOX if this video gets 10M views!! (New Brawler Animation),"🆕 The first ever Brawler Event is LIVE!
🎁 Open 14 Mina Boxes to unlock her
🩴 Every 2 wins gives you a Mina Box
🎫 Get 3 daily tickets to play random game modes (⚠️ tickets don't stack!)
🪞 You can play with your own Brawlers or a maxed out Mina! But before spending your tickets, try Mina out in Mirror Matches!
🤙 Mina goes to the Starr Road after the event ends on September 28th
🛡️ Also, the new Ranked Season starts today!","brawl stars, mobile game, mobile strategy game, mobile rpg, mobile battle royale, battle royale, supercell game, new brawler, mina, rayssa leal, new brawler event, brawl animations, new brawler mina, mina breakdancer, mina capoeira, mina brazil, brawl brazil, brawl brasil, mina brasil",00:01:43,1859247,134830,5434,https://i.ytimg.com/vi/P89Jg_Dmizo/maxresdefault.jpg,FI
10,,,22,"Music, Music_of_Latin_America, Pop_music",1.41%,pt-PT,10,UCDIM5G6HOSDSqV1ZDXitV3w,Samba & Pagode Vibes,180,yXjsYdaXQig,2025-09-18T12:02:01Z,8.13 horas,AS MELHORES DO MENOS É MAIS - MENOS É MAIS OS MAIORES SUCESSOS - AS MAIS TOCADAS 2025#Pagode2025 #s3,"AS MELHORES DO MENOS É MAIS - MENOS É MAIS OS MAIORES SUCESSOS - AS MAIS TOCADAS 2025
Track list:
[00:00:00]  -  01. P do Pecado
[00:03:01]  -  02. Coração Partido
[00:06:09]  -  03. Lapada Dela
[00:08:48]  -  04. Pot-Pourri Melhor Eu Ir
[00:17:24]  -  05. Lapada Dela No Churrasquinho De Brasilia
[00:21:07]  -  06. Pagando Mal Com Mal
[00:24:20]  -  07. Foi Bom, Mas Foi Ontem
[00:26:54]  -  08. Por Tao Pouco
[00:33:25]  -  09. Pot-Pourri Fatalmente
[00:40:53]  -  10. Essa Tal Liberdade
🎶 AS MELHORES DO MENOS É MAIS - OS MAIORES SUCESSOS 2025 🎶
Aqui você encontra uma seleção especial das músicas mais tocadas do grupo Menos É Mais, com os maiores sucessos que marcaram o pagode e continuam conquistando fãs em 2025.

🔥 Inclui os hits mais conhecidos, músicas românticas, pagodes animados e canções que estão no topo das paradas neste ano. Uma verdadeira coletânea para quem ama Samba & Pagode e quer curtir o melhor de Menos É Mais.

✅ Inscreva-se no canal para não perder nenhuma atualização: https://www.youtube.com/@SambaPagodeVibes
✅ Deixe seu like 👍 e compartilhe com os amigos que também são apaixonados por pagode.

👉 Siga nossa playlist no Spotify:  https://open.spotify.com/user/31yjkwtgq3iqzrcvr6r7bu7ytmgi?si=1428cf840b9f4f71
👉 Acompanhe no Facebook: https://www.facebook.com/people/Samba-Pagode-Vibes/61580473744648/
https://youtu.be/wnxD7swPL9I
#MenosÉMais #Pagode2025 #MaisTocadas2025 #SambaEPagode #SucessosPagode #PagodeDoMomento #HitsPagode","Grupo Menos É Mais, vai me dando corda, pagode do menos é mais, Amor Falsificado, O melhor do Pagode, Refém do Coração, Amor não tem Culpa, Mande um Sinal, Foi Bom Mais Foi Ontem, Álbum Confia, Recaída, Pagode, Karaokê, Memórias, Coração Partido, pagode, pagode 2025, pagode romântico, melhores do pagode, samba e pagode, pagode brasil, pagode para churrasco, pagode de barzinho, as melhores do pagode, pagode mix, sucessos do pagode, pagode vibes, pagode para ouvir no carro",01:41:34,7099,100,0,https://i.ytimg.com/vi/yXjsYdaXQig/maxresdefault.jpg,US
