Posicao na coleta,Gênero do vídeo,Tipo de produtor,Categoria do vídeo,guideCategory,Taxa de engajamento,Idioma,Posicao Geral,Id do canal,Canal,Inscritos no canal,Id do vídeo,Data de publicação,Diferenca de horas entre postagem e coleta,Título do vídeo,Descrição do vídeo,Tags do video,Duração do vídeo,Visualizações,Gostei,Comentários,thumbnail_maxres,Pais
1,,,17,"Sport, Association_football",4.35%,pt-BR,1,UCZiYbVptd3PVPf4f6eR6UaQ,CazéTV,19300000,1zf6nyS-cNc,2025-05-26T20:24:24Z,23.76 horas,1ª CONVOCAÇÃO DE ANCELOTTI NA SELEÇÃO BRASILEIRA | EVENTO COMPLETO | PAPO 10,"QUEM SERÃO OS ESCOLHIDOS DE CARLO ANCELOTTI?

O Papo 10 de hoje será especial, cobrindo tudo sobre a primeira convocação da Seleção Brasileira sob o comando do Ancelotti! Será que o italiano vai fazer o Brasil voltar a jogar bola?","CazéTV, Cazé TV, Casimiro ao vivo, Casimiro, CazéTV ao vivo, Cazé ao vivo, cazetv, caze tv ao vivo, cazetv ao vivo, cbf, ancelotti, ancelotti seleção, selecao, carlo ancelotti, tecnico seleção, tecnico selecao, ancelotti selecao, italiano, técnico, treinador, tecnico brasil, casimiro ancelotti, convocaçao seleçao, convocaçao ancelotti, convocacao, convocaçao brasil",03:19:36,4608188,200350,271,https://i.ytimg.com/vi/1zf6nyS-cNc/maxresdefault.jpg,BR
2,,,24,"Entertainment, Television_program, Lifestyle_(sociology), Food",2.11%,pt,2,UCp7tUxXfE9jUtkMLGCzeXqA,Pesadelo na Cozinha,3400000,XfAIZVHl_uU,2025-05-26T22:19:06Z,21.85 horas,Pesadelo na Cozinha: Bar do Dedé - Episódio Completo | Bloco 1,"Siga Pesadelo na Cozinha nas redes sociais: 

Instagram: instagram.com/pesadelo.na.cozinha
X: x.com/cozinhapesadelo

#PesadeloNaCozinha #Jacquin","Pesadelo na cozinha, pesadelo na cozinha band, episódios pesadelo na cozinha, jacquin pesadelo na cozinha, jakan pesadelo na cozinha, chefe jacquin, erick jacquin, programa jacquin band, pesadelo na cozinha restaurantes, temporada pesadelo na cozinha, pesadelo na cozinha memes, pesadelo na cozinha melhores momentos, Bar do Dedé",00:33:42,264042,5340,227,https://i.ytimg.com/vi/XfAIZVHl_uU/maxresdefault.jpg,BR
3,,,17,"Television_program, Motorsport, Sport, Association_football, Vehicle, Lifestyle_(sociology)",4.13%,,3,UC896QaWKoSGdZTmy9rHyU_g,Esporte na Band,1010000,mWTeyrM20AM,2025-05-27T02:18:18Z,17.86 horas,"Casagrande vê Ancelotti como estrela do Brasil, e Luxa rebate: ""somos vira-latas""","No Galvão e Amigos desta segunda-feira (26), comandado excepcionalmente por Mauro Naves, Casagrande e Luxemburgo discordaram sobre o peso de Ancelotti à frente da Seleção Brasileira.

#GalvãoeAmigos #esportenaband","Esporte na Band, Galvão e Amigos, esporte, ancelotti, ancelotti seleção, ancelotti seleção brasileira, carlo ancelotti seleção brasileira, carlo ancelotti, galvão e amigos, vanderlei luxemburgo, casagrande, luxemburgo x casagrande, luxemburgo bate boca com casão, luxemburgo x casão, luxa x casagrande, luxa x casão, luxemburgo x casão galvão e amigos, seleção brasileira, luxemburgo x casagrande galvão, galvão bueno, galvão e amigos luxemburgo, galvão e amigos casagrande",00:10:33,305980,10020,2611,https://i.ytimg.com/vi/mWTeyrM20AM/maxresdefault.jpg,BR
4,,,17,"Basketball, Sport, Association_football",2.76%,pt,4,UC_oToDrJ6uca7d1dFVBmLtg,Canal GOAT,4520000,w7N75KzTww4,2025-05-26T22:02:30Z,22.13 horas,AL-FATEH X AL-NASSR | LIGA SAUDITA | AO VIVO E COM IMAGENS,"Divirta-se na Casa de Apostas: https://abre.ai/casadeapostas-yt (+18 jogue com responsabilidade)

O AL-FATEH recebe o AL-NASSR em partida válida pela 34ª rodada da LIGA SAUDITA! Assista AO VIVO e COM IMAGENS na tela do CANAL GOAT!

TUDO sobre o Canal GOAT em um só lugar: https://linktr.ee/canalgoatbr

Siga o canal de Gols do Bodinho no WhatsApp: https://whatsapp.com/channel/0029VaqqM5W4tRrxZ2sUlq3C

Já se inscreveu? Ative também as notificações para não perder nenhum lance!

▪️ Uma nova via de consumo esportivo. Inovador, disruptivo e GRÁTIS! 🐐

#cr7 #goat #alnassr","canal goat, goat ao vivo, ao vivo, futebol ao vivo, futebol, futebol grátis, transmissão ao vivo, transmissão goat, goat, goat br, saudita no goat, sauditao no goat, liga saudita no goat, spl, saudi pro league, campeonato saudita, liga saudita, LIGA SAUDITA, AO VIVO, COM IMAGENS, al fateh, al nassr, al fateh x al nassr",04:38:35,502208,13857,4,https://i.ytimg.com/vi/w7N75KzTww4/maxresdefault.jpg,BR
5,,,17,"Association_football, Sport",3.12%,,5,UCgCKagVhzGnZcuP9bSMgMCg,ge,6030000,GfVd02oHp0Q,2025-05-25T21:20:47Z,46.82 horas,PALMEIRAS 0 X 2 FLAMENGO | MELHORES MOMENTOS | 10ª RODADA BRASILEIRÃO 2025 | ge.globo,"Rossi pega pênalti, Flamengo vence Palmeiras e encosta na liderança do Brasileirão Arrascaeta, batendo outra penalidade, e Ayrton Lucas fizeram os gols no triunfo rubro-negro que esquenta a briga pelo topo do campeonato.

🌟 Confira todos os melhores momentos com mais replays em ge.globo: https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/25-05-2025/palmeiras-flamengo.ghtml

🌟 Veja como ficou a tabela: https://ge.globo.com/futebol/brasileirao-serie-a/

🌟 Assine Premiere: 
https://gplay.la/ytgepremiere

#Brasileirão #Palmeiras #Flamengo
______________________________________
✅ INSCREVA-SE NO CANAL GE:  https://cutt.ly/xfHlwBk
🏆 Assine o sportv e Globoplay +Canais: https://bit.ly/3oCtARt
⚽ Assista ao sportv pelo Globoplay: https://bit.ly/3qlSUvP

👉 Acesse ge.globo
👍 Curtiu o vídeo? Deixe seu like e dê seu pitaco 😎⚽ 

🌟 Playlists pra você maratonar 🌟 
► trechos SPORTV: https://cutt.ly/ERy9MiB
► Bola Quadrada:  https://cutt.ly/IfHk7ra 
►Jogos Históricos: https://cutt.ly/BkxoZJX
► Listas e TOPs: https://cutt.ly/hkxo51U
► Originais GE: https://cutt.ly/vkxpunL

✅ Inscreva-se, também, no canal do CARTOLA FC e fique por dentro das melhores dicas do maior fantasy game do Brasil - https://cutt.ly/ffV1Xri

No canal ge você encontra os melhores conteúdos do FUTEBOL BRASILEIRO! 🤙😎",,00:04:54,2321347,67667,4829,https://i.ytimg.com/vi/GfVd02oHp0Q/maxresdefault.jpg,BR
6,,,24,"Entertainment, Food, Lifestyle_(sociology), Television_program",2.36%,pt,6,UCp7tUxXfE9jUtkMLGCzeXqA,Pesadelo na Cozinha,3400000,fMVdGETiGYI,2025-05-26T22:52:06Z,21.30 horas,Pesadelo na Cozinha: Bar do Dedé - Episódio Completo | Bloco 2,"Siga Pesadelo na Cozinha nas redes sociais: 

Instagram: instagram.com/pesadelo.na.cozinha
X: x.com/cozinhapesadelo

#PesadeloNaCozinha #Jacquin","Pesadelo na cozinha, pesadelo na cozinha band, episódios pesadelo na cozinha, jacquin pesadelo na cozinha, jakan pesadelo na cozinha, chefe jacquin, erick jacquin, programa jacquin band, pesadelo na cozinha restaurantes, temporada pesadelo na cozinha, pesadelo na cozinha memes, pesadelo na cozinha melhores momentos, Bar do Dedé",00:34:03,127698,2877,132,https://i.ytimg.com/vi/fMVdGETiGYI/maxresdefault.jpg,BR
7,,,20,"Action-adventure_game, Video_game_culture, Role-playing_video_game",4.27%,pt,7,UCEOGSdXwcXcNfcuDGbjmgOw,Julia MineGirl,11600000,PRe0d8Okdoc,2025-05-26T14:00:43Z,30.16 horas,VIREI UM TREM e PRENDI MINHA FAMÍLIA! (Roblox Crazy Trains),"💜 No vídeo de hoje jogamos o game Crazy Trains no Roblox.

💜 Canal da Minha família:
https://www.youtube.com/crisminegirl
https://www.youtube.com/texhs

💜Música - Biblioteca de áudio do YouTube e Epidemic Sound 
                         
Likelation!
Julia Minegirl","Julia Minegirl, Julia, Minegirl, Canal Julia Minegirl, Cris Minegirl, jogo, jogos, roblox, roblox crazy trains, virei um trem, puzzle, divertido, engraçado",00:20:01,253902,9874,970,https://i.ytimg.com/vi/PRe0d8Okdoc/maxresdefault.jpg,BR
8,,,17,"Sport, Association_football",10.03%,pt-BR,8,UCQlY8eDA0QugUAT0v7-q1HA,Canal do VSR,531000,kHUhCnyi6Pg,2025-05-26T21:28:23Z,22.70 horas,ANCELOTTI CONVOCA BEM E ACERTA SEM NEYMAR AGORA,"O Flashscore é a plataforma de resultados ao vivo e estatística que o VSR usa para os vídeos e o trabalho! Você pode baixar, totalmente de graça, e começar a usar agora! Só clicar neste link ⬇
https://flashsco.re/br-sm-vsrflash.

ANCELOTTI CONVOCA BEM E ACERTA SEM NEYMA AGORA
ANCELOTTI CONVOCA BEM E ACERTA SEM NEYMA AGORA
ANCELOTTI CONVOCA BEM E ACERTA SEM NEYMA AGORA

#ancelotti #seleçãobrasileira #cbf",,00:15:35,179357,17068,930,https://i.ytimg.com/vi/kHUhCnyi6Pg/maxresdefault.jpg,BR
9,,,17,"Association_football, Sport",8.30%,pt-BR,9,UCDUmY6hhe6qOzf_syVE-8Gg,Romário TV,437000,L-oK71nDR0M,2025-05-26T14:00:07Z,30.17 horas,ANTONY - DE CARA COM O CARA #7,"O Romário como você nunca viu! 

No sétimo episódio do 'De Cara Com o Cara', o baixinho recebe um dos brasileiros de maior destaque na Europa atualmente, Antony, craque do Betis e da Seleção brasileira!  

Como sempre, um papo sem filtros, com muita descontração e falando de tudo, tudo mesmo! 

Deixe o like! 👍
Se inscreva! 📩
Ative o sino! 🔔

📱 Redes sociais: 
📸 Instagram: RomarioTV_oficial","ROMÁRIO, SELEÇÃO, BETIS, COPA DO MUNDO, COPA, HEXA, ANCELOTTI, UNITED, CARAS, MANCHESTER, drible, gol, família, brasil, título, são paulo, espanha, atlético de madrid, madrid, ajax, holanda, cbf, mundial, ídolo, amarelinha, messi, cr7, cristiano ronaldo, robozão, cris, la noche me encanta, noitada, resenha, raphinha, neymar, diniz, gênio, craque, vini jr, melhor do mundo, sucesso, carreira",00:24:37,266094,21445,644,https://i.ytimg.com/vi/L-oK71nDR0M/maxresdefault.jpg,BR
10,,,24,Lifestyle_(sociology),3.00%,pt-BR,10,UCPQKC_B2zXGxNpN9_va7OCw,Irmãs Pina,8320000,LDQax5L2GVM,2025-05-26T20:30:04Z,23.67 horas,"PINTAMOS BOBBIE GOODS NO CARRO, MANU PASSOU MAL E VAI ENCONTRAR UM NOVO AMIGO !",,,00:24:01,682444,17303,3168,https://i.ytimg.com/vi/LDQax5L2GVM/maxresdefault.jpg,BR
11,,,24,"Tourism, Pet, Lifestyle_(sociology), Hobby",14.89%,pt-BR,11,UCh0ZdJTe0-rP9xlZGN69e9Q,Rudson Pescador,161000,rUBfME7Fxc8,2025-05-26T22:00:55Z,22.15 horas,CHORO EMOÇÃO E MAIS UM SONHO REALIZADO VAMOS MORAR AQUI?😍,"Siga os canais:

😍 Canal da Minha Esposa: 
https://youtu.be/T472D0QBTP0

Comece pequeno, sonhe grande

#Pesca #Pescaria #Acampamento","Pescaria, Acampamento, pescamos e fritamos, Montamos acampamento e pescamos, pescaria no pará, novo lugar para pescar, melhor pescaria, pescaria de tucunaré, Sonho realizado",00:26:37,67190,9206,799,https://i.ytimg.com/vi/rUBfME7Fxc8/maxresdefault.jpg,BR
12,,,22,"Knowledge, Lifestyle_(sociology)",7.04%,en-US,12,UCDxCpvLK9Uqtrfcdf_YvU4A,Joao Curry,446000,7PWyKkXw99I,2025-05-26T20:45:00Z,23.42 horas,Vivendo a Rotina de um CEO de Uma Empresa Bilionária - João Pichau,"#bilionario #pichau 

Entre no link para ter acesso ao curso Networking Milionário pelo preço atual, pois em algumas semanas o valor vai aumentar : https://curryjoao.com 
( estamos reformando por completo o curso para elevar o nível e torná-lo o mais prático possível, então não perca a chance de obtê-lo agora antes de subirmos o preço)

-----------------------------
Passei um dia com João Carlos Pichau, fundador da maior loja gamer da América Latina.
Ele começou como vendendor de limão e hoje lidera um império bilionário.
Nesse vídeo, você vai conhecer a rotina, a visão e os aprendizados de um dos empresários mais inspiradores do Brasil.

ig @curryjoao",,00:37:57,180327,12336,351,https://i.ytimg.com/vi/7PWyKkXw99I/maxresdefault.jpg,US
13,,,17,"Sport, Association_football",4.72%,pt,13,UCs-6sCz2LJm1PrWQN4ErsPw,TNT Sports Brasil,12000000,xEvPwi9TakI,2025-05-26T19:36:53Z,24.56 horas,SEM NEYMAR E PEDRO! ASSISTA A APRESENTAÇÃO E 1ª CONVOCAÇÃO DE CARLO ANCELOTTI NA SELEÇÃO BRASILEIRA,"Carlo Ancelotti chegou no Rio de Janeiro pra fazer sua apresentação e primeira convocação como novo técnico da Seleção, após sair do Real Madrid.

Assista a todos os jogos ao vivo da Champions League só na Max, além de vários jogos EXCLUSIVOS do Campeonato Paulista!  https://bit.ly/48xBlJi

Acesse o portal da TNT Sports: http://www.tntsports.com.br/

Canais:
De Placa - http://bit.ly/2HxPlHl
De Sola - http://bit.ly/2k0Xg90
EI Games - http://bit.ly/2ufcveA
MFM - http://bit.ly/2KnSU6P
Cortes da TNT Sports - https://bit.ly/3hbxWHC
Cortes do Futebol Brasileiro - https://bit.ly/3aNJJwn
TNT Sports Entrevista - https://bit.ly/3xdRJOE","esporte interativo, tnt sports, tnt sports brasil, prorrogação, apresentação ancelotti, carlo ancelotti, ancdlotti brasil, ancelotti seleção, seleção brasileira, convocação ancelotti, convocação brasil, neymar seleção, lista convocados seleção, ancelotti, ancelotti brasil, gols seleção brasileira, gols neymar seleção, skils neymar seleção, gols neymar, notícias neymar, neymar fora da seleção, neymar fora da lista, ancelotti apresentado na seleção, eliminatórias pra copa, ney",02:57:45,1621048,76183,312,https://i.ytimg.com/vi/xEvPwi9TakI/maxresdefault.jpg,BR
14,,,28,"Video_game_culture, Technology, Lifestyle_(sociology)",14.52%,pt,14,UCbK5Us4E-HsXw6fQ1PYUuog,MW Informática,2020000,9PlZRvhEOAI,2025-05-26T22:38:11Z,21.53 horas,A PLACA DE 700 REAIS COM CHIP DE PS5 CHEGOU!,"E aí galera! Finalmente chegou! A placa de 700 reais que tem o chip do PS5, confere aí!

****************************************************
Método MW 4.0: https://metodomw.com.br/grupovip
****************************************************

Grupo MW Recomenda no Telegram: https://t.me/MWrecomendacoes

-------------------------------------------------------------------------------------------------------------
Canal MW Lives e Cortes: https://www.youtube.com/c/MWLiveseCortes
-----------------------------------------------------------------------------------------------------------------
COMO MONTAR UM PC GAMER OU DE ESCRITÓRIO:  https://youtu.be/O9845EjK7o0

COMO TESTAR SE A GPU ESTÁ EM CURTO CIRCUITO: https://youtu.be/ZN3LVeb1O6g

COMO TESTAR PLACA DE VÍDEO USADA: https://youtu.be/dlPYHt6GOcw

COMO TESTAR PLACA MÃE, PROCESSADOR E MEMÓRIA RAM USADOS: https://www.youtube.com/watch?v=0Uf7pp1N89A

COMO TESTAR HD: https://youtu.be/aEp9Ka5VF8M

------------------------------------------------------------------------------------


-------------------------------------------------------------------------------------
Contatos para parcerias

ATENÇÃO: Dúvidas sobre configurações, qual pc comprar, qual upgrade fazer é somente aqui no canal ok? Não tenho como responder todos sobre isso. Perguntem nos comentários do canal, nas lives também. Assim não só eu, como outro inscrito pode te ajudar também!
INSTAGRAM: https://www.instagram.com/mw.informatica/
FACEBOOK: https://www.facebook.com/informaticamw/
E-MAIL: contatomwinformatica@gmail.com","amd bc-250, amd bc 250, amd mining card, bc 250 gaming, bc 250 amd windows, placa de 700 reais ps5, placa com chip do ps5, mw informatica",00:20:49,115613,16059,732,https://i.ytimg.com/vi/9PlZRvhEOAI/maxresdefault.jpg,BR
15,,,20,"Action_game, Action-adventure_game, Video_game_culture, Role-playing_video_game, Strategy_video_game, Casual_game",1.70%,pt,15,UC3fNixq0YWwxz5fc_S2U1xA,MedTw,380000,ZP0PGvhM_D8,2025-05-26T14:01:00Z,30.15 horas,Comecei do ZERO... mas com os PETS MAIS RAROS do Grow a Garden!,"⭐ Use meu STARCODE: MedTw ⇠ Na compra de robuxs

-----------------------------------------------------------------
• Grupo Roblox ⇢ https://www.roblox.com/groups/8216754/Fam-lia-MedTw#!/store
• Instagram: https://www.instagram.com/medtwyt/
• X: https://x.com/MedTwYT
-----------------------------------------------------------------",,00:17:12,90919,1465,81,https://i.ytimg.com/vi/ZP0PGvhM_D8/maxresdefault.jpg,BR
16,,,17,"Association_football, Sport",9.25%,pt-BR,16,UCAxgscMlhkwgr0PK2Y-jz3w,Categoria Canal,227000,NXMu8A6Yu7k,2025-05-26T20:58:18Z,23.20 horas,Ancelotti e a Convocação da Seleção Brasileira,"Saiu a primeira convocação de Carlo Ancelotti no comando da Seleção Brasileira. Várias novidades, volta de veteranos, mescla com as novas promessas. Mas e aí, na prática, quais serão as características dessa nova seleção brasileira? Qual será o esquema tático e o modelo de jogo de Ancelotti?

─────────────────────

Uma Leitura de Jogo Ruim Produz Péssimas Decisões
Domine Tática ►► https://futebolcursos.com/

─────────────────────

Análise Feita com o Game Vision PRO
Download Grátis ►► https://gamevision.pro/

─────────────────────

#selecaobrasileira #ancelotti #convocação 

Goleiros
Alisson (Liverpool)
Bento (Al-Nassr)
Hugo Souza (Corinthians)

Defensores
Alex Sandro (Flamengo)
Alexsandro (Lille)
Beraldo (PSG)
Carlos Augusto (Internazionale)
Danilo (Flamengo)
Léo Ortiz (Flamengo)
Marquinhos (PSG)
Vanderson (Monaco)
Wesley (Flamengo)

Meio-campistas
Andreas Pereira (Fulham)
Andrey Santos (Strasbourg)
Bruno Guimarães (Newcastle)
Casemiro (Manchester United)
Ederson (Atalanta)
Gerson (Flamengo)

Atacantes
Antony (Betis)
Estêvão (Palmeiras)
Gabriel Martinelli (Arsenal)
Matheus Cunha (Wolverhampton)
Raphinha (Barcelona)
Richarlison (Tottenham)
Vinicius Júnior (Real Madrid)","convocação, seleção brasileira, ancelotti, convocação ancelotti, primeira convocação seleção brasileira, ancelotti convocação, ancelotti seleção brasileira, brasil, cbf, lista de convocados, convocados brasil, tática, esquema tático, formação, brasil de carlo ancelotti, ancelotti brasil, ancelotti seleção",00:17:51,77133,6738,395,https://i.ytimg.com/vi/NXMu8A6Yu7k/maxresdefault.jpg,BR
17,,,17,"Sport, Association_football",2.75%,pt,17,UCs-6sCz2LJm1PrWQN4ErsPw,TNT Sports Brasil,12000000,1U3gvi69O5Q,2025-05-26T18:44:13Z,25.43 horas,CONVOCAÇÃO FEITA! ANCELOTTI REVELA LISTA DE 23 NOMES E EXPLICA AUSÊNCIA DE NEYMAR,"Carlo Ancelotti fez sua primeira convocação sendo treinador do Brasil

Assista a todos os jogos ao vivo da Champions League só na Max, além de vários jogos EXCLUSIVOS do Campeonato Paulista!  https://bit.ly/48xBlJi

Acesse o portal da TNT Sports: http://www.tntsports.com.br/

Canais:
De Placa - http://bit.ly/2HxPlHl
De Sola - http://bit.ly/2k0Xg90
EI Games - http://bit.ly/2ufcveA
MFM - http://bit.ly/2KnSU6P
Cortes da TNT Sports - https://bit.ly/3hbxWHC
Cortes do Futebol Brasileiro - https://bit.ly/3aNJJwn
TNT Sports Entrevista - https://bit.ly/3xdRJOE","esporte interativo, tnt sports, tnt sports brasil, prorrogação, apresentação ancelotti, carlo ancelotti, ancdlotti brasil, ancelotti seleção, seleção brasileira, convocação ancelotti, convocação brasil, neymar seleção, lista convocados seleção, ancelotti, ancelotti brasil, neymar brasil, coletiva ancelotti",00:06:29,1292541,33154,2412,https://i.ytimg.com/vi/1U3gvi69O5Q/maxresdefault.jpg,BR
