Posicao na coleta,Gênero do vídeo,Tipo de produtor,Categoria do vídeo,guideCategory,Taxa de engajamento,Idioma,Posicao Geral,Id do canal,Canal,Inscritos no canal,Id do vídeo,Data de publicação,Diferenca de horas entre postagem e coleta,Título do vídeo,Descrição do vídeo,Tags do video,Duração do vídeo,Visualizações,Gostei,Comentários,thumbnail_maxres,Pais
1,,,10,"Electronic_music, Music, Music_of_Latin_America, Pop_music",0.78%,pt,1,UCVOvoHO0LmcEJy4G91AbAMw,Dj Danny Albuquerque,1640000,dcXS1Nj8P4I,2026-01-18T14:30:29Z,17.79 horas,Dance se souber~ {TikTok} 2026🎶💜,"Dance se souber~ {TikTok} 2026🎶💜
Dance se souber~ {TikTok} 2026🎶💜

#dancesesoubertiktokatualizado   #dancesesouber #tiktok2025 #tiktok2026  #dancesesoubertiktok2026 #dancesesoubertiktok #mashupviral
#mashupviral #dancetiktok #tiktokmashup #tiktokviral #dancesesouber  #dancetiktok #dancesesoubertiktok2025 

Minhas Redes Sociais:
Instagram https://www.instagram.com/djdannyal/
TikTok https://www.tiktok.com/@djdannyalbuquerque

INSCREVA-SE PARA AJUDAR O CANAL🔔
COMPARTILHE ESTE VÍDEO:  https://youtu.be/cNfHV321plw
DEIXE SEU LIKE ^^ 
 




Dance se souber Tik Tok 2025 Atualizado
Tags - tiktok mashup , dance se souber músicas atualizadas, dance music , dance viral , mashup viral , dance se souber atualizadas 2025 , tente não dançar, tiktok viral video , tiktok laranja , tiktok mashup , dance funk tiktok mashup , dance se souber músicas atualizadas, dance music , dance viral , mashup viral , dance se souber atualizadas 2025 , tente não dançar, tiktok viral video , tiktok laranja , tiktok mashup , dance funk tiktok mashup , tiktok laranja , tiktok mashup , dance funk, dance se souber 2025, dance se souber tiktok 2025 atualizado novas, dance se souber tiktok 2025 atualizado, dance se souber tiktok, dance se souber, dance se souber tiktok 2024, tente não dançar tiktok, tente não dançar, tente não dançar e nem cantar, tente não dançar tik tok 2024, tente não dançar 2025, tente não dançar tik tok atualizadas, tente não dançar música do tik tok, tente não dançar versão tiktok, tiktok mashup, tiktok mashup 2025, tiktok mashup brasil, tiktok mashup 2024 brasil, tiktok mashup oficial, mashup tiktok, mashup tiktok brasil, mashup tiktok 2024, mashup funk tiktok, mashup tik tok brasil, dance se souber tiktok 2024 novas, dance se souber tiktok 2024, tente não dançar 2024, tiktok 2025, as melhores do tiktok 2024, melhores tiktok 2022, tiktok mashup 2024, tiktok brasil mashup, as melhores do tiktok 2024, músicas tiktok 2025, dance se souber 2025, mashup brasil tiktok, música de tik tok,música do tik tok,tik tok 2023,música tik tok,musicas do tik tok 2023 tiktok mashup,dance se souber músicas atualizadas,dance music,dance viral,mashup viral,dance se souber atualizadas 2022,tente não dançar,tiktok viral video,tiktok laranja,tiktok mashup,dance funk tiktok mashup,dance funk,dance ce souber músicas,Dance se souber~{Tik Tok},dance se souber tiktok brasileiro,dance se souber tiktok antigos,dancer se souber tiktok 2021,tik

dance se souber 2025,
dance se souber tiktok 2024 atualizado novas,
dance se souber tiktok 2025 atualizado,
dance se souber tiktok,
dance se souber,
dance se souber tiktok 2024,
tente não dançar tiktok,
tente não dançar,
tente não dançar e nem cantar,
tente não dançar tik tok 2024,
tente não dançar 2024,
tente não dançar tiktok atualizada,
tiktok mashup 2024,
tiktok mashup brasil,
mashup tiktok brasil,
mashup funk tiktok,
dance se souber tiktok 2024 novas,
tiktok 2024,

#dancesesoubertiktok2025  
#dancesesoubertiktok  
#dancesesoubertiktokatualizado","brazil tiktok, músicas, música tiktok, dança se souber, dancinhas do tik tok, dance se souber tiktok, dance se souber, música de tik tok, dance souber, 2025, 2025 tiktok, 2025 musicas, tiktok 2025, dance se souber tiktok 2025, tik tok, tiktok, musicas, dance se souber 2025, música do tik tok, dance se souber sem palavrão, dance se souber tiktok 2024, dance se souber 2024, tiktok 2024, dj danny albuquerque dance se souber, dance se souber músicas do tik tok, musicas do tik tok",00:08:27,111887,848,30,https://i.ytimg.com/vi/dcXS1Nj8P4I/maxresdefault.jpg,BR
2,,,23,"Film, Entertainment, Television_program",5.27%,en,2,UCqFzWxSCi39LnW1JKFR3efg,Saturday Night Live,16600000,X2FAizaEkls,2026-01-18T06:56:34Z,25.35 horas,Heated Wizardry - SNL,"A trailer introduces a Harry Potter television series with a heated twist.

Saturday Night Live. Stream now on Peacock: https://pck.tv/3n1IyzK

Subscribe to SNL: https://goo.gl/tUsXwM
Stream Current Full Episodes: http://www.nbc.com/saturday-night-live

WATCH PAST SNL SEASONS
Google Play - http://bit.ly/SNLGooglePlay
iTunes - http://bit.ly/SNLiTunes

SNL ON SOCIAL
SNL Instagram: http://instagram.com/nbcsnl
SNL Facebook: https://www.facebook.com/snl
SNL Twitter: https://twitter.com/nbcsnl
SNL TikTok: https://www.tiktok.com/@nbcsnl

GET MORE NBC
Like NBC: http://Facebook.com/NBC
Follow NBC: https://x.com/NBC
YouTube: http://www.youtube.com/nbc
NBC Instagram: http://instagram.com/nbc

#SNL #FinnWolfhard #ASAPRocky #SNL51","video, SNL, Saturday Night Live, live, new york, comedy, sketch, funny, hilarious, late night, host, music, guest, laugh, impersonation, actor, improv, musician, season 51, snl51, snl 51, Finn Wolfhard, stranger things, stranger things cast, stranger things actor, Finn Wolfhard interview, Finn Wolfhard on SNL, It, Hell of a Summer, It Chapter Two, Ghostbusters: Afterlife, The Turing, A$AP Rocky, ASAP Rocky, Finn Wolfhard hosts SNL, harry potter, heated rivalry, television series, trailer",00:03:16,1834985,92790,3904,https://i.ytimg.com/vi/X2FAizaEkls/maxresdefault.jpg,US
3,,,20,"Action_game, Role-playing_video_game, Video_game_culture, Action-adventure_game",2.89%,pt-BR,3,UCUouM5ZRqZoFNzUvpDeYNGQ,Lucas Clash ON,7500000,R875BNQrvyU,2026-01-18T21:46:48Z,10.51 horas,MELHORANDO AS CONTAS DOS INSCRITOS NO TSUNAMI BRAINROT,,,00:18:03,223923,5282,1183,https://i.ytimg.com/vi/R875BNQrvyU/maxresdefault.jpg,BR
4,,,10,"Electronic_music, Hip_hop_music, Music_of_Latin_America, Music, Pop_music",0.71%,pt-BR,4,UCaU2Wviuh2yuBPn65pZlIZg,AMO FUNK,327000,GExxEgq1K08,2026-01-18T13:50:49Z,18.45 horas,"DIÁRIO DE UM CAFAJESTE - MC's Lele JP, Ryan SP, Meno K,Negão Original, Tuto (DJ Oreia)","Bem-vindo ao canal oficial com os lançamentos mais quentes do FUNK! Inscreva-se e fique por dentro das novidades. 

DIÁRIO DE UM CAFAJESTE - MC's Lele JP, Ryan SP, Meno K,Negão Original, Tuto (DJ Oreia)
DIÁRIO DE UM CAFAJESTE - MC's Lele JP, Ryan SP, Meno K,Negão Original, Tuto (DJ Oreia)
DIÁRIO DE UM CAFAJESTE - MC's Lele JP, Ryan SP, Meno K,Negão Original, Tuto (DJ Oreia)

Artista(s): MC's Lele JP, Ryan SP, Meno K,Negão Original, Tuto
Música: DIÁRIO DE UM CAFAJESTE 
Produção: DJ Oreia
Ano: 2026

AMO FUNK / Love Funk © 2026

Copyright © 2026 | AMO FUNK & Love Funk ®. Todos os direitos reservados.

#Funk #Funk2026 #LoveFunk","love funk, funk lançamento, trap funk, funk funk, gr6 explode, funk mix, funk tik tok, funk viral, amo funk, mc, mc ryan sp, mc paiva, mc paulin da capital, mc hariel, mc lipi, mc ig, funk exclusivo, funk vazado, funk 2025, funk 2025 lançamento, funk 2026, funk tik tok 2026, DIÁRIO DE UM CAFAJESTE - MC's Lele JP, Ryan SP, Meno K, Negão Original, Tuto (DJ Oreia), diario de um cafageste",00:05:58,23517,164,3,https://i.ytimg.com/vi/GExxEgq1K08/maxresdefault.jpg,BR
5,,,24,"Film, Entertainment",9.74%,pt,5,UCt_4wzTQqmcUvemNkeO0plA,Ei Nerd,14300000,9Apg4DkaaOs,2026-01-18T00:05:00Z,32.21 horas,A MARVEL APAGOU O DOUTOR DESTINO DO TEASER DE VINGADORES E EU POSSO PROVAR,"💰 Garanta seu patrimônio em cripto com um bônus de até R$ 350,00 em BTC. Acesse:  https://coinbase-consumer.sjv.io/c/6439512/3125833/9251
--------------------------------------------------------------
A Marvel apagou alguém do teaser de Vingadores: Doomsday e isso muda tudo. Um detalhe ignorado, um enquadramento estranho e uma ausência gritante levantaram uma suspeita pesada: o Doutor Destino estava ali e foi removido de propósito. Coincidência ou estratégia clássica da Marvel pra esconder o maior plot do filme?

Neste vídeo, a gente conecta os teasers, vazamentos de set, pistas dos Irmãos Russo e eventos recentes do UCM pra responder a pergunta que ninguém quer calar: quem realmente estava ao lado do Coisa em Wakanda? Incursões, Quarteto Fantástico, Novos Vingadores e o possível Destino disfarçado de herói. Dá o play e decide: teoria exagerada… ou a Marvel já começou o jogo do apocalipse?

#Vingadores #VingoresDoomsDay #UCM #Marvel #DrDoom #robertdowneyjr 
--------------------------------------------------------------
🌐 Quer ficar por dentro de tudo que acontece no mundo da cultura pop? Acesse: https://www.einerd.com/
--------------------------------------------------------------
📝  Roteiro: William Prado
🎬  Edição: Tiago Mauricio
🎨  Thumbnail: Sammy Ferreira
🧠  Direção de Conteúdo: Caio Rohen
--------------------------------------------------------------

💪😎 WheyNerd já disponível para compras, acesse: https://loja.wheynerd.com.br/
Seja um afiliado: https://afiliados.wheynerd.com.br/register

💡 𝗔𝗽𝗼𝗶𝗲 𝗻𝗼𝘀𝘀𝗼 𝗰𝗮𝗻𝗮𝗹:
✓ Crie sua conta na Hotmart e seja um afiliado: https://hotm.art/PJHotmartAfiliados
✓Você quer viver de Youtube? → https://rebrand.ly/viver-de-youtube

📧 𝐂𝐨𝐧𝐭𝐚𝐭𝐨:
✓ Comercial e novos negócios → comercial@einerd.com

🔔 𝐏𝐞𝐭𝐞𝐫 𝐉𝐨𝐫𝐝𝐚𝐧: 
✓ Instagram e Facebook →  @petjordan 
✓ Meu canal de viagem e vlogs → https://www.youtube.com/@malafeitatv

🔔 Breno Jordan: 
✓ Instagram e TikTok → @brenojordan_

Acesse nosso portal: https://www.einerd.com/

♬ 𝘔𝘶́𝘴𝘪𝘤𝘢𝘴:
✓ Music by Epidemic Sound","Nerd, ei nerd, peter jordan, UCM, MARVEL, DC, DC COMICS, CINEMA, FILMES, ANIMES, QUADRINHOS, HQS, SERIES, GEEK, CULTURA POP, SERIADOS, HERÓIS, SUPER HEROIS",00:09:16,148622,14189,288,https://i.ytimg.com/vi/9Apg4DkaaOs/maxresdefault.jpg,BR
6,,,24,Lifestyle_(sociology),8.36%,pt,6,UChMJkHCD2wdvSO7CMOuLR-w,Renato Garcia,30800000,EeaSeuZqPAY,2026-01-18T22:30:04Z,9.79 horas,ESSA É A MELHOR EQUIPE DE TODOS OS TEMPOS,"VOCE PODE ENCONTRAR TODAS AS PEÇAS DO MEU PC GAMER NA : https://www.pichau.com.br/

FONTE 500 W DA MANCER 
PLACA DE VIDEO GEFORCE RTX 4060
PLACA MÃE GAMER  B550MK
SSD DE 480 GIGA 
MAUSE PAD PICHAU 
PROCESSADOR RYZEN 5 SERIE 500
FONE DE OUVIDO DA PICHAU P852 ATRIA
CPU CV500L
MONITOR VALAK ZX 180 CURVO 27"" 180HZ
TECLADO SONNE BLACK
MOUSE STAR SPRINT PICHAU

Minha Loja de produtos como bonés e camisetas exclusivos do canal:  https://www.lojarenatogarciayt.com.br/bones

 ●Instagram: https://www.instagram.com/renatogarciayt
●Facebook: https://www.facebook.com/renatogarciayoutube

ME ENVIE PRESENTES ! 
Caixa Postal: 8748
CEP: 86020980
LONDRINA - PR 

Canal dos Caçadores de Lendas ELITE !
https://www.youtube.com/@cacadoresdelendaselite

●Contato para parcerias e eventos: comercial@htrsproducoes.com","RENATO GARCIA, RENATO DA XJ6, RENATO, CAMARO, DAILY VLOG, ferrari, caçadores de lendas, porsche, carros esportivos, diversao, entreterimento, curiosidades, lendas, carros jdm, skyline r34, amigos, piscina, esporte, downhill, corrida, maverick, motor v8, v8, cachorros, canal divertido, canal entreterimento",00:59:19,217746,17638,576,https://i.ytimg.com/vi/EeaSeuZqPAY/maxresdefault.jpg,BR
7,,,10,"Electronic_music, Hip_hop_music, Music_of_Latin_America, Music, Pop_music",0.68%,pt-BR,7,UC6l2KBDO5ueFn2wHjygotLQ,FUNK DE DRAK,1420000,kJV41E4gkRw,2026-01-18T14:22:42Z,17.92 horas,"EU DANDO NA BUNDA DELA ELA SÓ FALAVA DALE DALE - MANEIRINHO DO RECIFE E MC BALAKINHA, BIEL XCAMOSO","Inscreva-se no canal FUNK DE DRAK e receba os MELHORES LANÇAMENTOS EXCLUSIVOS DE FUNK!

EU DANDO NA BUNDA DELA ELA SÓ FALAVA DALE DALE - MANEIRINHO DO RECIFE E MC BALAKINHA, BIEL XCAMOSO
EU DANDO NA BUNDA DELA ELA SÓ FALAVA DALE DALE - MANEIRINHO DO RECIFE E MC BALAKINHA, BIEL XCAMOSO
EU DANDO NA BUNDA DELA ELA SÓ FALAVA DALE DALE - MANEIRINHO DO RECIFE E MC BALAKINHA, BIEL XCAMOSO

Artista: MANEIRINHO DO RECIFE E MC BALAKINHA, BIEL XCAMOSO
Musica: EU DANDO NA BUNDA DELA ELA SÓ FALAVA DALE DALE
Produção Musical: 
Genêro: Funk 2025 


FUNK DE DRAK/Love Funk ® Todos os direitos reservados.

#MC #LOVEFUNK #FUNKDEDRAK","funk, gr6, mix funk, funks, funk lançamento, mc, 4m, funk consciente, música funk, gr6 explode, love funk, funk de drak, funk 2024, funk 2024 lançamento, funk 2024 playlist, funk 2025, funk 2025 lançamento, funk 2025 playlist, EU DANDO NA BUNDA DELA ELA SÓ FALAVA DALE DALE - MANEIRINHO DO RECIFE E MC BALAKINHA, BIEL XCAMOSO, eu dando na bunda dela, ela so falava dale dale, dale dale, dale dale tiktok",00:02:18,21940,131,18,https://i.ytimg.com/vi/kJV41E4gkRw/maxresdefault.jpg,BR
8,,,20,"Video_game_culture, Sports_game",3.34%,pt-BR,8,UC5ZTRH1zclthyc6b_D3m2Pw,Gaules,1210000,Orq0RHrg0O4,2026-01-18T22:22:00Z,9.93 horas,DIA 6 -  BLAST BOUNTY 2026 SEASON  - !socio - Siga @Gaules #agonbyaocbr #aocgaming,"DIA 6 -  BLAST BOUNTY 2026 SEASON 1  - !socio - Siga @Gaules #agonbyaocbr #aocgaming 

08:00 PARIVISON X ASTRALIS
10:30 INNER CIRCLE X SPIRIT
13:00 EYEBALLERS X VITALITY
15:30 FUT X FURIA

⚠️ Devido a problemas de marca e imagem, o canal Gaules passa a autorizar a publicação de conteúdos retirados da Live somente 24 horas após a finalização da VOD na Roxinha. A regra se aplica a todo tipo de vídeo: clipes, cortes, gameplays ou lives completas.","Gaules, gaules ao vivo, gaules lives, tribo gaules, Counter Strike, CS, Tribo, CS AO VIVO, Major, ESL, BLAST, PGL, Liminha, BT, MCH, Apoka, lett, Podcast Gaules, CSGO, AO VIVOLIVE, G3X, Kings League, Gaules AO VIVO, Tribonera, Gau, Imperial, Furia, O Plano, Legacy, Pain, Oddik, Red Canids, gaules melhores momentos, melhores momentos das lives, melhores momentos, cs2, melhores momentos furia, CounterStrike, CounterStrikeGlobalOffensive, CSGOCommunity, CSGOLovers, CSGOPro, CSGOGaming, CSGOSkins, CSGOHighlights",06:40:41,421308,14057,14,https://i.ytimg.com/vi/Orq0RHrg0O4/maxresdefault.jpg,BR
9,,,10,"Music, Music_of_Latin_America",0.89%,pt-PT,9,UC_anvZzRWb5B4VSfq0iFlpw,Música TopTop,301000,VeqtsoDgVgo,2026-01-18T12:00:51Z,20.28 horas,NATANZINHO LIMA 2026 ( CD NOVO 2026 ) REPERTÓRIO NOVO - MÚSICAS NOVAS,"Aqui você encontra a seleção atualizada com os maiores sucessos de Natanzinho Lima, músicas que estão estouradas em todo o Brasil, tocando forte nos paredões, festas, vaquejadas e resenhas! 💥🔊

🎶 Forrozinho envolvente
🎶 Hits românticos e dançantes
🎶 Qualidade 100% PAREDÃO
🎶 Só música boa, uma atrás da outra

Se você é fã de Natanzinho Lima, forró atual, música nordestina e quer ficar por dentro do que está viral em 2026, esse vídeo é pra você!

👉 Curta, comente e compartilhe com os amigos
👉 Inscreva-se no canal para não perder as próximas seleções
👉 Deixe nos comentários qual música você mais gosta do Natanzinho! ❤️

🚀 NATANZINHO LIMA 2026 – SÓ AS TOPS!","natanzinho lima, natanzinho lima 2026, natanzinho lima as mais tocadas, natanzinho lima paredão, natanzinho lima forró, natanzinho lima novo, natanzinho lima hits, natanzinho lima músicas, forrozinho 2026, forró atual 2026, forró viral 2026, paredão 2026, música nordestina, forró estourado, forró romântico, forró pra paredão, top forró 2026, as mais tocadas 2026, forró brasil, música brasileira, natanzinho lima ao vivo, natanzinho lima live, natanzinho lima ao vivo 2026",00:42:06,27544,244,2,https://i.ytimg.com/vi/VeqtsoDgVgo/maxresdefault.jpg,BR
10,,,20,"Action-adventure_game, Video_game_culture, Role-playing_video_game",1.79%,pt,10,UCMqwki1wq79sf5IBueB9pQQ,PIZÃO,7870000,Z1kZf8ZIuEc,2026-01-18T14:40:14Z,17.62 horas,"NOVO BRUNITO MARSITO, GOAT e EVENTO DO BRUNO MARS NA ATUALIZAÇÃO DO ROUBE O BRAINROT!","atualização do Roube um Brainrot, Roube o Brainrot novo strawberry elephant, STEAL A BRAINROT , Steal a Brainrot, novos brainrots  SECRETO NOVO NO ROUBE O BRAINROT. dragon canellonni, Nova atualização steal a brainrot, novo brainrot do roube um brainrot, NOVO BRAINROT ATUALIZAÇÃO, HACKER NO ROUBE UM BRAINROT, script roube um brainrot. centuzzarella,  LOS ORCALEROS

#pizao #roblox #stealabrainrot #roubeumbrainrot #robloxgames #brainrot",,00:16:01,273559,4386,501,https://i.ytimg.com/vi/Z1kZf8ZIuEc/maxresdefault.jpg,BR
