Posicao na coleta,Gênero do vídeo,Tipo de produtor,Categoria do vídeo,guideCategory,Taxa de engajamento,Idioma,Posicao Geral,Id do canal,Canal,Inscritos no canal,Id do vídeo,Data de publicação,Diferenca de horas entre postagem e coleta,Título do vídeo,Descrição do vídeo,Tags do video,Duração do vídeo,Visualizações,Gostei,Comentários,thumbnail_maxres,Pais
1,,,10,"Pop_music, Hip_hop_music, Music, Music_of_Latin_America, Electronic_music",1.24%,pt-PT,1,UCj1Ja_ZGKK2bN495vMrruiQ,MC MENO K - Topic,165000,-Po48NK4nkk,2026-04-03T00:03:31Z,20.30 horas,Gauchinha (Delicinha),"Provided to YouTube by WM Brazil

Gauchinha (Delicinha) · MC Meno K · DJ Japa NK

Gauchinha (Delicinha)

℗ 2026 Warner Music Brasil.

A& R Manager: Barbara Rodrigues
Mastering Engineer: DJ Japa NK
Mixing Engineer: DJ Japa NK
Unknown: DJ Japa NK
Producer: DJ Japa NK
Vocals: DJ Japa NK
A And R Administrator: Jeronimo da Silva
Vocals: MC Meno K
A& R Direction: Marcos Kilzer
Writer: DJ Japa NK
Writer: MC Meno K

Auto-generated by YouTube.","MC Meno K, DJ Japa NK, Gauchinha (Delicinha)",00:02:43,55728,683,7,https://i.ytimg.com/vi/-Po48NK4nkk/maxresdefault.jpg,N/A
2,,,24,"Entertainment, Film",16.98%,pt,2,UCt_4wzTQqmcUvemNkeO0plA,Ei Nerd,14400000,34DZmtab4CI,2026-04-03T16:00:07Z,4.36 horas,"CADA VEZ MAIS SUJA, DESCABELADA E DEPRESSIVA - ANÁLISE: TRAILER SUPERGIRL","O novo trailer da Super Girl saiu e tem muita coisa pra gente analisar, se liga! Em Supergirl: Woman of Tomorrow, a Kara aparece mais sombria, suja e completamente diferente do que os fãs esperavam. Mas, isso é fidelidade ou um erro gravíssimo da adaptação? Enquanto Superman surge tentando salvar o que resta, teorias explodem sobre Argo City, trauma kryptoniano e um possível destino trágico pro Krypto.

Mas não para por aí, enquanto de um lado tem o Lobo chegando pra roubar a cena, do outro, o visual e os vilões levantam uma dúvida: a DC tá copiando Guardiões da Galaxia? Vem pra análise completa porque esse trailer tá escondendo MUITO mais do que parece.

#SuperGirl #SuperGirlWomanOfTomorrow #Lobo #Superman #Krypto #ArgoCity #DC #DCU #GuardiõesDaGaláxia #MillyAlcock #JasonMomoa #JamesGunn #WarnerBros #WomanOfTomorow
--------------------------------------------------------------
🌐 Quer ficar por dentro de tudo que acontece no mundo da cultura pop? Acesse: https://www.einerd.com/
--------------------------------------------------------------
📝  Roteiro: Caio Rohen
🎬  Edição: @pedrorodrigoedv 
🎨  Thumbnail: Sammy Ferreira
🧠  Direção de Conteúdo: Caio Rohen
--------------------------------------------------------------

💪😎 WheyNerd já disponível para compras, acesse: https://loja.wheynerd.com.br/
Seja um afiliado: https://afiliados.wheynerd.com.br/register

💡 𝗔𝗽𝗼𝗶𝗲 𝗻𝗼𝘀𝘀𝗼 𝗰𝗮𝗻𝗮𝗹:
✓ Crie sua conta na Hotmart e seja um afiliado: https://hotm.art/PJHotmartAfiliados
✓Você quer viver de Youtube? → https://rebrand.ly/viver-de-youtube

📧 𝐂𝐨𝐧𝐭𝐚𝐭𝐨:
✓ Comercial e novos negócios → comercial@einerd.com

🔔 𝐏𝐞𝐭𝐞𝐫 𝐉𝐨𝐫𝐝𝐚𝐧: 
✓ Instagram e Facebook →  @petjordan 
✓ Meu canal de viagem e vlogs → https://www.youtube.com/@malafeitatv

🔔 Breno Jordan: 
✓ Instagram e TikTok → @brenojordan_

Acesse nosso portal: https://www.einerd.com/

♬ 𝘔𝘶́𝘴𝘪𝘤𝘢𝘴:
✓ Music by Epidemic Sound","Nerd, ei nerd, peter jordan, UCM, MARVEL, DC, DC COMICS, CINEMA, FILMES, ANIMES, QUADRINHOS, HQS, SERIES, GEEK, CULTURA POP, SERIADOS, HERÓIS, SUPER HEROIS",00:07:02,47777,7648,466,https://i.ytimg.com/vi/34DZmtab4CI/maxresdefault.jpg,BR
3,,,20,"Action_game, Role-playing_video_game, Video_game_culture, Action-adventure_game",3.18%,pt-BR,3,UCrcBZDofBltcgGxphNia2tw,ProbIems,11900000,kgZzl0JALiA,2026-04-03T13:01:20Z,7.34 horas,Preciso de Mais Força para Chutar Portas no Minecraft!,"Servidor de discord:
https://discord.gg/2jtYumJKuZ

Minha Loja:
https://www.curtaloja.com/marca/problems.html

Contato COMERCIAL:
comercial@agenciacurta.com

Segue a turma no instagram:

Problems💙 https://www.instagram.com/problems_sr/
Mel 💛https://www.instagram.com/kaikemel/
Kadu 💖 https://www.instagram.com/kadukon/
Stick 💚https://www.instagram.com/guualfaro/
Zoom 🧡 https://www.instagram.com/josedu4rd/

ENXADAHOST - Cupom: Problems
ATENÇÃO: O conteúdo do vídeo é 100% family friendly, ou seja qualquer um pode assistir com toda a familia quando quiser!!

#problems #minecraft","maniqueft, lego, problems, probrems, probres, pobrems, problemas, problema, pobrema, mainequeft, minecraft, video do problema, video do problems, video do pobrems, minecraft survival, minecraft mitos, minecraft fatos, problems roblox, roblox, pobrems roblox, pobris roblox, pobrema roblox, problema roblox",00:24:39,255798,7726,421,https://i.ytimg.com/vi/kgZzl0JALiA/maxresdefault.jpg,BR
4,,,10,"Music_of_Latin_America, Music, Pop_music, Hip_hop_music",0.70%,es,4,UCaxjS8mdF402rdn1hP6_1_Q,nostalgia lyrics.,51500,34_17D3UgAQ,2026-03-30T16:00:06Z,100.36 horas,Air Supply - Making Love Out of Nothing at All (Sub. Español + Lyrics),,,00:05:42,106630,730,13,https://i.ytimg.com/vi/34_17D3UgAQ/maxresdefault.jpg,N/A
5,,,1,"Entertainment, Film",2.44%,pt,5,UC9NXpIA01HVRhYgcEbs80Nw,Sony Pictures Brasil,1040000,YLWDrS8qCiM,2026-04-02T21:00:00Z,23.36 horas,Mestres Do Universo | Trailer Dublado | 4 de junho nos cinemas,"Curta a Sony Pictures Brasil no Facebook: 
http://www.facebook.com/SonyPicturesBrasil 

Siga a Sony Pictures Brasil no Twitter:
http://twitter.com/sonypicturesbr

Siga a Sony Pictures Brasil no Instagram:
http://instagram.com/sonypicturesbr","trailer, trailer oficial, trailer legendado, trailer dublado",00:02:29,610351,13610,1308,https://i.ytimg.com/vi/YLWDrS8qCiM/maxresdefault.jpg,BR
6,,,20,"Role-playing_video_game, Video_game_culture, Action-adventure_game, Action_game",14.01%,pt-PT,6,UCIXguhHCl8eDTkXpEuiGPUA,Jazzghost,23400000,gDiaSKS9PqY,2026-04-03T16:41:27Z,3.67 horas,"QUEM DIRIA QUE TIRAR FOTO DAS PESSOAS ÀS 3:00 DA MANHÃ DARIA ERRADO, HEIN?","CONFIRA E SARAIVA O LIKE!
●Nome do Jogo:
======================
●Instagram: julianoab
●Email de contato: jazzghost@gmail.com",,00:41:56,239285,30596,2924,https://i.ytimg.com/vi/gDiaSKS9PqY/maxresdefault.jpg,N/A
7,,,10,"Music, Music_of_Latin_America",0.54%,pt-PT,7,UCffWjqUO0JDOvH_F05qF4JA,Danilo e Davi - Topic,674,rP9pG6Wuf-g,2026-03-29T10:01:11Z,130.34 horas,Apaga Apaga Apaga (Ao Vivo),"Provided to YouTube by Sony Music Entertainment

Apaga Apaga Apaga (Ao Vivo) · Danilo e Davi

Rádio Sertanejo Só Hits

℗ 2026 Som Livre sob licença exclusiva de D&D Produções Artísticas.

Released on: 2026-03-30

Associated Performer: Danilo e Davi
Composer: Bruno Sucesso
Composer: Danilo Davilla
Composer: Vinicius Poeta
Producer: Jeff da Sanfona

Auto-generated by YouTube.","Danilo e Davi, Rádio Sertanejo Só Hits, Apaga Apaga Apaga",00:03:04,20196,109,0,https://i.ytimg.com/vi/rP9pG6Wuf-g/maxresdefault.jpg,N/A
8,,,1,"Film, Entertainment",5.47%,pt,8,UC5XG4yYM-_DQ-3HPRuam76Q,ingresso.com,2680000,E_pQni-6m4c,2026-04-02T12:39:41Z,31.70 horas,Mestres Do Universo | Teaser Trailer Oficial Dublado,"Mestres Do Universo | Teaser Trailer Oficial Dublado

Assista ao novo teaser de #MestresDoUniverso, trazendo de volta #GarciaJúnior como a voz de #HeMan - 4 de junho nos cinemas!

Somos o melhor destino para quem busca trailers assim que eles são lançados.

Se você é fã de cinema como a gente, INSCREVA-SE e receba todas as novidades dos seus filmes favoritos!

► Baixe nossos apps:
Android: https://goo.gl/ZOknfm
iOS: https://goo.gl/hFbnMY

► Compre ingressos para as melhores estreias: https://www.ingresso.com

► Assine UOL e Ganhe R$ 20 Por Mês Para Usar com cinema na Ingresso.com: https://bit.ly/3yX0hyd

► Siga a Ingresso no INSTAGRAM: https://www.instagram.com/ingressocom/

► Curta a Ingresso no FACEBOOK: https://www.facebook.com/ingressocom

► Fique por dentro das novidades do universo do cinema no nosso canal no WHATSAPP: https://whatsapp.com/channel/0029Va58whvFCCoURznPIG0n","Lançamentos;, Filmes, Cinema, Estreias, Trailers, filme completo, crítica, ingresso.com, review, análise, cinema 2025, fas de cinema, ingressos de cinema, desconto cinema, conteúdo de cinema, curiosidades",00:00:49,116131,5894,456,,BR
9,,,24,"Action_game, Video_game_culture, Action-adventure_game",15.17%,pt-PT,9,UCIzdh7oty8jCnXUj3eUj2WQ,Felipe Neto Joga,390000,LJ1iEfopwZ8,2026-04-03T15:00:25Z,5.35 horas,UMA COBRA INVADIU MEU AVIÃO E EU NÃO SABIA O QUE FAZER,"Eu achei que já tinha dado tudo errado… mas piorou.

Vou tentar salvar a companhia aérea, e os problemas só aumentam: passageiros mais exigentes, situações ainda mais absurdas e decisões que parecem sempre dar errado no pior momento possível.

Entre caos dentro do avião, erros atrás de erros e muita improvisação, eu sigo tentando manter tudo de pé… mesmo quando parece impossível.

Será que agora vai… ou a falência é inevitável?

Se inscreve no Felipe Neto Joga, deixa o like e comenta quais jogos você quer ver nos próximos vídeos.",,00:41:01,79947,11594,532,https://i.ytimg.com/vi/LJ1iEfopwZ8/maxresdefault.jpg,N/A
10,,,10,"Music_of_Latin_America, Music",2.61%,pt-BR,10,UCGYJlreupVYnDwaARORyVSw,Dodô Diplomata,417000,sePfylQdQPs,2026-04-02T23:52:26Z,20.49 horas,TOQUE DEZ - FOGUETÃO DA NASA (MELÔ DE POUCAS IDEIA) PROFISSIONAL DO JOB - FEAT. MC K.K,,,00:03:14,41977,1059,37,https://i.ytimg.com/vi/sePfylQdQPs/maxresdefault.jpg,BR
