Posicao na coleta,Gênero do vídeo,Tipo de produtor,Categoria do vídeo,guideCategory,Taxa de engajamento,Idioma,Posicao Geral,Id do canal,Canal,Inscritos no canal,Id do vídeo,Data de publicação,Diferenca de horas entre postagem e coleta,Título do vídeo,Descrição do vídeo,Tags do video,Duração do vídeo,Visualizações,Gostei,Comentários,thumbnail_maxres,Pais
1,,,10,"Pop_music, Music, Hip_hop_music, Entertainment, Film",15.83%,pt-BR,1,UC8F_XIeG-FYJ8ezSB352MYg,M4rkim,1020000,GnWKK50nHQg,2025-09-20T20:00:07Z,24.14 horas,M4rkim - Lua Superior Três (Akaza),"Bem-vindos a mais uma do M4RKIM 🎺

- Me escute também nas plataformas digitais! -
Spotify: https://open.spotify.com/intl-pt/album/27IDoSe9tWkHiu4tphOZeH
Deezer: https://www.deezer.com/br/artist/129051842
Apple Music: https://music.apple.com/br/album/lua-superior-tr%C3%AAs-single/1840709186

- REDES SOCIAIS -
Instagram: @m4rkimoficial  
Tiktok: @m4rkimofc
X: @m4rkimofc

- CRÉDITOS -
Edição por: Moura, INFY, RMDS, Aizawa, MTZ, Kapotino e Night
Design de Thumbnail por: Dvd
Ilustração da Thumbnail por: Thigas
Design nas Plataformas Digitais por: Dvd
Mixagem e Masterização por: ALBK
Mixagem Adicional (Timbragem da Bateria) por: Dakvir
Legendas do Youtube por: Irlan (@irlan_derick)
Instrumental e Guitarras por: Hunter
Composição Vocal por: M4rkim
Letra por: M4rkim
Canto por: M4rkim (Akaza e nikmouu (Koyuki)

Espero que tenham gostado dessa música que eu fiz dedicada ao personagem Akaza do anime/mangá Kimetsu no Yaiba (Rap do Akaza)

""Ele é um demônio afiliado aos Doze Kizuki, ocupando a posição de Nível Superior Três""

Contato Profissional: m4rk1mprofissional@outlook.com

Agradeço ferozmente sua presença aqui ;DD
e OBRIGADO =D","rap do akaza, rap do akaza react, react rap do akaza, rap do akaza kimetsu, trap do akaza, rap do akaza demon slayer, rap de akaza, akaza rap, rap akaza, rep do akaza, fabvl akaza rap, akaza rap fabvl, akaza rap megar, react rap akaza, rap do, akaza vs cacadores rap, rap do kaigaku, akaza rap reaction, akaza trap, rap de akaza demon slayer, rengoku vs akaza rap, akaza vs tanjiro rap, tanjiro vs akaza rap, rap rengoku vs akaza, M4rkim, M4rkin, m4rkim akaza, M4rkim AKAZA",00:04:54,247319,37723,1425,https://i.ytimg.com/vi/GnWKK50nHQg/maxresdefault.jpg,BR
2,,,20,"Role-playing_video_game, Action-adventure_game, Video_game_culture, Lifestyle_(sociology), Hobby, Action_game",2.81%,pt-BR,2,UCrcBZDofBltcgGxphNia2tw,ProbIems,11400000,7c0XZzai0Q0,2025-09-21T13:00:15Z,7.14 horas,Evolui Meu Avião Para Ser o Melhor do Servidor!,"💙VEM CONHECER MEU NOVO SHOW!!💙
https://showturmadoproblems.com.br/

Minha Loja:
https://www.curtaloja.com/marca/problems.html

Contato COMERCIAL:
comercial@agenciacurta.com


Segue a turma no instagram:

Problems💙 https://www.instagram.com/problems_sr/
Mel 💛https://www.instagram.com/kaikemel/
Kadu 💖 https://www.instagram.com/kadukon/
Stick 💚https://www.instagram.com/guualfaro/
Zoom 🧡 https://www.instagram.com/josedu4rd/

ENXADAHOST - Cupom: Problems
CINEART - Cupom: Stick15 ou Mel15
ATENÇÃO: O conteúdo do vídeo é 100% family friendly, ou seja qualquer um pode assistir com toda a familia quando quiser!!

#problems #minecraft","maniqueft, lego, problems, probrems, probres, pobrems, problemas, problema, pobrema, mainequeft, minecraft, video do problema, video do problems, video do pobrems, minecraft survival, minecraft mitos, minecraft fatos, problems roblox, roblox, pobrems roblox, pobris roblox, pobrema roblox, problema roblox",00:20:01,290264,7439,715,https://i.ytimg.com/vi/7c0XZzai0Q0/maxresdefault.jpg,BR
3,,,22,"Music, Music_of_Latin_America",0.82%,vi,3,UC-0J_72FVttrCAwQQxGacQA,Pagode Melhores,465,BWifREpw1pk,2025-09-21T09:50:26Z,10.30 horas,"As Mais Tocadas No Pagode Atualizado🎯 Péricles, Menos É Mais, Ferrugem, Dilsinho, Thiaguinho","As Mais Tocadas No Pagode Atualizado🎯 Péricles, Menos É Mais, Ferrugem, Dilsinho, Thiaguinho


💥 Obrigado por assistir o vídeo, não se esqueça de curtir, comentar, compartilhar e se inscrever no meu canal   🎶🎶😎
 💥 Se gostou do vídeo, curta e compartilhe para que o canal tenha motivação de postar vídeos todos os dias para se desenvolver ainda 


#pagode #pagodemix #sambaepagode #pagode2025 #pagodeasmelhores #pagodedasantigas #pagodesmaistocados #samba #toppagode #pagodeesamba #pagodetop #pagodeaovivo #pagodemusica #dilsinho #menosemais #pericles #soweto #ferrugem #iza #diogonogueira #dudunobre #pixote #thiaguinho #sorrisomaroto #ludmilla #alexandrepires #kamisa10",,01:08:19,24662,201,0,https://i.ytimg.com/vi/BWifREpw1pk/maxresdefault.jpg,BR
4,,,20,"Action-adventure_game, Video_game_culture, Role-playing_video_game",3.54%,pt-BR,4,UCCeWpi_LTJfi_AbeS2OJ6OQ,TEODORO,2180000,SXc_p8S-6EI,2025-09-20T23:39:24Z,20.49 horas,NOVA ENTIDADE BODE NO 99 NOITES NA FLORESTA 👑🌋,#99noitesnafloresta #99noitesnaflorestaroblox #teodoro,"99 noites na floresta, base 99 noites na floresta, 99 noites na floresta roblox, atualização 99 noites na floresta, teodoro, roblox, update 99 noites na floresta, 99 noites na floresta dicas, dicas 99 noites na floresta, zerando 99 noites na floresta, final 99 noites na floresta, 99 dias no 99 noites na floresta, jogos online, vídeos de jogos, atualização do 99 noites na floresta, jogos, códigos de 99 noites na floresta, 99 NOITES NA FLORESTA CODES, codes de 99 noites na floresta",00:25:19,368332,11590,1452,https://i.ytimg.com/vi/SXc_p8S-6EI/maxresdefault.jpg,BR
5,,,10,"Music, Music_of_Latin_America",0.55%,pt,5,UCn0NUsrqao9WNBO6A-hIEOg,Sertanejo 2020,925000,Vo7lrQFGrto,2025-09-20T15:32:31Z,28.60 horas,TOP SERTANEJO 2025 - As Melhores do Sertanejo Universitário (Mais Tocadas) - Top 30 Sertanejo 2025,"#sertanejo #musicas #gusttavo lima
------
TOP SERTANEJO 2025 - As Melhores do Sertanejo Universitário (Mais Tocadas) - Top 30 Sertanejo 2025 
Link: https://youtu.be/Vo7lrQFGrto
Thanks for watching! Don't forget to SUBCRIBE, Like & Share my video if you enjoy it! Have a nice day!
Sertanejo 2020. : https://bom.to/jSqAes
Playlist              : https://bom.to/3xwCBx
#mariliamendonca #repertorionovo #cd2019#TOPSERTANEJO2020  #sertanejo2020","sertanejo 2023, musicas, sertanejo, sertanejo 2022, música",01:29:32,60495,329,3,https://i.ytimg.com/vi/Vo7lrQFGrto/maxresdefault.jpg,BR
6,,,20,"Role-playing_video_game, Action-adventure_game, Video_game_culture, Action_game, Simulation_video_game",6.33%,pt-PT,6,UCIXguhHCl8eDTkXpEuiGPUA,Jazzghost,21700000,r02C9iVLEJc,2025-09-20T15:00:09Z,29.14 horas,A MULHER PRENDEU O PRÓPRIO MARIDO EM UM JOGO POR DINHEIRO! (Bloodmoney 2),"No vídeo de hoje nós vamos conhecer toda a história por trás do simpático homem que te dava 1 real toda vez que você clicava nela. E a verdade vai ter deixar assustado! CONFIRA E SARAIVA O LIKE!

●Nome do Jogo: Human Expediture Project (Bloodmoney 2)
======================
●Instagram: julianoab
●Email de contato: jazzghost@gmail.com","jazzghost, jazz, bloodmoney, Human Expediture Project",00:51:24,1113580,65303,5238,https://i.ytimg.com/vi/r02C9iVLEJc/maxresdefault.jpg,N/A
7,,,10,"Music, Music_of_Latin_America",0.81%,pt-PT,7,UC_anvZzRWb5B4VSfq0iFlpw,Música TopTop,289000,ahliWCHU8ac,2025-09-20T12:00:03Z,32.14 horas,NATANZINHO LIMA 2025 ( MÚSICA NOVAS ) CD NOVO - REPERTÓRIO ATUALIZADO,"Quer nos ajudar? Então não esquece de deixar seu like no vídeo e de se inscrever no nosso canal! 


Participem de nosso grupo lá no

Venha divulgar seu trabalho em nosso simples canal
(Só WhatsApp) Consulte a Nossa Tabela de Preços e Venha Fazer Seu Orçamento Sem Compromisso

 🔴Para ficar por dentro de todos os lançamentos:🔴 

 ➊ Se inscreva no Canal ✔
 ➋ Ative o sininho de notificações ✔ 
 ➌ Deixe seu like nos vídeos ✔ 
 ➍ Comente!!! ✔ 
 ➎ Compartilhe com os amigos. ✔ 


Todos os direitos reservados. 2025

 Deixe seu like que vai ajudar demais e Inscreva-se em Nosso Canal!

 ® Conteúdo exclusivo

ATENÇÃO ARTISTA E COMPOSITORES !!! [DIREITOS AUTORAIS] ?Compositores/Bandas/Cantores/ Se não for de acordo com o vídeo, Manda Mensagem No Whatsapp Que O Video Será Removido com a solicitação de remoção, a música será removida imediatamente sem exceção alguma. Clique em ""Gostei"" e ""Adicione aos Favoritos","natanzinho lima, natanzinho lima 2025, ao vivo natanzinho lima, arrocha natazinho lima, natanzinho lima ao vivo, natanzinho lima arrocha, natanzinho lima novo, natanzinho, natanzinho lima ao vivo 2025, natanzinho lima cd 2025, musica brasileira, natanzinho lima - cortando chão teresina/pi, natanzinho lima cortando chão teresina/pi, natanzinho lima e wesley safadão, natanzinho lima cortando chão, natanzinho lima cortando o chão, natanzinho lima repertório novo",00:42:48,97418,783,5,https://i.ytimg.com/vi/ahliWCHU8ac/maxresdefault.jpg,BR
8,,,17,"Lifestyle_(sociology), Vehicle, Motorsport, Sport",3.05%,en,8,UCB_qr75-ydFVKSF9Dmo6izg,FORMULA 1,13300000,JntKOmbMI08,2025-09-21T13:37:13Z,6.52 horas,Race Highlights | 2025 Azerbaijan Grand Prix,"A mixed-up starting grid meant drama right from the beginning in Baku. Could Carlos Sainz or Liam Lawson hold out for a podium place?

For more F1® videos, visit: https://www.Formula1.com

Visit our store: https://f1store.formula1.com/

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #AzerbaijanGP","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, baku, azerbaijan grand prix, max verstappen",00:08:11,2854402,83344,3751,https://i.ytimg.com/vi/JntKOmbMI08/maxresdefault.jpg,N/A
9,,,10,"Electronic_music, Hip_hop_music, Pop_music, Music",0.86%,en-US,9,UCiHpZF5v3cRdol8jPmoIEoQ,Musixa,167000,zvFroLUxRDQ,2025-09-20T21:30:17Z,22.64 horas,Air Supply - Making Love Out Of Nothing At All (Lyrics),"♫ Air Supply - Making Love Out Of Nothing At All (Lyrics)
👉 Stream:

🎤 Lyrics: Air Supply - Making Love Out Of Nothing At All 

[Verse 1]
I know just how to whisper
And I know just how to cry
I know just where to find the answers
And I know just how to lie
I know just how to fake it
And I know just how to scheme
I know just when to face the truth
And then I know just when to dream

[Verse 2]
And I know just where to touch you
And I know just what to prove
I know when to pull you closer
And I know when to let you loose
And I know the night is fading
And I know the time's gonna fly
And I'm never gonna tell you 
everything I gotta tell you
But I know I gotta give it a try

[Verse 3]
And I know the roads to riches
And I know the ways to fame
I know all the rules and then 
I know how to break 'em
And I always know the name of the game
But I don't know how to leave you
And I'll never let you fall
And I don't know how you do it
Making love out of nothing at all

[Chorus]
(Making love) Out of nothing at all
(Making love) Out of nothing at all
(Making love)
Out of nothing at all

(Making love) Out of nothing at all
(Making love) Out of nothing at all
(Making love) Out of nothing at all

[Verse 4]
Every time I see you, all the rays of the sun
Are all streaming through the waves in your hair
And every star in the sky is taking aim at your eyes
Like a spotlight

The beating of my heart is a drum and it's lost
And it's looking for a rhythm like you
You can take the darkness from the pit of the night
And turn it to a beacon burning endlessly bright
I've gotta follow it 'cause everything I know
Well it's nothing 'til I give it to you
[Guitar Solo]
[Verse 5]
I can make the runner stumble
I can make the final block
And I can make every tackle at the sound of the whistle
I can make all the stadiums rock
I can make tonight forever
Or I can make it disappear by the dawn
And I can make you every promise that has ever been made
And I can make all your demons be gone

[Verse 6]
But I'm never gonna make it without you
Do you really wanna see me crawl
And I'm never gonna make it like you do
Making love out of nothing at all

[Chorus]
(Making love) Out of nothing at all
(Making love) Out of nothing at all
(Making love) Out of nothing at all
(Making love) Out of nothing at all
(Making love) Out of nothing at all
(Making love, love)

Out of nothing at all (Making love)
Out of nothing at all (Making love)
Out of nothing at all (Making love, love)
Out of nothing at all (Making love)
Out of nothing at all (Making love)
Out of nothing at all (Making love, love, love)
Out of nothing at all (Making love)
Out of nothing at all (Making love)
Out of nothing at all (Making love, love, love)
Out of nothing at all (Making love)

Making love, love, love
Out of nothing at all (Making love)
Out of nothing at all (Making love)
Out of nothing at all (Making love, love, love)
(Making love, love, love)
(Making love, love, love)

#airsupply  #MakingLoveOutOfNothingAtAll #Lyrics

✨ Tags:
making love out of nothing at all,making love out of nothing at all lyrics,air supply making love out of nothing at all,making love out of nothing at all lyrics air supply,air supply making love out of nothing at all lyrics,lyrics air supply making love out of nothing at all,air supply lyrics making love out of nothing at all,lyrics making love out of nothing at all air supply,making love out of nothing at all","making love out of nothing at all, making love out of nothing at all lyrics, air supply making love out of nothing at all, making love out of nothing at all lyrics air supply, air supply making love out of nothing at all lyrics, lyrics air supply making love out of nothing at all, air supply lyrics making love out of nothing at all, lyrics making love out of nothing at all air supply, making love out of nothing at all air supply, Out of nothing at all, making love, pop music",00:05:42,36706,314,1,https://i.ytimg.com/vi/zvFroLUxRDQ/maxresdefault.jpg,PH
10,,,20,"Role-playing_video_game, Video_game_culture, Action-adventure_game",1.64%,pt-BR,10,UC6P6SvP2arhEdJ9Pg8qwP2A,Athos,13700000,4JVVqVDY-80,2025-09-21T13:30:04Z,6.64 horas,Athos foi ADOTADO pelo CERVO DO 99 Noites na Floresta no Minecraft,"📸 Meu Instagram:
https://www.instagram.com/_athos_br/

BONECO ATHOS: ✅
https://lojadoathos.com

📞 Contato comercial: 
comercial@agenciacurta.com

Athos foi ADOTADO pelo CERVO DO 99 Noites na Floresta no Minecraft
Athos foi ADOTADO pelo CERVO DO 99 Noites na Floresta no Minecraft

#minecraft #athos","minecraft, athos, athos gamer, minecraft pe, bedrock, java, pocket edition, maniqueft, adotado, cervo, 99 noites, floresta",00:15:32,199253,3195,79,https://i.ytimg.com/vi/4JVVqVDY-80/maxresdefault.jpg,BR
