Posicao na coleta,Gênero do vídeo,Tipo de produtor,Categoria do vídeo,guideCategory,Taxa de engajamento,Idioma,Posicao Geral,Id do canal,Canal,Inscritos no canal,Id do vídeo,Data de publicação,Diferenca de horas entre postagem e coleta,Título do vídeo,Descrição do vídeo,Tags do video,Duração do vídeo,Visualizações,Gostei,Comentários,thumbnail_maxres,Pais
1,,,10,"Pop_music, Music, Music_of_Asia",10.79%,ko,1,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,32000000,Q7IFjVUUb_E,2026-06-24T04:00:01Z,30.52 horas,"Stray Kids ""RUN IT"" M/V","Stray Kids(스트레이 키즈) ""RUN IT"" M/V

Listen to ""RUN IT"" now🏁
https://Stray-Kids.lnk.to/RUNIT

🎵PRE-SAVE ""THIS & THAT"" NOW! 
https://Stray-Kids.lnk.to/THISANDTHAT

Stray Kids ""RUN IT""
iTunes & Apple Music: https://Stray-Kids.lnk.to/RUNIT/AppleMusic
Spotify: https://Stray-Kids.lnk.to/RUNIT/Spotify

Stray Kids Official YouTube: https://www.youtube.com/c/StrayKids
Stray Kids Official Twitter: https://twitter.com/Stray_Kids
Stray Kids Official Instagram: https://www.instagram.com/realstraykids/
Stray Kids Official TikTok: https://www.tiktok.com/@jypestraykids
Stray Kids Official Facebook: https://www.facebook.com/JYPEStrayKids/
Stray Kids Official Threads: https://www.threads.com/@realstraykids
Stray Kids Official FANS (Android) https://play.google.com/store/apps/details?id=com.jype.fans
Stray Kids Official FANS (iOS) https://apps.apple.com/app/fans-for-fans-artists/id6474999628 

#StrayKids #스트레이키즈
#THIS_AND_THAT 
#RUN_IT
#StrayKidsComeback
#YouMakeStrayKidsStay

Copyrights 2026 ⓒ JYP Entertainment. All Rights Reserved.","JYP Entertainment, JYP, Stray Kids, 스트레이 키즈, SKZ, 스키즈, 방찬, BANG CHAN, 리노, LEE KNOW, 창빈, CHANGBIN, 현진, 황현진, HYUNJIN, 한, 한지성, HAN, 필릭스, FELIX, 용복, 승민, 김승민, SEUNGMIN, 아이엔, I.N, stray kids comeback, 스트레이 키즈 컴백, 스키즈 컴백, skz comeback, skz, SKZ Teaser, 스키즈 티저, 스트레이 키즈 티저, skz teaser, Stray Kids teaser, stray kids mv teaser, skz mv teaser, Stray Kids RUN IT, RUN IT teaser, SKZ RUN IT, SKZ comeback teaser, 스키즈 런잇, SKZ This & That, This & That, 런잇, 디스앤댓, 스키즈 디스앤댓, stray kids this & that",00:03:49,10037888,986743,96744,https://i.ytimg.com/vi/Q7IFjVUUb_E/maxresdefault.jpg,N/A
2,,,24,"Association_football, Television_program, Entertainment, Film, Sport",11.64%,en-US,2,UCc1l5mTmAv2GC_PXrBpqyKQ,Netflix Brasil,15200000,n_GDYehbwK0,2026-06-24T13:00:02Z,21.52 horas,THE ONE PIECE | Teaser oficial | Netflix,"Depois de se tornar um fenômeno cultural e conquistar fãs no mundo todo, o mangá ""THE ONE PIECE"", de Eiichiro Oda (publicado pela Shueisha na Weekly Shonen Jump) vai ganhar uma nova adaptação em anime, começando pela Saga East Blue. Com produção do WIT Studio, o público terá a oportunidade de curtir as aventuras de Monkey D. Luffy e os Piratas do Chapéu de Palha de um jeito familiar, mas ao mesmo tempo totalmente novo, aproveitando o potencial da tecnologia moderna para contar a história.
Em fevereiro de 2027, só na Netflix.
#THEONEPIECE

Assista na Netflix: https://www.netflix.com/title/81594317

Inscreva-se: https://bit.ly/31ynwtw

Sobre a Netflix:
A Netflix é um dos principais serviços de entretenimento do mundo com um vasto catálogo de séries, filmes, jogos e eventos ao vivo disponíveis em diversos idiomas. Nossos assinantes podem assistir, pausar e voltar a um título quantas vezes quiserem, onde quer que estejam, e alterar o plano a qualquer momento.

THE ONE PIECE | Teaser oficial | Netflix
https://www.youtube.com/@NetflixBrasil","ONE PIECE, THE ONE PIECE, WIT Studio, anime",00:01:05,266258,29376,1605,https://i.ytimg.com/vi/n_GDYehbwK0/maxresdefault.jpg,BR
3,,,20,"Role-playing_video_game, Action-adventure_game, Video_game_culture, Action_game",6.92%,pt-PT,3,UCIXguhHCl8eDTkXpEuiGPUA,Jazzghost,24000000,ECtLQN1XMew,2026-06-24T15:00:10Z,19.52 horas,"GRANNY, MAS EU TENHO UMA DOZE O TEMPO TODO E MUNIÇÃO INFINITA!","Hoje eu vou jogar Granny como... a própria Granny e depois como o Grampa, que vai me dar uma espingarda com munição infinita! CONFIRA E SARAIVA O LIKE!
●Nome do Jogo: Granny
======================
●Instagram: julianoab
●Email de contato: comercial@agenciacurta.com","jazzghost, jazz, granny",00:45:12,1020487,66867,3731,https://i.ytimg.com/vi/ECtLQN1XMew/maxresdefault.jpg,N/A
4,,,22,"Music_of_Latin_America, Hip_hop_music, Music, Pop_music",0.76%,pt-PT,4,UC3sBQhzkBT1Vm7RFsQ0uhaw,A NATA É NOIS by Funk 24por48,95500,cHGp9gzD3-8,2026-06-19T15:00:22Z,139.51 horas,"POSSO ATÉ NÃO TE DA FLORES - MC Meno K, MC Ryan SP, MC Jacaré (Web Clipe)","Ouça nossa Playlist no Spotify 
https://bit.ly/44xZYFQ

Divulgue sua música conosco:
(11) 94510-9094

Informações sobre a música:
Artista: MC Meno K, MC Ryan SP, MC Jacaré
Música: POSSO ATÉ NÃO TE DA FLORES
Produção musical: DJ Japa NK, DJ Davi DogDog
Ano: 2026","DJ Japa NK, DJ Davi DogDog, MC Meno K, MC Ryan SP, MC Jacaré, POSSO ATÉ NÃO TE DA FLORES, posso ate nao te dar flores, funk",00:02:38,30025,225,3,https://i.ytimg.com/vi/cHGp9gzD3-8/maxresdefault.jpg,BR
5,,,1,"Entertainment, Film",3.39%,pt-BR,5,UC2eb58Gxb613nJDjpuwWmgg,ONE Media Brasil,1370000,paC-rPNnxOA,2026-06-24T16:17:58Z,18.22 horas,DA MAGIA À SEDUÇÃO 2: FEITIÇO DE AMOR Trailer 2 Dublado Oficial (2026) Sandra Bullock,"DA MAGIA À SEDUÇÃO: FEITIÇO DE AMOR Trailer 2 Dublado Oficial (2026) Sandra Bullock, Nicole Kidman, Joey King, Maisie Williams
© 2026 - Warner Bros","filme, cinema, trailer, trailer dublado, dublado, Oficial, 2026, Da Magia À Sedução Feitiço De Amor, Da Magia À Sedução Feitiço De Amor Trailer Dublado, Da Magia À Sedução 2, Nicole Kidman, Sandra Bullock, Joey King, Maisie Williams, Trailer 2",00:03:00,14653,483,14,https://i.ytimg.com/vi/paC-rPNnxOA/maxresdefault.jpg,BR
6,,,24,"Action-adventure_game, Video_game_culture, Action_game, Role-playing_video_game",9.06%,pt-BR,6,UCUZfhX79dQrJvAgYefiXCCA,Flow Games,831000,bRfgaWre2Zg,2026-06-25T05:13:35Z,5.29 horas,"GTA VI VAI COMEÇAR, PREÇO e PRÉ-VENDA FINALMENTE - #flowgames","MANDE SUA MENSAGEM COM VOZ PERSONALIZADA!  
https://livepix.gg/flowgamestv

LOW GAMES - ENTRE NOS GRUPOS COM PROMOÇÕES EM TEMPO REAL: 
https://devzapp.com.br/api-engennier/campanha/api/redirect/695beeb2d780b00001b6a36a 
https://linktr.ee/lowgames

GTA 6 com preço anunciado e novos detalhes!

Só vem que hoje vai ser 🔥⚡

~~~~~~ 
AMAZON
GTA VI chegou! Garanta sua pré-venda na Amazon com envio antecipado, parcelamento em até 10x sem juros e desconto no Pix. Quem é Prime ainda tem deal exclusivo de PS5!
- GTA VI Edição Standard: https://descpromo.com/r/Ai81LX 
- PlayStation 5 Digital + Astro Bot e Gran Turismo 7: https://descpromo.com/r/Rl5OMA
- PlayStation 5 Disk + Astro Bot e Gran Turismo 7: https://descpromo.com/r/xcbz4m
- PlayStation 5 Pro: 
https://descpromo.com/r/6FxgUk


Assine o Prime e tenha mais benefícios!
https://descpromo.com/r/p1rMky

NUUVEM
PRÉ-VENDA DE GTA 6 na Nuuvem - parcelamento em 6x sem juros, cashback em drops, além de todo suporte e segurança que só a Nuuvem oferece!
Tá rolando PRÉ-JOGO NA NUUVEM , aquecimento da COPA NUUVEM que entra amanhã às 15h , com promoções lendárias pra você aproveitar. 
https://www.nuuvem.com/?utm_source=flowgames

CUPOM: MEUGTAMINHAVIDA  - R$30 REAIS DE DESCONTO - válido apenas pra GTA 6
~~~~~~ 

LOW GAMES

De um game over nos preços altos com o Low Games, e compre jogos, consoles e acessórios com preços baixos! 
https://www.lowgames.com.br/

ENTRE NOS GRUPOS COM PROMOÇÕES EM TEMPO REAL: 
- CANAL WHATSAPP: https://devzapp.com.br/api-engennier/grupo.html?urlGrp=https://chat.whatsapp.com/FP9K68LGMBL7gnqrsWpxJn
- CANAL TELEGRAM: https://t.me/lowgamess

https://linktr.ee/lowgames

~~~~~~ 

Acompanhe o Flow Games em todas as mídias: https://linkin.bio/flowgamestv/ 
Acesse o nosso portal de notícias: https://flowgames.gg/ 

WhatsApp: https://www.whatsapp.com/channel/0029VacH04P8aKvBME6vZH1W 
Telegram: https://t.me/FlowGamesNEWS 

~~~~~~ 

CAIXA POSTAL
80154 | CEP: 03350-970 | São Paulo - SP
especificar que é pro Flow Games

~~~~~~ 

Conheça o HUB Flow Games no YouTube. 
Flow Games Trailers: https://www.youtube.com/@FlowGamesTrailers 
Cortes do Flow Games: https://www.youtube.com/@CortesdoFlowGames 

~~~~~~ 

ANFITRIÕES: 

*FLOW GAMES*

Davy Jones 
- Twitter: @DavyJonesRJ
 - Instagram: @odavyjones

PhoenixBR
- Twitter: @PhoenixBR
 - Instagram: @PhoenixBRnnf

Thais Matsufugi
- Twitter: @thamatsu
 - Instagram: @ThaMatsu

Cross
- Twitter: @Cross_GP
 - Instagram: @crosstossaur

Bruno Micali
- Twitter: @MicaliBruno
- Instagram: @micalibruno

Zero
-Instagram: @otiozero 
-Twitter: @otiozero 

~~~~~~ 

PRODUÇÃO:

Renê Cavalera
- Instagram: renecavalera

DIREÇÃO:

Takeshi Oyama
- Instagram: @takeshioyama_
- Twitter: @takeshioyama

Tainá Biá 
- Instagram: @tainabia

Fernando Tonieto
- Instagram: @ofernando.st

~~~~~~ 

#flowgames #gta6 #rockstargames","flowgames, flow games, podcast flow, podcast flow games, podcast flow jogos, fgn, flow games news, notícias jogos, notícias games, davy jones flow games, cross flow games, gta 6, flow games grand theft auto, phoenixbr, thamatsu, react do flow games, flow games thamatsu, xbox, rockstar games, gta 6 pré-venda, gta 6 flow games, gta 6 pré-venda 25 de junho, take-two, gta 6 low games, gta 6 ps5, amazon prime day, copa nuuvem 2026, flow games amazon, low games",03:07:46,437248,39521,103,https://i.ytimg.com/vi/bRfgaWre2Zg/maxresdefault.jpg,BR
7,,,10,"Music_of_Latin_America, Music, Hip_hop_music, Pop_music",3.52%,pt-BR,7,UCxiHdOFRj1uT_vzZmdmNtXw,Bololo Records,438000,UoPv7jHC0R0,2026-06-23T20:45:06Z,37.77 horas,"PAU PRA TODA OBRA - MC Jacaré, MC Ryan SP, MC Lele JP e MC IG","Visualizer oficial de “PAU PRA TODA OBRA”, de MC Jacaré, MC Ryan SP, MC Lele JP e MC IG

Ouça na sua plataforma digital favorita.

Bololô Records | 2026 © Todos os Direitos Reservados.
#BOLOLORECORDS #mcryansp",,00:03:49,125258,4353,52,https://i.ytimg.com/vi/UoPv7jHC0R0/maxresdefault.jpg,BR
8,,,20,"Role-playing_video_game, Action-adventure_game, Video_game_culture, Action_game",8.01%,zxx,8,UCWg2LuDMRWZmMg_hxkLJxZg,Hunters CLan,580000,ZA4HlffKITI,2026-06-25T06:39:33Z,3.86 horas,🚨 GTA 6: COMEÇOU A PRÉ-VENDA NO BRASIL E MUNDO TODO! TRAILE 3?!,"🚨🚨 GTA VI É REALIDADE! 🚨🚨
A Rockstar acaba de confirmar:
⏰ PRÉ-VENDA: 25 DE JUNHO À MEIA-NOITE
🎮 LANÇAMENTO: 19 DE NOVEMBRO DE 2026
💰 PREÇO: US$ 79,99
💎 ULTIMATE EDITION: US$ 99,99

Estamos oficialmente entrando na era GTA VI.

Daqui a poucas horas milhões de jogadores estarão garantindo sua cópia do jogo mais aguardado da história. 🌴🔥

VOCÊ VAI COMPRAR NO PRIMEIRO MINUTO? 👇

🔥 Nesta live vamos analisar:
✅ Novas pistas sobre o Trailer 3 de GTA 6
✅ Possíveis preços no Brasil da pré-venda e edições do jogo
✅ Movimentações recentes da Rockstar Games
✅ Novas artes, imagens e descobertas da comunidade
✅ Teorias sobre a campanha de marketing de GTA 6
✅ Últimas notícias e rumores em tempo real

💬 PARTICIPE DO CHAT AO VIVO!
👉 Quanto você acha que GTA 6 vai custar?
👉 O Trailer 3 pode ser lançado hoje?
👉 Qual edição você pretende comprar?
👉 O que você espera ver no próximo trailer?

🔔 Inscreva-se no canal e ative as notificações para acompanhar todas as notícias, teorias, vazamentos, trailers, análises e novidades sobre GTA 6 e Rockstar Games.

💥 DEIXE O LIKE, COMENTE E COMPARTILHE!

► Inscreva-se:
http://goo.gl/CnnVmg

🌟 Seja membro do canal:
https://www.youtube.com/channel/UCWg2LuDMRWZmMg_hxkLJxZg/join

#GTA6 #GTAVI #Trailer3 #RockstarGames #ViceCity #GTA6News #GTA6Brasil #PreVendaGTA6 #Jason #Lucia #LiveGTA6 #Gaming #GrandTheftAutoVI #GTA6Trailer #HuntersClan

GTA 6, GTA VI, Trailer 3 GTA 6, GTA 6 Trailer 3, GTA 6 ao vivo, GTA 6 live, GTA 6 notícias, GTA 6 hoje, Rockstar Games, GTA 6 Brasil, GTA 6 pré-venda, preço GTA 6, GTA 6 preço, GTA VI preço, GTA 6 vazamento, GTA 6 trailer, GTA 6 lançamento, Vice City, Jason GTA 6, Lucia GTA 6, GTA 6 gameplay, GTA 6 novidades, GTA 6 rumores, GTA 6 trailer 3 hoje, GTA 6 ao vivo agora, Hunters Clan.


🌟 Apoie através de doação:
https://widget.livepix.gg/embed/f0886d5b-de05-4528-9e76-cf53ea5d1b54

► Canal Secundário:
https://goo.gl/8iLwfq

━━━━━━━━━━━━━━━

🎮 QUER ENTRAR PARA O HUNTERS CLAN?

1️⃣ Torne-se membro:
https://www.youtube.com/channel/UCWg2LuDMRWZmMg_hxkLJxZg/join

2️⃣ Discord Oficial:
https://discord.gg/87Afp5Ka3w","GTA 6, GTA VI, Grand Theft Auto VI, GTA 6 Trailer 3, Trailer 3 GTA 6, GTA VI Trailer 3, GTA 6 Pré-Venda, GTA 6 Preços, preço GTA 6, GTA VI preço, Rockstar Games, Rockstar GTA 6, GTA 6 Notícias, GTA 6 News, GTA 6 Brasil, GTA 6 Ao Vivo, GTA 6 Live, GTA 6 Hoje, GTA 6 Lançamento, GTA 6 Trailer, GTA 6 Gameplay, GTA 6 Vazamentos, GTA 6 Rumores, GTA 6 Novidades, Vice City, Leonida, Jason e Lucia, Jason GTA 6, Lucia GTA 6, GTA 6 PS5, GTA 6 Xbox Series X, Hunters Clan",02:24:41,9880,781,10,https://i.ytimg.com/vi/ZA4HlffKITI/maxresdefault.jpg,BR
9,,,20,"Role-playing_video_game, Video_game_culture, Action-adventure_game, Action_game",2.39%,pt-BR,9,UCrcBZDofBltcgGxphNia2tw,ProbIems,12200000,KyNtQhQMrAk,2026-06-24T13:00:04Z,21.52 horas,Sobrevivi na Civilização das Figurinhas da Copa do MUNDO!,"Servidor de discord:
https://discord.gg/2jtYumJKuZ

Minha Loja:
https://www.curtaloja.com/marca/problems.html

Contato COMERCIAL:
comercial@agenciacurta.com

Segue a turma no instagram:

Problems💙 https://www.instagram.com/problems_sr/
Mel 💛https://www.instagram.com/kaikemel/
Kadu 💖 https://www.instagram.com/kadukon/
Stick 💚https://www.instagram.com/guualfaro/
Zoom 🧡 https://www.instagram.com/josedu4rd/

ATENÇÃO: O conteúdo do vídeo é 100% family friendly, ou seja qualquer um pode assistir com toda a familia quando quiser!!

#problems #minecraft","maniqueft, lego, problems, probrems, probres, pobrems, problemas, problema, pobrema, mainequeft, minecraft, video do problema, video do problems, video do pobrems, minecraft survival, minecraft mitos, minecraft fatos, problems roblox, roblox, pobrems roblox, pobris roblox, pobrema roblox, problema roblox",00:21:59,427711,9768,461,https://i.ytimg.com/vi/KyNtQhQMrAk/maxresdefault.jpg,BR
10,,,10,"Pop_music, Hip_hop_music, Music, Music_of_Latin_America, Electronic_music",1.29%,pt-PT,10,UC__kDcUfPpg5nB1NSBT1AVg, JS o Mão de Ouro - Topic,10500,HZPzlx5SI7I,2026-06-19T18:11:37Z,136.32 horas,"BRASIL OLE, OLE, OLE","Provided to YouTube by IIP-DDS

BRASIL OLE, OLE, OLE · JS o Mão de Ouro · Roger Santos

BRASIL OLE, OLE, OLE

℗ JS Records

Released on: 2026-06-18

Producer: JS o Mão de Ouro
Composer, Lyricist: Jhonatan Ramos

Auto-generated by YouTube.","JS o Mão de Ouro, Roger Santos, BRASIL OLE, OLE, OLE",00:02:15,79334,1002,23,https://i.ytimg.com/vi/HZPzlx5SI7I/maxresdefault.jpg,N/A
